gen;fitness;n_species;p_isomorphisms;unique_fitness;entropy;total_gen_markers;active_gen_markers;inactive_gen_markers;avg_delta;std_delta
0;0.625;1;216;50;3.959206937028815;2639;1121;2453;0.7325201947131907;0.03327493918746065
1;0.625;1;185;42;3.6972465140070327;2254;833;2110;0.6817370206115435;0.037774037389938696
2;0.65625;1;167;44;3.82228251189295;2068;774;1942;0.6393847760280016;0.03978895783720397
3;0.65625;1;174;39;3.5921415313499763;1986;711;1846;0.6298250408957559;0.04182943254673857
4;0.6640625;1;167;40;3.632428305540193;1990;689;1847;0.6615967290743966;0.043500681657219126
5;0.6640625;1;157;36;3.539594533411571;2016;676;1898;0.6255767500431325;0.04051259130839815
6;0.6640625;1;150;33;3.459855579069286;1917;635;1800;0.6826906111653199;0.03726272856016873
7;0.6640625;1;133;35;3.285075413352154;1953;596;1841;0.6481425688500627;0.038338389977780364
8;0.6640625;1;134;42;3.398934099648399;1930;588;1830;0.6240919813181441;0.04035931160234443
9;0.6640625;1;129;33;3.2561337226459073;1830;559;1750;0.614546835178641;0.039242475654518875
10;0.6640625;1;163;31;3.280695345252781;1828;601;1731;0.62476268333669;0.03914041667337595
11;0.6640625;1;145;32;3.2640947571278387;1820;532;1740;0.6432292452749566;0.039989078196137506
12;0.6640625;1;134;31;3.209720700345285;1819;544;1726;0.6139782381988429;0.037887625552318956
13;0.6640625;1;134;33;3.317582268755469;1771;538;1690;0.6226614431628428;0.04349764469029478
14;0.6640625;1;138;31;3.228205067575352;1811;541;1721;0.6225779018699049;0.043509627850612284
15;0.6640625;1;148;30;3.157687721571502;1769;562;1676;0.6243381136719395;0.047472230667659286
16;0.6640625;1;117;29;3.2465765575929337;1836;564;1743;0.6370263302648784;0.03684534330300821
17;0.6640625;1;128;29;3.2147916064224074;1818;557;1717;0.6007093783440611;0.036961818280547405
18;0.6640625;1;131;31;3.2696074654868856;1805;565;1705;0.6528745786056355;0.0316186097217614
