gen;fitness;n_species;p_isomorphisms;unique_fitness;entropy;total_gen_markers;active_gen_markers;inactive_gen_markers;avg_delta;std_delta
0;0.53125;1;131;4;0.3980456992051189;324;324;324;0.6683254998829675;0.02920916430411768
1;0.53125;1;142;4;0.518741323493322;324;324;324;0.6435401413597923;0.033899569637681745
2;0.5625;1;151;4;0.46697958971221026;324;323;320;0.6263432194600489;0.03654791693977457
3;0.5625;1;161;4;0.30204025768033993;324;320;315;0.6171363802806904;0.03644341543659143
4;0.5625;1;167;4;0.363177484671922;322;318;318;0.5736213301280688;0.03175196765560955
5;0.5625;1;166;5;0.3726056901371218;322;317;313;0.5923825968127315;0.030873807970392873
6;0.5625;1;170;4;0.3780868121970034;324;314;312;0.5939204172615313;0.033178329858918096
7;0.5625;1;154;5;0.4124460563907286;322;313;311;0.5654515146994559;0.03389646955816642
8;0.5625;1;167;4;0.3558099089027355;322;314;308;0.5789727371402018;0.026722281450294722
9;0.5625;1;168;5;0.396684532802697;323;313;311;0.5721645316918501;0.028174112462425106
10;0.5625;1;171;5;0.44040125649246753;322;307;309;0.5782528512038968;0.030221204308492733
11;0.5625;1;166;4;0.42367633663338267;322;315;307;0.5882753008571247;0.03427065229041255
12;0.5625;1;173;4;0.34249909226217856;322;314;310;0.5623855480644784;0.029513215160560834
13;0.5625;1;171;5;0.3828710157676591;324;314;308;0.5834717478740562;0.03162715598903867
14;0.5625;1;157;4;0.39180456502658656;323;314;311;0.6039323606250568;0.03249590805070144
15;0.5625;1;170;5;0.3892655209136036;321;308;307;0.5676218166014141;0.0320695808554575
16;0.5625;1;159;4;0.39839287504424226;322;314;311;0.5698546865964554;0.028618026582456418
17;0.5625;1;160;4;0.3784519460125857;320;307;309;0.5642489728706921;0.028766804259514004
18;0.5625;1;162;4;0.4095312093973792;323;317;313;0.5896151022712645;0.028981625133995995
19;0.5625;1;158;5;0.4185668689574297;322;307;313;0.5757796990054426;0.02812123506650919
20;0.5625;1;172;4;0.4044402043510634;324;315;307;0.563791052982702;0.030002543499807903
21;0.5625;1;166;4;0.29705201282598603;323;314;311;0.5769813779577304;0.030123460945809134
22;0.5625;1;158;4;0.3509251787611179;320;314;310;0.6060100876417766;0.03266114052956687
23;0.5625;1;170;4;0.40953120939737914;322;309;315;0.5793360495865499;0.028319776324750665
24;0.5625;1;163;4;0.41468105143679546;322;317;306;0.5743102073144559;0.03262021435916103
25;0.5625;1;165;4;0.4592832326112768;323;316;309;0.5941554221624892;0.041801849764573615
26;0.5625;1;163;5;0.3631710848739461;323;317;306;0.5796069886684518;0.03210895014767555
27;0.5625;1;159;5;0.4658401862201516;323;315;310;0.5870114494673611;0.031217711293239216
28;0.5625;1;160;4;0.37832754044407685;322;312;309;0.562121915846341;0.030390554423062575
29;0.5625;1;166;4;0.4436395599747616;322;313;308;0.5788842493593627;0.030502229307350963
30;0.5625;1;171;5;0.3726056901371218;324;312;314;0.5738150108123536;0.028620641215360027
31;0.5625;1;172;4;0.33740808721586285;321;311;312;0.5706477988402373;0.02994099939339351
32;0.5625;1;164;4;0.33931183617531196;322;315;312;0.6051973101904113;0.033039956028208896
33;0.5625;1;165;4;0.3675993140748822;324;315;309;0.5775421262985617;0.030618416441583394
