gen;fitness;n_species;p_isomorphisms;unique_fitness;entropy;total_gen_markers;active_gen_markers;inactive_gen_markers;avg_delta;std_delta
0;70.42438289942659;1;258;24;0.8555769040091927;360;360;360;0.7865520304106771;0.03199490658974916
1;37.063667572617526;1;278;21;0.6467656972442812;360;355;360;0.7748703320243919;0.03891036240025819
2;37.063667572617526;1;301;17;0.7474392294609948;360;348;360;0.7728874066628293;0.04103170031802342
3;37.063667572617526;1;305;24;0.7017095203676885;360;340;359;0.7305684935772699;0.03374738527719724
4;37.063667572617526;1;302;20;0.7477585772163617;360;339;358;0.7343439192955459;0.033480824184535476
5;37.063667572617526;1;294;17;0.6774628510335076;359;339;356;0.7209683355502979;0.03448309659260385
6;37.063667572617526;1;293;16;0.5416809632095304;360;331;358;0.7291815697771862;0.03487181220730778
7;37.063667572617526;1;295;13;0.4638373154484037;358;323;355;0.7234259290387269;0.03877727476442271
8;37.063667572617526;1;306;20;0.6188209979779639;357;323;355;0.7123416945243535;0.03434814724076278
9;37.063667572617526;1;290;14;0.6112709584699411;358;314;356;0.719171356075228;0.03234476731682169
10;37.063667572617526;1;290;24;0.7786147101303574;359;323;358;0.7237730372768169;0.03438535300366076
11;37.063667572617526;1;298;13;0.4942674392457543;360;324;356;0.7166686016215795;0.035591364189893795
12;37.063667572617526;1;291;17;0.6577659585472949;358;336;358;0.7445127609011193;0.033758900614026414
13;37.063667572617526;1;309;23;0.8189957809674443;360;330;359;0.7185746550800606;0.037301673326935854
14;37.063667572617526;1;278;16;0.5988614283111177;358;333;357;0.7367420410038137;0.038019103517507834
15;37.063667572617526;1;276;21;0.7751095206775237;359;331;357;0.7080157906922684;0.035225408933753005
16;37.063667572617526;1;282;18;0.6084117755477179;359;320;357;0.7447056416623584;0.03555346505427316
17;37.063667572617526;1;282;14;0.6735570122947103;357;321;357;0.7054216798650935;0.03402204881644335
18;37.063667572617526;1;296;21;0.6521370617458004;359;326;356;0.7563161065241938;0.03188288831893571
19;37.063667572617526;1;293;16;0.6308283808618421;359;326;357;0.7083432426947789;0.0333371305654896
20;37.063667572617526;1;272;17;0.5557961305731259;358;321;356;0.7025544539702673;0.037976244761585724
21;37.063667572617526;1;279;20;0.5801033571233664;360;324;359;0.7195430453119084;0.03716825082844869
22;37.063667572617526;1;297;16;0.5077565021513754;359;327;355;0.7095865679698918;0.04063103780472966
23;37.063667572617526;1;292;27;0.8364031006613714;359;334;356;0.7223557249541034;0.03608782119843301
24;37.063667572617526;1;289;19;0.5714741571140101;360;330;354;0.7309187861531136;0.03114706017377273
25;37.063667572617526;1;298;21;0.84617485606492;359;321;358;0.7338128758521428;0.04427135140689641
26;37.063667572617526;1;289;20;0.6717184465732209;359;327;359;0.7175465963807183;0.03563637635680711
27;37.063667572617526;1;304;20;0.6691801953547076;359;321;357;0.7081727706186466;0.03504269583638863
28;37.063667572617526;1;290;21;0.6751425009145692;360;331;357;0.7213317204185209;0.04395015550304323
29;37.063667572617526;1;288;18;0.637743993808848;359;323;356;0.7381060076786361;0.034276222046663606
30;37.063667572617526;1;292;18;0.5804429728644563;356;305;354;0.7106896635211651;0.031055112699624514
31;37.063667572617526;1;278;21;0.6981919069867083;357;310;357;0.7383038979883925;0.032886840898333825
