gen;fitness;n_species;p_isomorphisms;unique_fitness;entropy;total_gen_markers;active_gen_markers;inactive_gen_markers;avg_delta;std_delta
0;9.259512037881656;421;246;79;5.832377293427003;26553;3010;24734;0.7360302709982427;0.026660739946469756
1;5.684596445302299;189;259;83;5.946468792971186;27111;3018;25321;0.7266259711042528;0.03474873331801042
2;4.838948863346265;104;250;84;5.998765996429239;27050;2995;25318;0.7061740897952099;0.03684152629755265
3;4.716656538360852;60;255;79;5.937085399671872;27394;2825;25829;0.6897427008231319;0.048000552943422294
4;5.360853323587004;49;260;80;5.92955023865993;27567;2877;25904;0.6912996214930826;0.056335906524556424
5;11.099449686810884;28;237;80;5.93121697305785;27981;2832;26346;0.6723970794488504;0.05422171102327147
6;5.706149380002561;25;264;83;5.967340836908747;28291;2737;26685;0.6563637370976843;0.05931565822609568
7;15.393951577530688;13;271;80;5.9113376061185585;28543;2677;26996;0.6258580447615858;0.07175179875742047
8;15.467868086856614;12;245;82;5.934803371152182;28641;2719;27090;0.6514850180279766;0.05536928477715192
9;5.324103727289576;12;259;79;5.936544213898642;28441;2784;26871;0.6373133128983981;0.05440669835396325
10;7.334986998277307;12;257;79;5.898378795857751;28347;2710;26787;0.6349534485045216;0.05345520015934941
11;6.588254781292556;9;245;82;5.900958260861158;28192;2597;26733;0.6141866798305013;0.051850586735619375
12;6.714762888545379;12;242;76;5.88252948868288;28537;2635;27033;0.6335437327924914;0.052579404891907516
13;7.273991885447402;14;263;83;6.037376328725889;28348;2619;26883;0.6350690988551392;0.06022370050250787
14;6.775963783245574;11;252;78;5.905640484524778;28158;2587;26694;0.6074175534577559;0.06353528231058257
15;6.37183085400373;10;246;81;6.011069435490197;28209;2474;26857;0.6092365152822108;0.07004396688003692
16;6.988533641148957;7;238;77;5.8727672036355525;28294;2496;26893;0.615992651012838;0.05761290804769499
17;7.163956757452258;8;237;81;5.967580064124488;27941;2379;26642;0.594802797817052;0.052331712029588244
18;6.905867361832464;9;244;78;5.897672952183809;28346;2452;26983;0.608760809933555;0.06268596044805376
19;7.2747866366557075;11;223;79;5.9151261719917825;28270;2442;26926;0.6137442327093482;0.05678763877033281
20;6.931775680070376;11;235;73;5.8814593251965945;28310;2411;26989;0.6212615754195469;0.05541928663723361
21;7.0300891741434;5;244;84;5.988329689779371;28125;2491;26744;0.5835326179846593;0.05801322807789704
22;7.2952848347327075;7;242;76;5.872427339508455;27908;2620;26483;0.6114430212361541;0.053349223235142795
23;7.429688745127815;5;231;81;5.942735650476832;27629;2488;26264;0.5955020959328938;0.05237860568535142
24;7.397916474037057;9;239;81;5.913113799990244;27811;2438;26487;0.6038503466810993;0.06251305513793187
25;7.214258160629553;9;246;80;5.938504028081928;28175;2537;26796;0.6105521369855994;0.05805236919203296
26;7.390318625110072;14;242;82;5.982190103395074;28103;2470;26747;0.6399399326113264;0.0550807043115196
27;7.264022749390627;8;223;83;5.967913158825968;28158;2477;26817;0.6014964189740823;0.0485058770102875
28;6.7572674412667775;7;244;72;5.767591623229335;28195;2452;26835;0.6056152343547632;0.04440416866885296
29;6.988851652269588;7;230;75;5.867039224093303;27997;2467;26648;0.6098073849547915;0.04960848244031366
30;7.277913494765763;9;244;81;5.966373929636864;27735;2442;26409;0.6107419965224927;0.058234952421916494
