gen;fitness;n_species;p_isomorphisms;unique_fitness;entropy;total_gen_markers;active_gen_markers;inactive_gen_markers;avg_delta;std_delta
0;0.640625;15;197;49;3.8047515692690004;32432;2319;30873;0.6950429330132721;0.03183238502624875
1;0.65625;8;168;44;3.660643041685667;27487;1792;26407;0.6783317728850635;0.03350477370809472
2;0.6953125;7;160;35;3.6103744636754826;22839;1583;21931;0.6476945648277139;0.043397383363080494
3;0.6953125;4;155;39;3.4814878740078337;19315;1374;18610;0.6279912141015991;0.03016431897841492
4;0.6953125;2;136;34;3.328106612905893;16669;1217;16121;0.5858516084129439;0.037990823450113065
5;0.6953125;2;130;30;3.126621574190339;14814;1107;14329;0.5819065711621368;0.03553913426900742
6;0.6953125;1;127;30;3.274385154038084;13578;1110;13097;0.593965799857962;0.037844742498610924
7;0.6953125;1;118;24;3.0271402324824397;13186;1027;12777;0.5606793808367753;0.04042057724749821
8;0.6953125;1;123;24;2.926503287666856;13348;1054;12921;0.5930371162428111;0.034893180854703165
9;0.6953125;1;117;24;3.057631857361079;13093;1011;12683;0.5663627753574699;0.03266782151306534
10;0.6953125;1;117;31;3.026482598549154;12966;1005;12554;0.529054237433541;0.035908884559183334
11;0.6953125;1;122;28;3.067074853288406;13035;1014;12649;0.5746155645211874;0.03563782672559751
12;0.6953125;1;120;27;3.0275351594413817;13013;1031;12589;0.5525222960968004;0.03398005086957731
13;0.6953125;1;126;29;3.1749273363890613;12889;1055;12474;0.5334466798828187;0.03205440920149433
14;0.6953125;1;103;26;3.1157096085457403;12792;1031;12375;0.5462415032256307;0.036700756514060136
15;0.6953125;1;111;25;3.1546384118669817;12788;1059;12357;0.5486119930741333;0.030757343603299934
16;0.6953125;1;132;36;3.263209764672967;12942;1130;12483;0.5474081726593085;0.03686154030508531
17;0.6953125;1;118;26;3.0746411063371184;12814;991;12442;0.549130480452761;0.03442887490130102
18;0.6953125;1;114;26;3.156184853135773;13007;1062;12615;0.5480665487121298;0.034304907043629956
19;0.6953125;1;117;24;3.1268786155812336;13034;985;12661;0.5365837773350061;0.036101202511682785
20;0.6953125;1;126;25;3.078957217182865;12603;1005;12198;0.550172658351719;0.034839112326979955
21;0.6953125;1;123;28;3.1244217357850728;12660;1002;12262;0.5495477839761644;0.03266649968096552
22;0.6953125;1;128;26;3.1815241841979556;12779;1039;12394;0.5327631830028574;0.03306747528557157
23;0.6953125;1;119;26;3.068247479845779;12898;1008;12476;0.5359484814837487;0.04129746162034794
24;0.6953125;1;119;27;3.2006301746422605;12993;1022;12585;0.5602624265974347;0.03298479460423964
25;0.6953125;1;126;29;3.0720378954072136;12663;1037;12241;0.5364001202201572;0.032453626911945734
26;0.6953125;1;130;29;3.23105575361091;12730;1046;12317;0.5522983553169724;0.03339768107400735
27;0.6953125;1;119;25;3.183706812706588;12979;1020;12595;0.5552105265963299;0.029501461428315185
28;0.6953125;1;125;33;3.17517889923165;12751;1062;12329;0.5266612348309703;0.03318869350070413
29;0.6953125;1;128;27;3.0621354699861416;13084;1073;12632;0.5583981180984869;0.031184004164574865
30;0.6953125;1;119;28;3.0685753430223466;12733;1043;12312;0.5446546407927757;0.03089272544521714
31;0.6953125;1;115;29;3.1338928382488875;13196;1031;12775;0.5438820319300569;0.034529554620435665
32;0.6953125;1;120;31;3.2274777445387635;13098;1036;12666;0.5511522693056198;0.03057883332185566
33;0.6953125;1;123;24;3.031640043909997;13254;1038;12810;0.5486626365530148;0.033581664931756246
34;0.6953125;1;125;25;3.077322467904534;13626;1075;13195;0.5392354427182507;0.03560791940523252
35;0.6953125;1;137;26;3.1398154081338223;13582;1076;13104;0.5485630621351117;0.03538605020872299
36;0.6953125;1;126;27;3.025299674345887;13593;1110;13146;0.5643197887356574;0.027491551487969303
37;0.6953125;1;131;27;3.124150512157569;13372;1087;12930;0.5533879949507737;0.033192930249515654
38;0.6953125;1;127;30;3.1480998960047653;13183;1074;12751;0.5480890888986869;0.03099353393148766
39;0.6953125;1;126;29;3.0642102038762746;12951;1043;12547;0.5566968696284152;0.03204067074444275
40;0.6953125;1;121;25;3.1218276768790676;12973;1057;12525;0.5623133474980266;0.02969865922512358
41;0.6953125;1;126;31;3.1647015953856013;13007;1087;12565;0.5565438677736958;0.029292618487179786
42;0.6953125;1;128;28;3.1366707992016236;13290;1053;12836;0.5415792829130415;0.03172814774950243
43;0.6953125;1;121;31;3.176097195428657;13532;1085;13072;0.5501042229083112;0.03622297341203109
44;0.6953125;1;122;24;3.0236929359222464;13245;1073;12787;0.5338377852184094;0.030330872398487054
45;0.6953125;1;122;27;3.15939232446202;13003;996;12599;0.5535598223631616;0.03232618109717791
46;0.6953125;1;130;32;3.2884121565905224;13045;1104;12565;0.5461520049636857;0.0339453650078523
47;0.6953125;1;129;27;2.9344611608971736;12837;1093;12413;0.5494205232831155;0.033227480401320716
48;0.734375;1;117;28;3.0670196441130146;12949;989;12582;0.5416871212122361;0.02929825844921701
49;0.734375;1;124;31;3.1014200846986326;12994;1008;12599;0.558284731955233;0.033381475237338
50;0.734375;1;130;27;3.124733256267489;13146;1056;12707;0.5758510349646492;0.03114906481694461
51;0.734375;1;124;28;3.0025986918750385;13090;1058;12644;0.5591511242502435;0.03632870280993286
52;0.734375;1;124;30;3.1847497378701224;12797;1049;12349;0.549477021129838;0.033497604162439965
53;0.734375;1;117;31;3.180107149116551;12935;996;12522;0.5433529350393673;0.038632561669141315
