gen;fitness;n_species;p_isomorphisms;unique_fitness;entropy;total_gen_markers;active_gen_markers;inactive_gen_markers;avg_delta;std_delta
0;0.625;249;329;89;5.227410621747978;122328;7340;117420;0.7356153622707239;0.014204215244837046
1;0.6328125;118;331;75;4.909323990052459;89449;5858;85947;0.7285330346084097;0.031523470654702374
2;0.640625;22;319;59;4.3096879376117485;63319;4303;60932;0.6877837690655396;0.0584763178439528
3;0.65625;7;292;54;4.270664874030962;48048;3615;46208;0.6427499721232909;0.04619460473032925
4;0.65625;1;288;53;4.0554213509917245;38148;3149;36660;0.6332549221195315;0.03404841131369438
5;0.65625;1;266;42;3.8051735754176192;31728;2711;30570;0.5879293062101641;0.02652610723807749
6;0.65625;1;274;41;3.7558494298574776;28683;2585;27551;0.5769508129908391;0.02620264180235037
7;0.65625;1;280;39;3.425507520792913;27095;2618;25973;0.5765434650210973;0.027265638305317322
8;0.65625;1;280;42;3.8054488779430313;26589;2519;25549;0.5706685282821584;0.027587192715588377
9;0.65625;1;285;46;3.8193992421029708;25964;2441;24999;0.5838764545219551;0.024025983614605707
10;0.65625;1;264;40;3.638439876616856;25296;2379;24342;0.5715559808819046;0.02804483076014902
11;0.65625;1;276;44;3.6699431064127586;25634;2383;24628;0.5608073964454061;0.02210729791624578
12;0.65625;1;260;36;3.595503103247213;25287;2361;24307;0.5802067316653081;0.02061038518175785
13;0.65625;1;260;40;3.5540855349453864;24688;2274;23811;0.5725771392890519;0.022002732342668686
14;0.65625;1;274;39;3.513099023667765;25465;2424;24479;0.5813104807210857;0.03132259664839183
15;0.65625;1;273;42;3.6458476065112815;25753;2334;24825;0.5764706707688044;0.019387018063814786
16;0.65625;1;260;42;3.807475446460653;25647;2327;24755;0.5705030990948551;0.02733115479592178
17;0.65625;1;280;42;3.620419508640482;26503;2498;25455;0.560414365370229;0.020620282620111986
18;0.65625;1;276;37;3.5573257283091246;26060;2404;25049;0.5674983697917114;0.02396954527261964
19;0.65625;1;304;40;3.6501278139045965;25354;2531;24308;0.5790244256408074;0.023944228514304146
20;0.65625;1;273;37;3.665485266123146;25111;2356;24161;0.5631698234893491;0.03095338337562992
21;0.65625;1;282;40;3.6973662941846355;24829;2439;23818;0.5630042170084462;0.0317287523093629
22;0.65625;1;289;36;3.587804043592115;24513;2357;23554;0.5639396450237899;0.026550180572628975
23;0.65625;1;281;40;3.5954361430839623;24665;2389;23700;0.5610616654889078;0.019320607180363547
24;0.65625;1;264;39;3.674308009812363;25047;2474;24035;0.5779311850629465;0.019513459263659296
25;0.65625;1;285;36;3.4783580056162053;25260;2365;24305;0.5690837567985993;0.018302662743486582
26;0.65625;1;283;37;3.5020216984825154;25513;2451;24502;0.5897816471933531;0.02662865814183155
27;0.65625;1;275;43;3.7623109071435037;25272;2539;24243;0.5861081626459222;0.018297069044545405
28;0.65625;1;300;37;3.5662884261107703;25130;2623;24023;0.5687311229605866;0.024611210341826385
29;0.65625;1;304;38;3.6715855685760594;25277;2526;24250;0.603013533599062;0.018109753398034098
30;0.65625;1;268;34;3.5272210308199607;25150;2273;24249;0.5875324482925331;0.018793655104078415
31;0.65625;1;277;43;3.7157723587159266;24980;2359;23997;0.5766615900002395;0.02464971509768991
32;0.65625;1;261;35;3.5700965681406154;24839;2358;23907;0.577744874859587;0.019707360631030388
33;0.65625;1;279;38;3.5738403340648577;25409;2368;24406;0.572397483883725;0.01819155489802245
34;0.65625;1;279;38;3.7503742503693207;25652;2545;24576;0.5728316302355845;0.027243974772714775
35;0.65625;1;285;37;3.513903425971778;25607;2589;24523;0.5644784154353468;0.028517104190511854
36;0.65625;1;288;40;3.5272785197966803;25869;2461;24852;0.583001380715626;0.018894701216531674
37;0.65625;1;267;36;3.4786180471922696;25578;2585;24492;0.5737834248190646;0.022381300469268204
38;0.65625;1;281;40;3.67209392037217;25267;2510;24222;0.5693359290754787;0.018254780132440012
39;0.65625;1;275;39;3.5494428094066057;26087;2376;25076;0.5930442124282193;0.02910530891166385
40;0.65625;1;278;37;3.56047660797616;25937;2477;24944;0.5693016962155982;0.025204012653684636
41;0.65625;1;283;35;3.4302730793063647;25278;2401;24295;0.5868692821762801;0.029377106805642848
42;0.65625;1;282;42;3.5340912457981437;26111;2505;25092;0.6092033582076158;0.024312749576685597
43;0.65625;1;278;35;3.4965561754309107;26107;2581;25039;0.5766596145058486;0.026417008490188038
44;0.65625;1;276;42;3.5724391632039203;26773;2575;25694;0.5759292463497554;0.02599282539204279
45;0.65625;1;284;45;3.623037807625173;26001;2638;24863;0.5754125304165394;0.01823083875976556
46;0.65625;1;283;42;3.724924949671426;25961;2489;24925;0.5606806576257791;0.02421599067413158
47;0.65625;1;282;38;3.551650447335362;25691;2531;24627;0.585112872149407;0.024829604289964755
48;0.65625;1;287;39;3.6391426733980956;25934;2540;24852;0.5898463558095612;0.026868316614269153
49;0.65625;1;276;40;3.650280673196395;26566;2565;25491;0.5872404619162599;0.02330477071959043
50;0.65625;1;273;38;3.564490109844858;26216;2405;25244;0.5681470532335332;0.029658646279823685
51;0.65625;1;285;39;3.496691852005657;26031;2533;25026;0.59698216682233;0.02600921425754943
52;0.65625;1;290;37;3.4584829374341957;25931;2516;24896;0.5628907157474445;0.027464951625988873
53;0.65625;1;281;34;3.5614855881104566;26401;2475;25377;0.5673419881433074;0.025201995019761798
54;0.65625;1;266;31;3.5328018105640115;26764;2352;25765;0.5633899977664083;0.024338433239400745
55;0.65625;1;269;38;3.641282658357844;26368;2431;25338;0.5724508016778452;0.019341494031381946
56;0.65625;1;283;43;3.5919372935426384;25855;2336;24929;0.5765206490432045;0.03540341986476315
57;0.65625;1;275;41;3.725803878982008;25826;2434;24835;0.5603159417930198;0.023197977288814387
58;0.65625;1;279;39;3.647999312344851;25889;2355;24947;0.583874858773931;0.019888243333495134
59;0.65625;1;271;40;3.6329668276164884;25106;2305;24206;0.5749765992343912;0.02014085226711531
60;0.65625;1;257;40;3.600458689697926;25089;2353;24107;0.5640646503040228;0.027276188602416533
61;0.65625;1;281;38;3.616620697685885;25847;2436;24858;0.570054718679078;0.02693413933915393
62;0.65625;1;285;33;3.565388638889652;26237;2481;25201;0.5905547938404352;0.03097903014170484
63;0.65625;1;270;46;3.62866636163286;25732;2384;24717;0.5708441267989802;0.025002004618197318
64;0.65625;1;268;37;3.5547662025766384;26062;2355;25114;0.5716105773500589;0.02589894581896367
65;0.65625;1;280;37;3.467889065989217;25845;2390;24871;0.5667544051681458;0.021156940741162547
66;0.65625;1;282;35;3.575873019258391;25740;2310;24803;0.5834294383006109;0.024245701487684904
67;0.6875;1;282;34;3.5257374890902415;25899;2443;24884;0.5665031376878644;0.02030059189032103
68;0.6875;1;292;40;3.548342470419649;25867;2523;24830;0.5691703253086974;0.02296643092113802
69;0.6875;1;283;40;3.452600869986419;25509;2544;24447;0.5844141727541688;0.02803178609305034
70;0.6875;1;276;41;3.6550634940262814;26550;2534;25469;0.582639050196395;0.02297208528038494
71;0.6875;1;280;39;3.6351319330493923;25887;2422;24863;0.5789592634872675;0.03154989961088151
72;0.6875;1;289;42;3.657555891355863;26094;2564;24988;0.5879020131170767;0.02389810592232171
73;0.6875;1;271;42;3.6519816394977425;25742;2532;24678;0.571913651297647;0.020583807145656788
74;0.6875;1;283;45;3.7761906046560902;25865;2584;24779;0.6039276187740443;0.02516268675909642
75;0.6875;1;286;40;3.558766397479556;25731;2489;24729;0.5613498181608151;0.02502717936870973
76;0.6875;1;275;41;3.6022041050314852;26285;2511;25262;0.5961847697351462;0.02123763697661553
77;0.6875;1;277;42;3.6089802541931593;25736;2553;24658;0.5648626650658489;0.024157654158096297
78;0.6875;1;276;41;3.5823386856025987;25807;2324;24860;0.5849308467198795;0.028823941694684045
79;0.6875;1;286;40;3.589874726154781;25497;2475;24452;0.5801414051172015;0.023039011570764746
