gen;fitness;n_species;p_isomorphisms;unique_fitness;entropy;total_gen_markers;active_gen_markers;inactive_gen_markers;avg_delta;std_delta
0;0.64453125;250;339;84;5.17928246223258;121584;7425;116654;0.735341344900215;0.014238985480526203
1;0.64453125;123;325;88;5.094545190001671;89105;5913;85461;0.7278732593954124;0.03356565797401354
2;0.64453125;30;309;66;4.482749208670615;64148;4529;61580;0.6728488128017761;0.07229291246732973
3;0.64453125;15;296;55;4.2927141265105355;48937;3770;46980;0.6398023202802078;0.07150151846701241
4;0.64453125;6;287;51;3.9870193800274594;38684;3131;37216;0.6407842543051926;0.05069309060013801
5;0.64453125;4;297;44;3.9340863066951677;32709;2789;31480;0.5868518000949919;0.04845389662117917
6;0.64453125;4;287;43;3.715382943509664;29990;2712;28809;0.5850012305425271;0.060521191701823615
7;0.65625;4;302;45;3.8572928879767354;28206;2757;26996;0.606459134831284;0.049748341068921766
8;0.65625;3;291;41;3.64676072614614;27532;2685;26372;0.5868739145342813;0.03991022693903327
9;0.65625;3;285;43;3.6957058106162735;27304;2588;26185;0.5669764596216176;0.04139695411081771
10;0.65625;2;276;41;3.622008230471278;26843;2513;25797;0.5715718929230786;0.03589198265664668
11;0.65625;2;288;38;3.5759793559351323;26601;2512;25602;0.5655277230180058;0.03281024139548316
12;0.65625;2;280;41;3.519771787746311;26184;2604;25084;0.5889493617938395;0.035543767866312734
13;0.65625;2;296;35;3.647085385457011;26549;2491;25512;0.5771001195654567;0.036003720319322335
14;0.65625;2;284;39;3.5978853455599054;25648;2491;24626;0.579522568223172;0.03192929094335694
15;0.65625;2;269;46;3.7386040567976506;26093;2409;25100;0.5732649212017134;0.04148226472305327
16;0.65625;2;276;41;3.616265369506511;26034;2372;25093;0.5571069039047657;0.02809151434397729
17;0.65625;2;270;44;3.5555366534235047;26719;2468;25679;0.5848232273402802;0.038137894424780314
18;0.65625;2;282;38;3.5091602168777905;26994;2529;25907;0.5854864259156829;0.04217758159476528
19;0.65625;2;289;40;3.5549871070292496;27171;2659;26011;0.5656177416049387;0.039605031085762826
20;0.65625;2;280;41;3.7096185381071365;26810;2680;25663;0.5737819310982638;0.034095128065027916
21;0.65625;2;287;37;3.6221619028854763;26059;2596;24929;0.57415991737821;0.031646939167157204
22;0.65625;2;277;36;3.59881682737571;26834;2600;25717;0.5596171320297865;0.03863459471997254
23;0.65625;2;274;44;3.7603327987178155;26930;2481;25911;0.5800393807612402;0.04150534288850741
24;0.65625;2;289;40;3.502138483991573;27032;2635;25886;0.589047965512289;0.04398999070197459
25;0.65625;2;294;41;3.651899632384097;26832;2462;25788;0.577501775907825;0.032617125130424814
26;0.65625;2;286;42;3.6082719011513;25430;2356;24502;0.5882317466798002;0.039222709919348696
27;0.65625;2;277;44;3.695917666283025;25880;2386;24860;0.5642474865371744;0.03552018793924261
28;0.65625;2;291;44;3.6766526553107237;26326;2549;25264;0.5662815072542902;0.030065091563966324
