gen;fitness;n_species;p_isomorphisms;unique_fitness;entropy;total_gen_markers;active_gen_markers;inactive_gen_markers;avg_delta;std_delta
0;0.671875;118;191;53;3.6664877133184266;32586;2218;31150;0.7707824378657979;0.038246582141216096
1;0.671875;55;173;46;3.7931588531054623;27700;1868;26557;0.7538383484386321;0.0581724592514788
2;0.671875;25;161;36;3.5521251748752554;22834;1592;21941;0.7119778809557611;0.06882363569018651
3;0.6875;14;146;33;3.3443565435896048;19273;1383;18549;0.650907085741243;0.07590543144242348
4;0.6875;8;143;35;3.3920320071643513;17151;1343;16475;0.6296726658798144;0.06692018346501262
5;0.6875;5;144;33;3.2095224773499855;15671;1303;15044;0.5796613005851964;0.05063877141980123
6;0.6875;3;136;29;3.149990497319599;14685;1154;14178;0.6021252525839405;0.050614904916733164
7;0.6875;3;131;31;3.0908385651013415;13858;1075;13407;0.5828261682031116;0.0418610906327738
8;0.6875;4;123;29;3.1693921694474483;13212;1102;12749;0.6012755102258088;0.044984570406981055
9;0.6875;4;116;27;3.186216503398441;13202;1058;12782;0.5762999253048314;0.04048798381967915
10;0.6875;4;122;29;3.1499425504328524;13083;1094;12637;0.5785838344622173;0.04914456212102701
11;0.6875;4;127;29;3.1281713720546267;13040;1093;12590;0.5703735051232028;0.04272207892896055
12;0.6875;3;116;27;3.1110596491311204;13141;1021;12728;0.5824378321139293;0.044170034023247734
13;0.6875;3;115;30;3.1628344155763104;13175;1054;12722;0.5674980859091632;0.04234438907317518
14;0.6875;2;113;32;3.2173587657597444;12449;1006;12049;0.5417508351744977;0.04009523747877012
15;0.6875;2;126;29;3.1162384439681725;12619;1113;12138;0.5896586335545312;0.035861922159494936
16;0.6875;3;123;26;3.1138582609466323;12654;1112;12202;0.6210902512745732;0.042953731641416165
17;0.6875;2;131;29;3.2788104417465957;12770;1106;12318;0.5579780834741951;0.03725327497067507
18;0.6875;2;126;26;3.1138135895049923;12531;1054;12093;0.5516980219289592;0.04052091360720198
19;0.6875;2;115;27;3.1622779118424256;13019;1060;12596;0.5719738243917022;0.03789935482763342
20;0.6875;3;125;25;3.050042308456496;12909;1103;12458;0.5840987959977068;0.04285985547186245
21;0.6875;2;128;31;3.1432034735801317;12972;1060;12533;0.5563904889350842;0.0417161337515068
22;0.6875;2;120;25;3.00343669247765;12960;1070;12533;0.5762569647221831;0.040456659308969356
23;0.6875;2;122;26;3.0315701833029784;12742;1032;12340;0.5910874658399172;0.03693539550891275
24;0.6875;2;121;20;2.9220910222362555;12737;1017;12359;0.5816919063136051;0.039925529703150886
25;0.6875;2;129;26;2.95229699733535;12948;1007;12530;0.5742095966619777;0.04008530133792674
26;0.6875;2;114;22;2.9597798542256837;12857;1029;12460;0.5610206066615224;0.04108219879575553
27;0.6875;2;114;31;3.198483797528653;13014;1038;12582;0.573917302384056;0.03951038193357054
28;0.6875;2;116;28;3.1906850426026887;13268;1022;12831;0.5656411235034242;0.04162785132071228
29;0.6875;3;118;27;3.0163735891525385;13383;1006;12979;0.596310624700482;0.044206504453964734
30;0.6875;3;110;26;3.0596321710213887;13115;1004;12719;0.612415405197728;0.033765352994335494
31;0.6875;2;128;25;3.071473701315436;13313;1047;12887;0.5607979021823648;0.03842300443170226
32;0.6875;2;122;29;3.187699136914033;13485;1072;13039;0.5741645970699766;0.044782428492793715
33;0.6875;3;121;25;3.089851103158277;12950;991;12566;0.6206317971805384;0.03706670631682491
34;0.6875;2;116;29;3.055932595299783;13091;968;12713;0.5888658237760918;0.03269801091332216
35;0.6875;2;109;25;3.112472217426646;12955;984;12567;0.5760022333903451;0.03910088748765755
36;0.6875;2;125;25;3.0882087682542236;12800;1007;12406;0.5383550374484101;0.04585483286989455
37;0.6875;2;110;22;2.9626450841624727;12666;929;12315;0.575285383664445;0.039710959433998286
38;0.6875;1;121;24;3.0732685151068106;12955;991;12580;0.5645243047449382;0.036561890057933116
39;0.6875;1;122;27;3.06179028304053;12860;1004;12483;0.5868881542107968;0.03441993652685156
40;0.6875;1;118;26;3.1425191372456798;12714;980;12337;0.5973564849592867;0.03928878991185579
41;0.6875;1;117;23;3.009176135584833;12881;1014;12483;0.5797481395597608;0.03559643914973524
42;0.6875;1;110;21;3.120877872875803;12812;909;12449;0.564368671663059;0.030162724131611394
43;0.6875;1;114;24;3.0074370935866463;12972;950;12593;0.5586259252715804;0.031505231041881306
44;0.6875;2;118;22;2.9889498296187136;13194;982;12805;0.5881114634322709;0.03092891021030851
45;0.6875;1;116;24;3.0308825432034014;12877;992;12492;0.5703011012488739;0.0323070002695618
46;0.6875;1;110;21;3.0979904226956108;13066;1009;12659;0.5686917691700051;0.031193639840150562
47;0.6875;1;110;26;3.155457933212894;13049;958;12642;0.5606650138323963;0.03777160534328356
48;0.6875;1;116;22;3.0993341903711746;13012;1000;12604;0.5838332067596181;0.02901469858879597
49;0.6875;1;114;26;3.0798085956019787;13143;998;12729;0.5703126079112711;0.03583214621494328
50;0.6875;1;119;25;3.0231655808367073;13129;1032;12699;0.5992277091777425;0.03082764601914454
51;0.6875;1;120;26;3.1265984221158822;13275;983;12899;0.5699580291930162;0.03536763784157187
52;0.6875;1;119;23;3.1303117629827204;13110;1011;12712;0.5740442284109649;0.034772718765130904
53;0.6875;2;123;26;3.0780285493182826;13012;1010;12605;0.5922165131852866;0.03176229880187354
54;0.6875;1;118;27;2.920926012214304;13107;1013;12690;0.5754275929842791;0.04168671617522364
55;0.6875;1;113;26;3.164418827414439;12776;1025;12371;0.5631321112844327;0.03308170169190223
56;0.6875;1;122;24;2.9809948285738437;12849;991;12475;0.5760089088927507;0.03847552913546166
57;0.6875;1;119;22;2.9538512424118664;12969;1006;12559;0.5771670048620081;0.02991957176073256
58;0.6875;1;130;23;3.0593891283667927;12903;1042;12509;0.5904636318265759;0.03344984458849454
59;0.6875;2;128;22;3.0441467411998553;13064;1075;12642;0.5771725230924238;0.03523951357923356
60;0.6875;2;112;25;3.1353387554752032;13416;1012;13031;0.5864599054528176;0.03697059632889506
61;0.6875;2;120;27;3.092472353663082;13522;1038;13117;0.5870109652605142;0.039554331457411475
62;0.6875;1;124;26;3.14285733221372;13524;1040;13117;0.5638934747523524;0.033806723786699966
63;0.6875;1;133;27;3.114756905108755;13595;1072;13171;0.5660729420866739;0.03469325428230374
64;0.6875;1;126;26;3.066717145809279;13388;1050;12949;0.5726697124172753;0.03517198753821461
65;0.6875;1;122;23;2.979491422486302;13215;1013;12814;0.550097627653991;0.03751883766682114
66;0.6875;2;125;21;2.9149603685847767;13116;985;12735;0.6132733870559647;0.037504587869357675
67;0.6875;2;121;22;3.001065630914079;13082;981;12707;0.5818016607020047;0.03407327089475261
68;0.6875;1;118;28;3.0194989664018057;12958;946;12609;0.5901890842218293;0.03347344620150318
69;0.6875;1;122;25;3.0622896919766545;12750;1034;12339;0.5766401207480517;0.03388647522957141
70;0.6875;1;120;22;3.0937330496918714;12681;978;12307;0.5636375763596768;0.031256259568611534
71;0.6875;1;122;27;3.0356340864172644;12738;1019;12329;0.5790040075025429;0.03345240258760806
72;0.6875;1;121;25;3.198109977680103;12431;919;12077;0.5608335358864233;0.03233532783717475
73;0.6875;1;127;22;3.037406792282584;12332;1006;11969;0.5628783590203014;0.03125017262119776
74;0.6875;1;125;24;3.0739870318490237;12580;1013;12171;0.588936937400068;0.03386960900767145
75;0.6875;1;119;30;3.0796773316356765;12186;1004;11790;0.5426059802643592;0.03158747340842151
76;0.6875;1;118;27;3.076227571188131;12474;961;12097;0.6038085323025052;0.03138898165986816
77;0.6875;1;115;27;3.2699001215791075;12419;1024;11993;0.5737254645208777;0.038618471407858034
78;0.6875;1;107;24;3.0676374806067233;12384;986;12002;0.5981571939113769;0.02989710715493686
79;0.6875;1;108;29;3.129610428369848;12578;1043;12168;0.5541189455266761;0.03332320543203821
80;0.6875;1;120;27;3.189966952956144;12595;1034;12189;0.5768789486227083;0.0333803897395431
81;0.6875;2;115;22;3.112464493825524;12575;1006;12188;0.617771699030626;0.03467379235891026
82;0.6875;1;111;27;3.1379649525276845;12714;994;12292;0.548039647198104;0.04031619312827207
83;0.6875;1;128;24;3.1017725236918348;12966;1065;12547;0.5838147227837421;0.03183109920721235
84;0.6875;1;128;27;3.0190471024220282;12933;1087;12471;0.5596729180717329;0.04265292413098877
85;0.6875;1;124;30;3.2954581885955463;12894;1058;12488;0.5497151449898763;0.04082793142693121
86;0.6875;1;107;23;2.9836974354767616;12695;956;12367;0.5715208645388299;0.03637876878764344
87;0.6875;1;119;27;3.077555997351189;12801;1011;12414;0.5427039623436799;0.03625579304675136
88;0.6875;1;124;23;3.063108479381143;12678;1052;12269;0.582839989485441;0.0343271544967202
89;0.6875;1;116;23;3.075902804814528;12851;1022;12452;0.5444419303156005;0.03395013780792672
90;0.6875;3;123;24;3.0365540604466497;12913;1020;12503;0.6236606293469907;0.04713565347481973
91;0.6875;1;120;30;3.0645795674796226;13085;1067;12645;0.5600657308286813;0.03304201446138026
92;0.6875;2;126;26;3.109716722213445;13190;1080;12734;0.5982553762594446;0.03776369490003224
93;0.6875;1;120;23;3.095867433320553;13192;1057;12764;0.5877069677210398;0.036152917520511085
94;0.6875;1;127;24;3.1508949841648293;13247;1023;12825;0.5886403538852102;0.03808181200324332
95;0.6875;2;129;28;3.1116768504314165;13573;1112;13111;0.6013962567794567;0.03428035104378665
96;0.6875;3;120;24;3.078069301415095;13071;1058;12641;0.6541485165265016;0.03765554374628144
97;0.6875;2;123;27;3.051738490945962;13287;1030;12883;0.5975418918202418;0.03234073104296809
98;0.6875;2;119;29;3.1213472270404417;13214;1045;12811;0.5665126712119868;0.04080717110882869
99;0.6875;2;119;23;3.137834975860635;13293;1042;12854;0.5783997512417266;0.04437699452604581
100;0.6875;2;119;25;3.158839977297032;13369;1056;12951;0.5318657701218796;0.04177226311033823
101;0.6875;2;128;26;3.1452838473058566;13395;1092;12944;0.5549783360417403;0.04662916119454342
102;0.6875;2;118;29;3.1229174817999685;13500;1084;13070;0.5569231697901731;0.051109442787093846
103;0.6875;2;123;30;3.1052244723741973;13506;1077;13049;0.5771085250421719;0.040901488181764104
104;0.6875;2;132;27;3.0377569183574957;12926;1104;12474;0.6032206189286902;0.04063956384011581
