gen;fitness;n_species;p_isomorphisms;unique_fitness;entropy;total_gen_markers;active_gen_markers;inactive_gen_markers;avg_delta;std_delta
0;93.23861037172345;9;282;24;0.40974339091268885;39219;3893;37508;0.7926923201704951;0.022615505276106732
1;78.65705735796705;11;285;23;0.4766001732366024;38812;3663;37301;0.7854695186221237;0.03175205796274875
2;78.65705735796705;6;290;20;0.4471308616287546;37706;3415;36306;0.751874469120413;0.032783048456977056
3;78.65705735796705;3;249;21;0.38530587861657667;37756;3049;36565;0.7324378078097544;0.03354638279734505
4;78.65705735796705;3;211;16;0.27523361923357514;37887;2540;36912;0.7364579053899207;0.03275553657639639
5;65.53733243735725;3;192;18;0.3089881993138364;37639;2161;36844;0.7076492033848656;0.030838164144236728
6;52.506182298104875;2;189;21;0.3662491895320773;37316;2191;36505;0.7377106815322892;0.0443247459670565
7;52.506182298104875;1;157;17;0.33637377024367315;36834;1779;36206;0.7084389608961922;0.0317305471814737
8;52.506182298104875;2;136;15;0.23187993661663894;36650;1480;36137;0.7124823224852053;0.033118462576085465
9;52.506182298104875;1;155;10;0.19512421693740442;36949;1494;36445;0.6945152787913647;0.02797839107586052
10;52.506182298104875;1;140;11;0.1414329042714591;37174;1421;36677;0.7061774335498939;0.02547618042653395
11;49.681309280861;2;146;12;0.23882558068507928;36287;1338;35827;0.7078501379233446;0.03856243622068352
12;41.79306860628697;1;126;18;0.31627092317526934;34869;1372;34415;0.6938698406867726;0.034140524337237355
13;41.79306860628697;1;142;17;0.2945818118656482;34204;1303;33779;0.6632028274292129;0.03024208566902283
14;41.79306860628697;1;138;13;0.2627042942205943;34634;1238;34247;0.6928316209435761;0.026881435696197973
15;41.79306860628697;1;143;15;0.28142466101287766;34662;1264;34287;0.6840726002588176;0.02521174374580076
16;41.793068606286965;1;150;15;0.305906395198669;34512;1317;34113;0.690089782836465;0.026115007462398494
17;41.793068606286965;1;142;13;0.23341047474967289;34402;1254;34013;0.6838140178547216;0.027812406412280694
18;41.793068606286965;1;146;16;0.2842591278690143;34074;1327;33679;0.6962965567822295;0.025467180029783484
19;41.793068606286965;1;145;24;0.40118978561542246;34551;1319;34128;0.7011297918737607;0.024860092607973748
20;41.793068606286965;1;145;13;0.20347273248300116;34012;1322;33607;0.6927463064002092;0.026819419032023194
21;39.23336325428162;1;138;20;0.3116244072487947;34192;1214;33793;0.6768818668687454;0.02972082359167664
22;39.23336325428162;1;126;17;0.2734982817400655;34352;1246;33960;0.6737848403206956;0.03910883832144228
23;39.23336325428162;1;138;17;0.2886018686507777;34030;1205;33663;0.6834750477769415;0.031216962601430975
24;39.23336325428162;1;137;12;0.19987910443956788;34073;1207;33672;0.6705337650477381;0.027312408627377875
25;39.23336325428162;1;144;15;0.3177693368470881;33952;1390;33511;0.6898808282234973;0.02808575005569551
26;39.23336325428162;1;138;20;0.3450448047067303;33842;1275;33457;0.6917488930809559;0.025810494701922967
27;39.23336325428162;1;131;13;0.25959922458090495;33645;1291;33244;0.6911175875293698;0.026338350371749447
28;39.23336325428162;1;130;19;0.29017954851504113;34277;1244;33913;0.6829061820071258;0.032781071367183244
29;39.23336325428162;1;130;19;0.30684368819766833;34283;1251;33882;0.7174165123658509;0.03711037986646255
30;39.23336325428162;1;135;19;0.3159428177562197;33844;1147;33528;0.6621954771835237;0.027442155422344783
31;39.23336325428162;1;129;16;0.27237886626130176;33783;1200;33415;0.6881817220615519;0.025968659503316942
32;39.23336325428162;1;139;21;0.3418255237578567;34238;1347;33829;0.6895753656451198;0.02820418816406765
33;39.23336325428162;1;142;21;0.3360758433335449;33865;1335;33469;0.6935233540087932;0.03644589024168514
34;39.23336325428162;1;143;15;0.3177693368470881;34242;1338;33869;0.7131279447562154;0.02365315115721658
35;39.23336325428162;1;154;19;0.29250200318066777;32836;1312;32469;0.6809069445836533;0.028920317618550104
36;39.23336325428162;2;138;18;0.31635050252924257;32946;1237;32582;0.7441215755247867;0.026724573943559416
37;39.23336325428162;2;140;17;0.2814982817400656;33577;1179;33230;0.675424689398139;0.030167366221528494
38;39.23336325428162;1;153;18;0.3048436881976683;34194;1346;33759;0.6995984695556113;0.025683014375508968
39;39.23336325428162;1;151;15;0.26598850673573854;35025;1345;34620;0.7190427284070686;0.027413071786823975
40;39.23336325428162;1;141;22;0.35117050172580305;35544;1225;35141;0.6912407189795597;0.02591717930194788
41;39.23336325428162;1;124;10;0.17636260870289497;34926;1076;34609;0.6911303533327204;0.03562810539251286
42;39.23336325428162;1;134;18;0.28935675615294104;35131;1218;34787;0.6823395386314789;0.02788115482467399
43;39.23336325428162;1;139;16;0.28550424036685085;35857;1347;35460;0.698905872939237;0.02512917058795001
44;39.23336325428162;1;134;21;0.3243505025292426;35650;1242;35293;0.6938172212560388;0.028835657516336967
45;39.23336325428162;1;146;19;0.2950720368613212;35308;1261;34940;0.679443887578907;0.02651699958722479
46;39.23336325428161;1;133;20;0.3030140153711778;35246;1201;34885;0.6897857660872537;0.026002501972051933
47;39.23336325428161;1;130;19;0.3158429522861098;34969;1230;34592;0.6948467750571289;0.024311018946076377
48;39.23336325428161;1;133;12;0.16684023640394807;34874;1154;34539;0.6906932346135547;0.025138494576166168
49;39.23336325428161;1;135;16;0.3026093141700085;34520;1279;34131;0.6924362158699781;0.026073142518997908
50;39.23336325428161;1;136;18;0.26249267373454793;34493;1213;34147;0.6817301633134368;0.03106552443189214
51;39.23336325428161;1;127;14;0.2700376097339576;34396;1155;34063;0.6989374867752807;0.024897581694825435
52;39.23336325428161;1;126;18;0.2531199806942196;34801;1176;34445;0.6724107129987535;0.03806719421843682
53;39.23336325428161;1;140;9;0.21078128426658227;34976;1224;34629;0.7013651992703245;0.02628857963975774
54;39.23336325428161;1;130;16;0.25649267373454787;34595;1203;34232;0.685910019538937;0.026053809209806975
55;39.23336325428161;1;138;18;0.33346099578125643;34039;1176;33688;0.6827395981863911;0.027278539714487352
56;39.23336325428161;1;125;18;0.2819885067357386;33997;1196;33640;0.6911852425168741;0.02641416246666901
