gen;fitness;n_species;p_isomorphisms;unique_fitness;entropy;total_gen_markers;active_gen_markers;inactive_gen_markers;avg_delta;std_delta
0;87.67476973248972;999;291;22;0.49558052716598255;39271;3955;37628;0.9110688818917281;0.023056796566475225
1;78.97750140978748;220;290;26;0.5819090315922064;38878;3852;37259;0.901205517281671;0.028108042688837986
2;78.97750140978748;210;277;25;0.6689206011734429;37374;3689;35866;0.8787126783338357;0.03151604116129406
3;78.97750140978748;163;281;21;0.5939219243331353;35710;3338;34454;0.8664189178753291;0.0335965401902729
4;78.97750140978748;128;269;35;0.8138646157860054;35184;3213;34023;0.8618018447618739;0.03431751730776063
5;75.95572757439167;106;256;25;0.6071536032834535;34790;2983;33727;0.8543914963774917;0.034951258779712266
6;67.82797599088377;89;229;18;0.6044292595311387;35577;2659;34607;0.8544368924171777;0.03520399564625772
7;67.82797599088377;91;205;21;0.5197460855946511;35393;2261;34625;0.8531068298093512;0.03541165727666323
8;67.82797599088377;76;182;21;0.4840399596565748;35422;1795;34820;0.8495888268859972;0.037558479689077925
9;35.76678058995523;77;156;16;0.345127387888598;35316;1421;34871;0.850667477192731;0.039358404024731515
10;35.76678058995523;65;145;15;0.41230656871828936;34841;1168;34497;0.8445266500649482;0.03654055007128212
11;35.76678058995523;46;140;17;0.34738041420076576;35302;1146;34949;0.8333484391765121;0.04131907241182413
12;35.76678058995523;57;132;20;0.41254040371860484;34859;1126;34516;0.8365196817350702;0.03832382731011031
13;35.76678058995523;50;139;10;0.3829119258411609;34529;1262;34142;0.838692456224822;0.04351381509431934
14;30.303379093434547;63;151;13;0.2938513553068195;35147;1247;34772;0.8415053768328357;0.0407107687436874
15;30.303379093434547;55;134;18;0.40493076324416805;34988;1177;34623;0.8351288450088916;0.041063960459934275
16;30.303379093434547;55;147;17;0.37342163807400724;35821;1319;35404;0.8416062306800768;0.03836609187142698
17;30.303379093434547;62;138;20;0.41083284181960006;35022;1307;34576;0.8427700885585545;0.036762326801200985
18;30.303379093434547;68;137;17;0.3952323037000396;35050;1208;34676;0.8387075078489314;0.037287317001115226
19;30.303379093434547;57;134;18;0.3790995526418956;35135;1230;34765;0.8382036451301436;0.04109713965938752
20;30.303379093434547;58;136;20;0.3889505154344029;35502;1290;35077;0.8357981621806819;0.040502281203846344
21;30.303379093434547;41;142;21;0.3152340477232315;35470;1254;35085;0.8312522254979845;0.03491451474200754
22;30.303379093434547;51;139;22;0.3829583722605153;34716;1264;34326;0.8291871933657307;0.03831773059911549
23;30.303379093434547;44;123;12;0.25247873173141167;34667;1127;34317;0.8292210560040496;0.03714460733904036
24;30.303379093434547;52;134;17;0.27764725020839437;34745;1145;34386;0.8294414307846941;0.03451089246580562
25;30.303379093434547;36;143;17;0.30194281775621973;33873;1263;33513;0.8169855628593025;0.04603876396040621
26;30.303379093434547;44;131;16;0.2522280112280575;33513;1121;33186;0.8260612734041204;0.0391066848602365
27;24.594614009004427;42;133;17;0.3610640885963495;33317;1166;32939;0.8215429026765886;0.03759280567121821
28;24.594614009004427;30;130;13;0.29876114817094246;33101;1146;32752;0.8155287056208897;0.036607885451576665
29;24.594614009004427;46;141;15;0.3092152394955472;33379;1299;32978;0.8282421074503425;0.03312495096796434
30;24.594614009004427;37;125;21;0.334466202859108;33441;1193;33067;0.814957692615502;0.04162437397481158
31;24.594614009004427;48;132;28;0.4083092010941862;33542;1230;33127;0.8264248742501694;0.03730933485174087
32;24.594614009004427;29;125;17;0.3264156142236395;33321;1132;32983;0.8107562559756546;0.04171234986813367
33;24.594614009004427;41;138;20;0.34078714079192385;34493;1159;34099;0.8239049363540162;0.04450752338763451
34;24.594614009004427;41;134;18;0.32081489597595275;33805;1133;33479;0.8175653341444702;0.041789224092079864
35;24.594614009004427;40;141;23;0.36625319653083827;33594;1275;33189;0.8196213390485781;0.04119040924870281
36;24.594614009004427;52;134;20;0.3276317360029714;34366;1223;34006;0.8298709076659393;0.03572697971452839
37;24.594614009004427;33;137;15;0.2900829151768604;34460;1258;34062;0.8168882439583659;0.040368017419177005
38;24.594614009004427;39;137;28;0.4783022826527639;34769;1317;34363;0.8157076896987174;0.04951143762905993
39;24.594614009004427;53;141;26;0.4104124305138656;34889;1338;34476;0.8310176131128811;0.034644572535163475
40;24.594614009004427;36;121;20;0.32681489597595276;34158;1143;33797;0.8121914681821792;0.04538975307975577
41;24.594614009004427;46;127;15;0.37640443969453363;34104;1204;33745;0.8267862086045243;0.035170898146885066
42;24.594614009004427;34;145;27;0.3772296395234234;33620;1253;33221;0.8183760618393187;0.03823686593103417
43;24.594614009004427;53;139;18;0.3180600084737893;33735;1234;33371;0.8280077756970621;0.039661524513180044
44;24.594614009004427;34;137;20;0.3532296395234233;33987;1351;33552;0.8153771168711245;0.045084278685724156
45;24.594614009004427;41;125;19;0.38605193891870143;34051;1122;33729;0.8247941013634975;0.037872586834899254
46;24.594614009004427;35;130;24;0.38879942608985923;34118;1180;33772;0.8179506252248949;0.03794974311047603
47;24.594614009004427;42;136;19;0.35498026977405106;33794;1180;33457;0.8200764482406334;0.044094413048568024
48;24.594614009004427;46;145;19;0.3948071753498107;33183;1371;32775;0.8271368060209475;0.03711458543690609
49;24.594614009004427;37;149;20;0.3600942503601821;33542;1298;33148;0.8175829350166088;0.04224588194441834
50;24.594614009004427;38;131;22;0.3675545286920636;33757;1259;33380;0.8213287657212158;0.0395614545904978
51;24.594614009004427;40;136;18;0.309464067142282;34262;1173;33900;0.8220710063887163;0.035922327640949756
52;24.594614009004427;52;136;21;0.33417570880365477;34580;1237;34189;0.8321175938379282;0.03855396404553297
53;24.594614009004427;50;144;21;0.36820933562407626;34122;1283;33720;0.8283557543151026;0.03989821679758371
54;24.594614009004427;42;133;15;0.28496938521674103;34100;1106;33770;0.8247946413208568;0.04664150602832915
55;24.594614009004427;49;141;10;0.26408880069550483;33922;1257;33530;0.8285964936628103;0.040629901602591924
56;24.594614009004427;45;137;18;0.34489836069840646;34004;1205;33623;0.8256167558976235;0.04052046212082544
57;24.594614009004427;46;133;19;0.3109881993138364;33078;1218;32720;0.8260925351265719;0.03876325553688265
58;24.594614009004427;39;142;16;0.3108727398948483;33413;1216;33043;0.818746296569982;0.04123932348002992
59;24.594614009004427;271;275;31;0.6170394853118463;38817;3640;37312;0.885741098560501;0.03098539907197833
60;24.594614009004427;218;260;25;0.6153686450786164;37606;3222;36414;0.87742660860637;0.032005687269441724
61;24.594614009004427;163;247;29;0.6451336369939322;36404;3028;35220;0.8690907422894618;0.03141997735433806
62;24.594614009004427;116;194;21;0.49555968025298824;36093;2469;35104;0.8602954635403124;0.03568798621034851
63;24.594614009004427;96;197;18;0.4374244905794995;35543;2225;34677;0.8560603626776484;0.036060383134185324
64;24.594614009004427;86;157;20;0.442183313638781;35312;1843;34609;0.8510053847898802;0.03440663715608935
65;24.594614009004427;73;163;18;0.38804790253726523;35797;1850;35088;0.8452823997817691;0.03758908567166974
66;24.594614009004427;67;160;21;0.4181227249208345;36403;1936;35641;0.8436185106562776;0.036134350649700185
67;24.594614009004427;67;149;18;0.36181897609851305;36768;1784;36100;0.8398665388345902;0.03854262482022201
68;24.594614009004427;70;154;16;0.38020783879880526;37087;1763;36427;0.8402913099573129;0.036279068336376175
69;24.594614009004427;72;138;12;0.2539539217740247;37213;1542;36637;0.8418351243792388;0.03449336703738114
