gen;fitness;n_species;p_isomorphisms;unique_fitness;entropy;total_gen_markers;active_gen_markers;inactive_gen_markers;avg_delta;std_delta
0;0.5625;2;138;4;0.5893898912865848;81420;10628;76249;0.6723038645239404;0.010841283252829749
1;0.5625;3;148;4;0.4752296248308703;57151;10546;51530;0.6663069573705246;0.02427609607762991
2;0.5625;2;170;4;0.3877987129869214;44323;9549;39317;0.6078165755891914;0.026447721131501976
3;0.5625;1;181;4;0.3046344937665042;36268;8654;31832;0.5653890197323633;0.0317253884055447
4;0.5625;1;191;5;0.2941055191405387;31467;8173;27246;0.6392474283121182;0.02460846398957837
5;0.5625;1;199;4;0.29673075098016205;27556;7227;23890;0.5543917985212878;0.025803480772739754
6;0.5625;1;189;4;0.272300852630003;24812;7049;21287;0.520993511070468;0.02480089529204826
7;0.5625;1;194;4;0.24588610908253233;23540;6871;20198;0.5323067937270516;0.02286629073226811
8;0.5625;1;193;4;0.2427074003659321;23031;6974;19635;0.5186419354918187;0.020146929176893043
9;0.5625;1;186;4;0.272300852630003;22838;6756;19454;0.5163983560954872;0.030353477442242212
10;0.5625;1;191;5;0.2930090261689056;22731;6616;19518;0.5050351020225502;0.023528444468680822
11;0.5625;1;185;4;0.21180603067642548;22555;6514;19405;0.5261407440990997;0.01852615019953083
12;0.5625;1;182;4;0.23956655083782474;23146;6586;19968;0.5295964744844077;0.02096363173296902
13;0.5625;1;187;4;0.26492909188479036;22560;6497;19470;0.5081108276325405;0.019700453032532494
14;0.5625;1;188;5;0.2994475880666529;22165;6360;19133;0.5277549321593463;0.019389387789976294
15;0.5625;1;185;5;0.3578102783829043;23400;6746;20063;0.5251958873164124;0.020741359103224947
16;0.5625;1;186;4;0.3377425077091202;23056;6714;19769;0.5118019132438051;0.023797782307624932
17;0.5625;1;194;4;0.25428557096297183;22338;6391;19215;0.5045833451091624;0.02130426911194709
18;0.5625;1;197;4;0.25380242112259954;22508;6501;19417;0.5082343951908292;0.026049343797809283
19;0.5625;1;207;5;0.24678583178669836;22791;6481;19609;0.5238083558080932;0.01991495962962556
20;0.5625;1;198;4;0.3179496784148786;22877;6515;19794;0.5044724505746974;0.02805017167436787
21;0.5625;1;195;5;0.34969084461119443;22050;6321;19005;0.5097065765922403;0.020630997917974823
22;0.5625;1;197;4;0.2149092686450122;22589;6521;19464;0.5182638501976419;0.02064250283328623
23;0.5625;1;193;5;0.2610217020714731;22527;6518;19416;0.5049056524792932;0.027347857966127716
24;0.5625;1;187;4;0.25428557096297183;22289;6501;19168;0.5277341538294602;0.025004566794226496
25;0.5625;1;189;5;0.23564725020839444;22009;6596;18862;0.5102795979437735;0.01721827343995779
26;0.5625;1;193;5;0.27452255484905014;22315;6540;19185;0.5052785946317314;0.020377290921973462
27;0.5625;1;192;5;0.3348140854259378;22163;6308;19172;0.6296851992827686;0.02660779735118794
28;0.5625;1;200;5;0.37782868578948486;22279;6446;19170;0.530558749627186;0.020346674618204937
