gen;fitness;n_species;p_isomorphisms;unique_fitness;entropy;total_gen_markers;active_gen_markers;inactive_gen_markers;avg_delta;std_delta
0;0.53125;7;119;3;0.3040779543174365;37746;3653;35282;0.6600052069261458;0.029224246003821786
1;0.53125;7;127;4;0.3374529165441153;33946;3579;31572;0.6692089305338501;0.034642098824698854
2;0.53125;3;138;3;0.325598845711236;27865;3449;25774;0.650715030760005;0.02855148824426835
3;0.53125;2;148;3;0.22194073285321086;23012;3218;21165;0.5777489988193847;0.035433497632368284
4;0.53125;1;155;3;0.23183808683847465;19755;3063;18096;0.6149525202951684;0.030540184941513896
5;0.53125;1;146;4;0.315046702081444;17393;2859;15951;0.537293497251173;0.031748120282841706
6;0.53125;1;135;3;0.1789460813029628;16206;2729;14892;0.5182800474996478;0.028745237884734143
7;0.53125;1;130;3;0.1970698995679242;15234;2632;13951;0.5421823154298938;0.031614516405050114
8;0.5625;1;139;4;0.1686598234906943;14847;2579;13612;0.5149638456114886;0.03215669348683463
9;0.5625;1;133;4;0.15438844025185794;14491;2568;13312;0.5369339013788242;0.027482338191180827
10;0.5625;1;136;4;0.27375896453640414;14873;2572;13689;0.5254545181279425;0.029571436469384104
11;0.5625;1;122;5;0.178369329435241;14557;2512;13402;0.5192011330248404;0.027688985501302263
12;0.5625;1;131;4;0.2118897186363583;14412;2513;13265;0.5158991041525496;0.025485383048050432
13;0.5625;1;135;4;0.1841054991058217;14550;2424;13435;0.5233524742254431;0.02721174920875806
14;0.5625;1;131;5;0.21412854959388583;14046;2404;13010;0.51795839720299;0.02711334988356351
15;0.5625;1;128;4;0.26174183579792376;14018;2487;12898;0.5143731068100258;0.028530985492705302
16;0.5625;1;125;4;0.24804674000544433;14037;2403;12949;0.5053065220893782;0.029013724176112487
17;0.5625;1;129;4;0.16885955443091405;13969;2428;12869;0.5052733280013134;0.024997791098522463
18;0.5625;1;119;4;0.1983650931920562;14055;2458;12889;0.5334219533278601;0.026142007146343446
19;0.5625;1;119;4;0.15589821525618486;14053;2398;12935;0.5032371907374922;0.027727435402950567
20;0.5625;1;127;4;0.1391307304594014;14153;2428;13026;0.49758858998732985;0.03432912304071769
21;0.5625;1;117;4;0.1983650931920562;14118;2427;12994;0.5242412542206918;0.025518501619885312
22;0.5625;1;130;4;0.19894608130296282;14431;2421;13316;0.5190213026131527;0.03767215017791225
23;0.5625;1;130;4;0.2579177590880558;14551;2426;13403;0.5264765665930877;0.027246297167715205
24;0.5625;1;128;4;0.17115004848636736;14364;2305;13286;0.5440659002945124;0.027827440130440185
25;0.5625;1;131;4;0.21359922458090502;14419;2331;13338;0.5236433688395337;0.03141284252923483
26;0.5625;1;135;4;0.25159561502707906;14363;2310;13323;0.5337476456406058;0.026434771968549115
27;0.5625;1;133;5;0.25881489597595264;13873;2377;12796;0.5036073893187403;0.02814812354123719
