gen;fitness;n_species;p_isomorphisms;unique_fitness;entropy;total_gen_markers;active_gen_markers;inactive_gen_markers;avg_delta;std_delta
0;0.5625;5;154;4;0.6345337988377253;81278;10966;76027;0.6797292217825583;0.011856660909467614
1;0.59375;4;148;5;0.5548764336273582;57771;10596;52283;0.6677897486347876;0.030246432709731704
2;0.59375;2;165;5;0.3436224490184816;43660;9677;38705;0.641456573004763;0.023859267850440773
3;0.59375;1;167;5;0.3543688989712902;36388;8983;31638;0.5917858780931214;0.02506309466599158
4;0.59375;1;177;5;0.3092979189388143;30713;8178;26441;0.5515898795808739;0.029829959678942326
5;0.59375;1;189;6;0.2939266706146168;27110;7477;23292;0.536790367655628;0.02407908360265953
6;0.59375;1;196;5;0.27047637967644167;25447;7029;21930;0.5304691661024663;0.022995753616114088
7;0.59375;1;201;6;0.24462770019974056;24502;7005;21057;0.5810165577964842;0.02508672339408664
8;0.59375;1;201;5;0.22139949364068526;23468;6800;20149;0.5169202358022026;0.02311957015897784
9;0.59375;1;189;5;0.19361527411014862;22682;6657;19415;0.5081990346005911;0.026767374034885015
10;0.59375;1;182;6;0.2532760567823714;22645;6560;19440;0.5090572772897839;0.02315324357480322
11;0.59375;1;187;5;0.28397125855724187;22561;6693;19305;0.5056119929142825;0.022807163634449776
12;0.59375;1;196;5;0.27452255484905014;23085;6736;19777;0.5220141794597744;0.023128341170301613
13;0.59375;1;199;5;0.2562464709456641;23403;6641;20192;0.5061113332914158;0.029386764651042795
14;0.59375;1;184;5;0.31109111284329377;23066;6761;19783;0.506747127238294;0.027609711103808214
15;0.59375;1;191;5;0.37726824778715556;22138;6622;18832;0.506949399044861;0.02270746090457391
16;0.59375;1;180;5;0.30965953787358236;21880;6481;18735;0.5066225898706106;0.023538219535420537
17;0.59375;1;170;5;0.2607757959586449;21962;6506;18804;0.5013210946371139;0.023638989134707095
18;0.59375;1;181;6;0.34455561623249154;22151;6700;18836;0.5174495797218646;0.02222842796173932
19;0.59375;1;200;5;0.28564325171446425;21984;6593;18773;0.5182540826187995;0.018542811590837354
20;0.59375;1;184;5;0.3178263764295187;22385;6536;19205;0.512921367209945;0.022389841897942547
21;0.59375;1;195;5;0.23491819425519386;22101;6483;18946;0.5252720052321334;0.024736015710861495
22;0.59375;1;199;5;0.31186634396910284;22169;6509;18969;0.5149082971461301;0.03134909452552034
23;0.59375;1;190;5;0.2491600138020845;21950;6469;18816;0.504446114661466;0.021474270683935977
24;0.59375;1;191;5;0.2343372061442872;21902;6511;18718;0.5141132862042757;0.021931707501701616
