gen;fitness;n_species;p_isomorphisms;unique_fitness;entropy;total_gen_markers;active_gen_markers;inactive_gen_markers;avg_delta;std_delta
0;0.53125;68;110;4;0.45615667567284374;37609;3433;35340;0.7441173156835122;0.03185654962567144
1;0.53125;34;128;3;0.3248732742775647;33783;3358;31586;0.7308078049448636;0.0485352004801952
2;0.53125;8;134;3;0.2811302128606016;27591;3164;25716;0.6546562958734041;0.05419229490165487
3;0.53125;8;137;3;0.20842796925952078;22398;2925;20797;0.6423621761613493;0.04529561541363631
4;0.53125;4;141;3;0.21058860018243278;18962;2724;17606;0.6183542696591618;0.03564858414129051
5;0.53125;1;136;4;0.18161527411014863;16598;2545;15423;0.60997125027472;0.02646479942859701
6;0.53125;1;132;4;0.20612854959388582;15170;2585;13976;0.5708879800512662;0.032853043588334345
7;0.53125;1;138;3;0.28200316724192714;14996;2545;13797;0.5580209448369484;0.030703794583940104
8;0.53125;1;122;3;0.2329978944213854;14914;2499;13704;0.563594222293383;0.037240605517109344
9;0.53125;1;128;3;0.2703596424652862;14887;2440;13763;0.5550405447799174;0.028171360351720263
10;0.53125;1;132;3;0.174395993161275;14510;2444;13410;0.5467329708393571;0.031804981275824845
11;0.53125;1;128;3;0.15906636052643452;14275;2444;13208;0.5317500774028215;0.033490443349320276
12;0.53125;1;126;3;0.17327714759068952;14148;2339;13050;0.5402546961075284;0.02874791134497511
13;0.53125;1;124;3;0.15587910443956793;14043;2293;13045;0.5279040842847804;0.02769299944028511
14;0.53125;1;133;3;0.14658817119207768;13987;2289;12976;0.5366318812628572;0.02777556513365032
15;0.53125;1;137;3;0.17333185520999603;14407;2355;13329;0.5467723491875902;0.02770343377618267
16;0.53125;1;122;3;0.20842796925952078;14736;2359;13683;0.5329579628846707;0.030999615993827855
17;0.53125;1;134;3;0.21226059333965513;15231;2342;14141;0.5315540282448724;0.028892095126097025
18;0.53125;1;131;3;0.25932040263865686;14661;2317;13638;0.5376791356493538;0.034332475132076226
19;0.53125;1;125;3;0.15906636052643452;14396;2336;13318;0.542803932954671;0.030936447434204796
20;0.53125;1;140;3;0.1970698995679242;14993;2333;13908;0.5388839246429868;0.03289919194928163
21;0.53125;1;132;3;0.26912506914919254;14652;2300;13672;0.5483367077815985;0.03144485397946904
22;0.53125;1;129;3;0.18686239334302998;14761;2397;13680;0.5606604480633101;0.04084404674362167
23;0.53125;1;123;3;0.24378642374054885;14867;2400;13762;0.5465433166309569;0.028968067205147083
24;0.53125;1;122;3;0.17333185520999603;14346;2300;13313;0.5308742440786876;0.03165868957455038
25;0.53125;1;133;3;0.1508204544136063;14781;2287;13763;0.5731491188419527;0.0253047824839306
26;0.53125;1;127;3;0.14789821525618485;14630;2301;13574;0.5484917437278861;0.02817649964239243
27;0.53125;1;123;3;0.15906636052643452;14218;2305;13153;0.5580827910969692;0.031024281487627665
28;0.53125;1;121;3;0.21226059333965513;14251;2308;13221;0.5630918655222468;0.027064110268686794
29;0.53125;1;131;3;0.14658817119207768;14342;2314;13302;0.5685908021088587;0.029489172028365672
30;0.53125;1;130;3;0.15906636052643452;14382;2277;13384;0.5329420096877499;0.031195634282505186
31;0.53125;1;123;3;0.10157817890755191;14535;2310;13515;0.5519051247677668;0.03247068083936119
32;0.53125;1;123;2;0.11835001140827503;14468;2322;13408;0.5869164676846667;0.027990804741081537
33;0.53125;1;132;3;0.19890926864501218;14456;2369;13437;0.5428410552322671;0.02915983715640211
34;0.53125;1;128;3;0.17112504911447554;14155;2399;13079;0.6120107335199413;0.02658649940172893
35;0.5625;1;131;4;0.19408167429190362;14530;2457;13433;0.5424003401981128;0.029353997346405012
36;0.5625;1;138;4;0.1408402364039481;14915;2495;13796;0.5752789559089998;0.026921343678728348
37;0.5625;1;121;4;0.1798220802056691;14564;2459;13462;0.5497000789497906;0.03222950605638197
38;0.5625;1;131;4;0.2442464709456641;14444;2438;13302;0.56823862031003;0.028283634611443648
39;0.5625;1;127;4;0.20612854959388582;13945;2448;12831;0.5634819263995575;0.026513477196256366
40;0.5625;1;121;4;0.19187486819638314;14253;2456;13149;0.5505452111641698;0.028698682874927786
41;0.5625;1;128;4;0.18219626222105523;14055;2504;12951;0.525843820660565;0.0313343089068661
42;0.5625;1;139;4;0.20808944957657804;13960;2524;12807;0.5509288093328337;0.026718844171218902
43;0.5625;1;134;4;0.11128768485209861;14301;2536;13144;0.5427212362501974;0.03577386549762392
44;0.5625;1;122;5;0.24127605678237143;14026;2507;12879;0.5323005158859886;0.03202507826666247
45;0.5625;1;133;4;0.21780788113130642;13980;2465;12875;0.5485885447512039;0.03216102313733992
46;0.5625;1;123;4;0.1543884402518579;13832;2437;12763;0.5786574365841141;0.028708682709421805
47;0.5625;1;124;4;0.20482743113996033;13966;2431;12885;0.5537851770396222;0.02963489192529594
48;0.5625;1;123;4;0.18219626222105523;14261;2456;13193;0.5501796923344464;0.028190068087535783
49;0.5625;1;131;4;0.1686598234906943;14417;2355;13394;0.5477583775430332;0.034039501837379436
50;0.5625;1;127;4;0.1816152741101486;14466;2406;13375;0.5320167257098601;0.03421475948250603
51;0.5625;1;137;4;0.1673497794265871;14457;2400;13383;0.5609186400078886;0.028629554549014335
52;0.5625;1;131;4;0.18219626222105523;14894;2446;13748;0.5490707300468309;0.033043344225994725
53;0.5625;1;133;4;0.20760629973620573;14899;2341;13797;0.608936986855142;0.025891192739830874
54;0.5625;1;131;4;0.18832599317474844;14599;2328;13528;0.5557760975450081;0.033424079063491534
55;0.5625;1;128;4;0.20808944957657804;14467;2410;13332;0.571777072011434;0.02868387722233918
56;0.5625;1;133;4;0.2325790256911779;14482;2309;13458;0.5177496193679874;0.030437772453462283
57;0.5625;1;135;4;0.20760629973620573;14536;2378;13445;0.546068675154317;0.03277518773752572
58;0.5625;1;123;4;0.20612854959388582;14433;2470;13300;0.556244074519843;0.027743151691081054
59;0.5625;1;128;4;0.1816152741101486;14605;2528;13448;0.5899091081601339;0.029939372247757876
60;0.5625;1;128;4;0.1766348241188025;14116;2428;13047;0.5593866444279378;0.028051939233570532
61;0.5625;1;126;4;0.21780788113130642;14303;2345;13206;0.5746601052465057;0.032330198494340365
62;0.5625;1;130;4;0.2680174337298504;14910;2312;13867;0.549554998038738;0.030371175761117534
63;0.5625;1;138;4;0.2325790256911779;14936;2468;13818;0.5452625124331182;0.035444953252615465
64;0.5625;1;132;4;0.21964725020839443;14706;2496;13570;0.5471166888622776;0.03158700833039512
65;0.5625;1;133;5;0.2467074003659321;14530;2459;13428;0.5373496487661235;0.03210380818017206
66;0.5625;1;130;4;0.2325790256911779;14412;2467;13320;0.56036841179558;0.029123334721081664
67;0.5625;1;134;4;0.1520979461964046;14574;2425;13472;0.5518916643287669;0.03231094227360865
68;0.5625;1;124;4;0.2313206447249965;14419;2432;13303;0.540012852595905;0.032110460181848106
69;0.5625;1;131;4;0.20760629973620573;14547;2475;13426;0.5400218328745179;0.028896681011097897
70;0.5625;1;127;4;0.25371802814783606;14517;2480;13369;0.5582323480684352;0.02745169148725412
71;0.5625;1;129;4;0.16457613553076147;14399;2494;13221;0.5437227854483926;0.033460372079465554
72;0.5625;1;128;4;0.22598130508548428;14728;2548;13527;0.5404393451797069;0.02770713180649709
73;0.5625;1;132;4;0.1391307304594014;14707;2565;13518;0.5433030332546074;0.02915809371180712
74;0.5625;1;123;4;0.14235001140827502;14579;2429;13461;0.5363061493782982;0.03233336545263034
75;0.5625;1;128;4;0.2248274311399603;13980;2405;12901;0.5474867533225272;0.031019486252224625
76;0.5625;1;121;4;0.2248274311399603;14147;2422;13053;0.5709144858803391;0.02543920715447342
77;0.5625;1;134;4;0.2248274311399603;14021;2457;12905;0.5521276714211552;0.027245935579450018
78;0.5625;1;127;4;0.18541554316992886;14160;2480;13038;0.5703506799633679;0.02815657888676674
79;0.5625;1;129;4;0.18541554316992886;14239;2408;13158;0.5510308854305288;0.02835530222522862
80;0.5625;1;132;4;0.18541554316992886;14234;2432;13133;0.5445737198933891;0.02703451886052301
81;0.5625;1;129;4;0.15760772120073155;14366;2417;13264;0.541459788639347;0.03201041022444222
82;0.5625;1;120;4;0.24588610908253233;14165;2432;13084;0.5781322174530402;0.030628858138041615
83;0.5625;1;135;4;0.20506989956792418;14757;2418;13641;0.5554360497805357;0.029863516617461644
84;0.5625;1;130;4;0.18639599316127498;14636;2528;13449;0.5445641745611247;0.029488716787870448
85;0.5625;1;123;4;0.1585881711920777;14853;2544;13673;0.5564380851054355;0.030092493321956886
86;0.5625;1;129;4;0.17285955443091405;14500;2551;13294;0.5607625287030157;0.026148748072569224
87;0.5625;1;120;4;0.2271179251954136;14563;2567;13361;0.5722221494864658;0.029067215078324445
88;0.5625;1;128;4;0.22605378724413466;14648;2494;13485;0.5340808435584923;0.032551723958985763
89;0.5625;1;127;4;0.2538024211225995;14352;2477;13182;0.5603540752881261;0.02539557048724495
90;0.5625;1;126;4;0.18541554316992886;14291;2544;13122;0.5648739874037877;0.029620359307063204
91;0.5625;1;123;4;0.25486655907387845;14584;2502;13465;0.5351726701177383;0.0304998362744207
92;0.5625;1;126;4;0.18219626222105523;13924;2509;12794;0.5471017968721187;0.0279409924780741
93;0.5625;1;138;4;0.28021716467007013;14067;2478;12928;0.5674839302463802;0.027987583387388652
94;0.5625;1;138;4;0.24135974474230426;14190;2393;13138;0.5493941820797239;0.02758977318162164
95;0.5625;1;134;4;0.23956655083782474;13809;2361;12714;0.5611829886336855;0.03297229852411153
96;0.5625;1;131;4;0.17187910443956794;14236;2452;13093;0.5531673728482315;0.03298571849275149
