gen;fitness;n_species;p_isomorphisms;unique_fitness;entropy;total_gen_markers;active_gen_markers;inactive_gen_markers;avg_delta;std_delta
0;72.85961307205498;495;213;15;0.33953502970240323;22639;2240;21598;0.7919135957816462;0.023577360605195743
1;72.85961307205498;314;224;17;0.4905266287533368;22265;2384;21056;0.7822221665611834;0.03457502600174492
2;55.14055261723984;154;237;18;0.458698493044051;20525;2396;19446;0.7614744265181974;0.04085179332830621
3;55.14055261723984;65;241;23;0.7223571218927042;18296;2460;17285;0.7465940491992746;0.04852456169114041
4;55.14055261723984;44;235;23;0.5065897666046922;16745;2196;15884;0.728866302392173;0.05458319971961536
5;55.14055261723984;25;231;22;0.621756860026685;14946;2148;14168;0.7032632319751105;0.061044524361595694
6;55.14055261723984;19;234;19;0.575174570229946;14272;2219;13477;0.6853915918982337;0.062056194934602654
7;55.14055261723984;11;230;22;0.645216302248932;13443;2201;12668;0.6666355299343217;0.06437581228495975
8;55.14055261723984;11;221;16;0.5534650642853994;13076;2095;12377;0.6804038178426344;0.06103195492747721
9;55.14055261723984;7;226;25;0.6946606747836295;12755;2084;12050;0.6561053553531458;0.0556968000036863
10;41.64161429392671;7;225;22;0.6311044168781165;12541;2165;11768;0.6333268738996272;0.052062536571240096
11;41.64161429392671;5;227;19;0.644718049856707;12395;2162;11651;0.6115926118055917;0.0530954658803184
12;41.64161429392671;7;230;29;0.7095779211837003;12404;2205;11636;0.6242105175813099;0.05497629296456404
13;41.64161429392671;5;218;26;0.7647956837904515;12298;2103;11582;0.6305792330739864;0.05632476858611477
14;41.64161429392671;7;217;25;0.563059471060182;12137;2082;11467;0.6615419861727481;0.047754123577860956
15;41.64161429392671;4;215;20;0.5509780325693178;12343;2044;11671;0.60923986913776;0.038325915128350305
16;41.64161429392671;6;207;20;0.5844191652143685;12202;2101;11490;0.6351241785605846;0.05009466977657969
17;41.64161429392671;4;228;23;0.6366141918824435;12506;2081;11844;0.6040035961282569;0.04834283454833035
18;41.64161429392671;3;207;22;0.6680000144231416;12812;2075;12110;0.5919519945516322;0.0431052899351286
19;41.64161429392671;4;218;21;0.583174570229946;12643;2100;11940;0.6250498835076713;0.04497298854526494
20;41.64161429392671;2;230;23;0.7034055966841635;12795;2067;12122;0.610003073083384;0.04336109700570852
21;41.64161429392671;3;220;21;0.5693290298780066;12582;2110;11913;0.6069199812132545;0.04269135078823179
22;41.64161429392671;3;220;20;0.5750447070974047;12211;2035;11542;0.6304394007369469;0.04962047893529923
23;41.64161429392671;5;227;17;0.5018764154657114;12184;2001;11516;0.6886186606011242;0.05120349558787102
24;41.64161429392671;4;221;24;0.6770485961707192;11863;1913;11250;0.6189947329893966;0.04045187677660418
25;41.64161429392671;3;235;24;0.6627346311288435;12150;2081;11475;0.6335261775775075;0.04574774952548425
26;41.64161429392671;3;235;23;0.6576295842816259;12232;2135;11536;0.5975249434493526;0.04718403551461738
27;41.64161429392671;3;217;25;0.7052583953893232;12192;2127;11493;0.6184068539877517;0.04808290429675551
28;41.64161429392671;3;231;24;0.6836077367328198;12480;2223;11742;0.6199836235486493;0.05621124164080993
29;41.64161429392671;4;212;29;0.7631206938801287;12313;2211;11579;0.617120948500778;0.04988415122906168
30;41.64161429392671;4;238;25;0.6901761617631084;12436;2147;11708;0.6154832953896601;0.04681651113333319
31;41.64161429392671;3;231;22;0.6257943728140092;12395;2251;11592;0.6260246457368261;0.040972027086867736
32;41.64161429392671;4;224;26;0.6573432478356439;11983;2071;11278;0.6374134478173438;0.04158301486384838
33;41.64161429392671;2;222;24;0.6034741571140102;12322;2053;11626;0.6267952681504358;0.033505531337376215
34;41.64161429392671;2;208;24;0.6559606505693524;12482;2030;11830;0.6191919368283731;0.04234720581897225
35;41.64161429392671;3;210;22;0.6408952620517555;12178;2000;11539;0.6423708421093922;0.03675330048509383
36;41.64161429392671;2;214;22;0.6254245870647361;12560;2020;11918;0.6115505582903508;0.03912170730752811
37;41.64161429392671;6;228;21;0.5860642571060586;12481;2003;11842;0.6362105866552464;0.033355080725167435
38;41.64161429392671;3;218;23;0.5621973135181914;12353;1943;11710;0.6099019596426845;0.04617930431125725
39;41.64161429392671;2;208;21;0.5499138946180389;12513;1956;11867;0.6067933769249576;0.04129870986673725
40;41.64161429392671;3;210;24;0.74344801938225;12218;1967;11596;0.664584759868463;0.043056998052286785
41;41.64161429392671;3;218;22;0.7018958216798361;12230;2030;11575;0.6168423255491534;0.03055566778133928
42;41.64161429392671;3;219;24;0.7466867159654653;12402;2108;11669;0.6411468132149161;0.03084029641163678
43;41.64161429392671;5;229;17;0.5334682575649908;12133;2034;11470;0.6386518879977064;0.04010061295040675
44;41.64161429392671;2;211;14;0.641295475113642;12280;2038;11587;0.6091851478033988;0.03581152065173152
45;41.64161429392671;2;219;26;0.7173100584872488;12398;2019;11717;0.6257561049022315;0.030755556648802036
46;41.64161429392671;2;219;28;0.684973462086371;12356;2004;11680;0.6151426676495084;0.03760169297402461
47;41.64161429392671;1;230;27;0.6639148120604093;12264;2179;11536;0.6063541213442054;0.029451245155803673
48;41.64161429392671;3;220;19;0.5915740321103856;12524;2178;11789;0.6327094333053794;0.031137477857234298
49;41.64161429392671;2;227;22;0.649629584281626;12360;2093;11678;0.6426235015419561;0.032462958650007846
50;41.64161429392671;3;217;24;0.719571818858494;12174;2035;11560;0.6332243585667358;0.034598755638843896
51;41.64161429392671;3;215;26;0.6927290703763421;12506;2012;11833;0.6331251969800821;0.03840917645397462
52;41.64161429392671;3;209;23;0.5977646511694632;12438;2044;11793;0.6052914569336217;0.03810204834475869
53;41.64161429392671;3;207;29;0.7010485961707194;12188;1967;11532;0.609408791916972;0.04880283281168005
54;41.64161429392671;3;234;26;0.5978583548909874;12501;2131;11820;0.6158950952069642;0.04691100909876751
55;41.64161429392671;4;218;23;0.6413664885120317;12851;2138;12109;0.6394602506826473;0.04379892875415826
56;41.64161429392671;4;223;22;0.6921863157352898;12949;2139;12243;0.6396469122281268;0.033567919446222186
57;41.64161429392671;3;226;17;0.5460260609692;12647;2090;11977;0.6198817117866909;0.04284059957505348
58;41.64161429392671;5;233;21;0.610236166768936;12726;2082;12024;0.6732227659333866;0.0515549972521074
59;41.64161429392671;3;220;19;0.5306484384965565;12290;2005;11600;0.6355541174575365;0.029872348863180916
60;41.64161429392671;3;229;23;0.5924546071053561;12306;1998;11665;0.6348840344231855;0.04571937820528835
61;41.64161429392671;3;220;27;0.7565583325061372;12092;1968;11466;0.6448449767198942;0.046595239586334034
62;41.64161429392671;3;214;20;0.5664155070880482;11909;1960;11292;0.6096789198131313;0.04417783857980796
63;41.64161429392671;2;215;27;0.7659059969143388;11670;1913;11105;0.5983430577085366;0.04193702856382629
64;41.64161429392671;3;212;18;0.5200399210515281;11711;1933;11111;0.6305686309328408;0.04301088854688883
65;41.64161429392671;4;219;19;0.5751745702299461;12158;1975;11522;0.613734404963261;0.0431961666273275
66;41.64161429392671;4;221;20;0.6246141918824435;12134;1973;11527;0.6347318939025769;0.04224112897182145
67;41.64161429392671;2;220;22;0.5604878075736447;12199;2055;11508;0.6440301626041888;0.026877256755079702
68;41.64161429392671;3;209;28;0.847176744557197;12608;1989;11949;0.6170004171397809;0.03238065914878668
69;41.64161429392671;4;219;22;0.6532999902088649;12988;2139;12251;0.6297832834203422;0.04542195469283171
70;41.64161429392671;3;222;23;0.6229331978601292;13003;2157;12229;0.6239986193991375;0.045682282797188604
71;41.64161429392671;4;221;26;0.6847651772705668;12768;1969;12100;0.6400447554548807;0.03685214208136503
72;41.64161429392671;2;216;27;0.6930485961707195;12932;2048;12231;0.5947140107711685;0.04391131542859619
73;41.64161429392671;3;224;21;0.6575393411401068;12577;2017;11917;0.6315044499022436;0.04580410335780151
74;41.64161429392671;4;229;22;0.7334079922621022;12573;2125;11874;0.6736937286553972;0.03013963040836522
75;41.64161429392671;5;219;19;0.5971775167429743;12459;1977;11825;0.6198871642556055;0.0358853220879198
76;41.64161429392671;3;230;28;0.7878152337991052;12636;2040;11981;0.6397480161562101;0.04562821425563531
77;41.64161429392671;3;232;20;0.5681711882052034;12559;2012;11903;0.611354680733509;0.03744485852203905
78;41.64161429392671;4;232;26;0.7428893987938641;12370;1987;11712;0.6367305241881991;0.043415922081339264
79;37.21626157294108;7;219;24;0.645343247835644;12269;1930;11660;0.6776062518647523;0.03222618927725611
80;37.21626157294108;5;217;24;0.6244429728644563;12137;2021;11465;0.6085264155079799;0.038328035859561425
81;37.21626157294108;4;207;26;0.6545349001886236;12416;2065;11735;0.6151713959983787;0.045419438729913136
82;37.21626157294108;6;222;26;0.9303573973483735;12300;2071;11597;0.6496399743927403;0.049152282562850313
83;37.21626157294108;4;224;17;0.3809573630709797;12206;1888;11633;0.6109966616747814;0.051469599884459184
84;37.21626157294108;4;224;20;0.5578583548909873;12344;2002;11689;0.616378064684431;0.05263928269054019
