gen;fitness;n_species;p_isomorphisms;unique_fitness;entropy;total_gen_markers;active_gen_markers;inactive_gen_markers;avg_delta;std_delta
0;102.18503133218204;500;308;20;0.6080681461793731;77863;4566;76276;0.7801238197645942;0.01060341191872192
1;95.67199034289476;310;337;24;0.6866272867414736;70979;4806;69340;0.7693025029642647;0.02781415298070883
2;95.67199034289476;187;345;26;0.8130277255129604;59012;4931;57495;0.741996538434037;0.03416412100951387
3;95.67199034289476;84;366;38;1.1049113572540479;49000;5024;47495;0.729757483465113;0.05119379812028134
4;95.67199034289476;36;353;35;1.0058780897328592;43271;4785;42023;0.7147552132474441;0.0677840949860088
5;95.67199034289476;27;367;37;1.122715677821382;38235;4678;37074;0.6982971019748503;0.06352607062389547
6;95.67199034289476;10;368;33;1.0471681867517335;36182;4420;35103;0.6725360640373977;0.06973792315832374
7;95.67199034289476;6;376;37;1.2189303715718327;34461;4454;33404;0.6423757088993107;0.04660047828639642
8;83.19708279571427;5;355;34;1.2325546949203254;33260;4421;32176;0.6323348368265289;0.054418225126270786
9;83.19708279571427;6;370;49;1.3920899720327204;33483;4565;32322;0.6404066209576255;0.046213367305119574
10;83.19708279571427;5;372;38;1.1543618400798963;31722;4336;30630;0.6407669484782655;0.04347461314900137
11;76.71433664954776;3;373;33;1.0379930150204395;31041;4452;29905;0.6036354669115408;0.03540107733596748
12;54.654277053534834;5;352;38;1.336817868425185;30672;4313;29621;0.6396959009367964;0.04249664812666828
13;54.654277053534834;2;363;37;1.1592880012624298;30165;4397;29101;0.6100828213016201;0.0339023527610788
14;54.654277053534834;3;377;42;1.4052709226611844;30036;4252;29003;0.6072739521602957;0.031536794610976616
15;54.654277053534834;1;366;45;1.3678058122858814;29482;4299;28406;0.6085581030207178;0.020752265565461576
16;54.654277053534834;1;367;41;1.2715858737505585;29872;4235;28807;0.6277957473187993;0.02038806766249154
17;54.654277053534834;1;366;46;1.3493629274582681;29998;4258;28969;0.6099600984560078;0.022690067733442586
18;54.654277053534834;1;374;37;1.2625052654441624;29523;4263;28501;0.603957022439874;0.026995765299700422
19;54.654277053534834;1;380;46;1.4285793794953086;28867;4264;27835;0.6116299053561488;0.017451817422132105
20;54.654277053534834;1;366;34;1.0640512704428058;29112;4304;28055;0.6137512175160711;0.03286106795864451
21;54.654277053534834;1;373;54;1.4562306537425527;29532;4316;28490;0.6154876641314188;0.022695537615311477
22;54.654277053534834;1;387;39;1.171574376031816;29047;4408;27930;0.6186615258501189;0.02712014684481898
23;54.654277053534834;1;358;33;1.210153033394338;29252;4243;28248;0.5945268774172408;0.025231228369730317
24;54.654277053534834;1;369;42;1.3420608479970593;28627;4198;27650;0.6288173496724695;0.031118927523530505
25;54.654277053534834;1;382;40;1.3653544340999584;28862;4289;27798;0.627716602527159;0.025417356847775567
26;54.654277053534834;1;368;38;1.225195697872112;28697;4245;27694;0.6141275529838797;0.028268749555283124
27;54.654277053534834;1;373;26;1.0988975614424552;28846;4391;27675;0.6116301340848705;0.02645179033435004
28;54.654277053534834;1;361;38;1.3478999917233592;29932;4477;28817;0.6092916005019079;0.022797030153822593
29;54.654277053534834;1;384;40;1.443881715254079;30212;4500;29057;0.6046223125859739;0.01868519888620828
30;54.654277053534834;1;365;38;1.3347227483584283;29919;4330;28865;0.5954605201317861;0.01819780613564734
31;54.654277053534834;1;367;47;1.529262996408752;30215;4396;29146;0.6064364084663147;0.025897997225122708
32;54.654277053534834;1;366;40;1.2664900051643413;29823;4377;28763;0.6036266255453727;0.02475478894153095
33;54.654277053534834;1;368;37;1.1798006282746756;29832;4351;28764;0.6110690095978855;0.02566084800544321
34;54.654277053534834;1;360;43;1.2802342139973155;30351;4332;29330;0.6010799815730166;0.026559753732375433
35;54.654277053534834;1;370;41;1.430540157072422;30447;4333;29416;0.6110819831628928;0.02692070116224499
36;54.654277053534834;1;360;32;1.1593876764003286;30640;4358;29551;0.613645562407901;0.025750140299686457
37;54.654277053534834;1;370;36;1.1333821338821752;30816;4333;29725;0.6089287337309587;0.029525204220250383
38;54.654277053534834;2;378;38;1.2621080003687914;29985;4375;28897;0.6580414350850873;0.018439021235598034
39;54.654277053534834;2;371;31;1.1249367128318344;29523;4582;28404;0.5967061860317353;0.02964282552808405
40;46.12165627169487;1;369;42;1.3261195674967607;29786;4385;28745;0.6169236488899786;0.01992766107931671
41;46.12165627169487;1;376;26;1.0064958315488757;30512;4472;29421;0.6104768090145621;0.030326689661724884
42;46.12165627169487;1;383;39;1.105551917794728;30134;4605;28993;0.6019821082010469;0.02596314541597638
43;46.12165627169487;1;366;41;1.2508129684864595;30217;4570;29056;0.5958067974869797;0.02458987787842061
44;46.12165627169487;1;376;38;1.1863112506866829;29938;4575;28784;0.6007689119577927;0.02492444365433572
45;46.12165627169487;1;366;39;1.3308236259751272;30076;4575;28878;0.6060444748129314;0.01855669611087784
46;46.12165627169487;1;378;41;1.2324780211299504;29465;4509;28364;0.5851576402127223;0.039909123106488635
47;46.12165627169487;1;360;48;1.5031525264330061;30159;4525;29010;0.62451557386439;0.028348139676330857
48;46.12165627169487;1;365;39;1.2618655199072466;29680;4443;28541;0.6138103295745375;0.019297925181917586
49;46.12165627169487;1;353;46;1.2914239564591317;30304;4362;29180;0.6007631316068552;0.02733723451361
50;46.12165627169487;1;355;42;1.450436025245551;29911;4459;28764;0.6054931799326583;0.025370880291483853
51;46.12165627169487;1;343;35;1.1728344530653572;30394;4448;29298;0.617075848324919;0.017080194898808528
52;46.12165627169487;1;358;35;1.1336700800813795;31520;4443;30428;0.6000725964516421;0.021456033156418017
53;46.12165627169487;1;376;39;1.216318972233763;31197;4490;30072;0.5988986376400888;0.026048715018458183
54;46.12165627169487;1;369;24;0.8977162017383107;30062;4362;29038;0.6242808491848106;0.02305888140702716
55;46.12165627169487;1;366;33;1.239165508247691;29745;4545;28651;0.6072855373044954;0.025811790537886944
56;46.12165627169487;1;356;43;1.490056402452398;29528;4449;28453;0.6158613956916272;0.016335060213925705
57;46.12165627169487;1;385;47;1.422708570441852;30123;4527;29047;0.6082941070571826;0.02723106782294982
58;46.12165627169487;1;365;40;1.2212635817146145;29734;4427;28702;0.620758938282362;0.020808648854118504
59;46.12165627169487;1;365;52;1.4960499320767493;28807;4266;27784;0.5860459373471832;0.02631390392407054
60;46.12165627169487;1;363;31;1.0363546577372242;29309;4295;28308;0.6522693499314473;0.016459652793951347
61;46.12165627169487;1;345;32;1.182835616194425;28665;4205;27693;0.6015937298718897;0.021074091381117772
62;46.12165627169487;1;363;37;1.1912617383062363;29841;4370;28795;0.6239154035125268;0.01773877774704661
63;46.12165627169487;1;360;28;1.0471698398613372;29619;4665;28457;0.6072390912585356;0.016683857908562097
64;46.12165627169487;1;365;45;1.3685306159076918;30051;4386;28937;0.6278284400753278;0.02478781886292458
65;46.12165627169487;1;361;41;1.3163636634614004;29622;4339;28590;0.5953231935025518;0.018737484698790927
66;46.12165627169487;1;376;44;1.4631748939555267;29915;4425;28774;0.6161451317877529;0.024514068399763125
67;46.12165627169487;1;390;38;1.2819949693713317;29996;4447;28876;0.5904852412867151;0.025542787352853303
68;46.12165627169487;1;364;39;1.4220570118925835;30109;4358;29059;0.6172731347697732;0.020128542347254173
69;46.12165627169487;1;373;33;1.1969653322245497;29579;4152;28560;0.613785988542731;0.027893535488327934
70;46.12165627169487;1;376;35;1.134740946229895;29637;4375;28576;0.608562808104274;0.022446029444966997
71;46.12165627169487;1;363;40;1.2461999555135457;29917;4416;28891;0.6092838679231348;0.017972858482499503
72;46.12165627169487;1;365;32;1.060357387023826;30134;4299;29125;0.6260858546637439;0.022051624428759777
73;46.12165627169487;1;367;34;1.1466821253755934;30172;4361;29095;0.6214341061897685;0.02488553257770861
74;46.12165627169487;1;367;39;1.2478633862563373;30816;4550;29663;0.6208516989867539;0.028510495608375878
75;46.12165627169487;1;361;43;1.339113837640361;29933;4428;28821;0.6008272922695296;0.020542104280445676
76;46.12165627169487;1;368;49;1.5595335124007326;29649;4371;28596;0.614337426589421;0.01807645668203938
77;46.12165627169487;1;367;30;1.0433680278957476;29475;4394;28415;0.6111588506942743;0.022017114295665975
78;46.12165627169487;1;377;43;1.2904144831561462;28851;4316;27806;0.6341395503531816;0.0225463881570876
79;46.12165627169487;1;363;35;1.11353997019739;28258;4218;27295;0.5939265708007242;0.02092520934923185
80;46.12165627169487;1;366;42;1.4678072621587244;28979;4472;27806;0.5882310189645988;0.02335343235642705
81;46.12165627169487;1;365;36;1.1469299678348808;28361;4288;27298;0.6334103313427095;0.015362772946040852
82;46.12165627169487;1;365;42;1.3749489886293627;29146;4290;28127;0.5992782601242063;0.018682979083183428
83;46.12165627169487;1;354;51;1.5400708173710824;29472;4435;28379;0.6138141851172659;0.018357391184689924
84;46.12165627169487;1;360;50;1.6125765262359621;29341;4471;28217;0.577033996460696;0.025948870729610385
85;46.12165627169487;1;367;36;1.1724332951175578;30264;4464;29147;0.6034484358239922;0.027104815630802748
86;46.12165627169487;1;356;44;1.4911203042805243;30165;4508;29037;0.5890625443287011;0.020066544377904127
87;46.12165627169487;1;371;39;1.241911333313389;30169;4506;29064;0.6000255084606758;0.025515096972047315
88;45.257733672927834;1;354;35;1.2020275760414525;30136;4441;29005;0.6203123617205631;0.02581578976586485
89;45.257733672927834;1;369;31;1.2332584512328373;29541;4472;28413;0.6110585261859494;0.021852258285137947
90;45.257733672927834;1;355;43;1.5296349329997005;29743;4336;28606;0.6156480068892185;0.03651388199718777
91;45.257733672927834;1;377;36;1.2748541113752783;30150;4386;29038;0.6172101359884694;0.03626626499417105
92;45.257733672927834;1;351;35;1.139630624791135;29738;4379;28702;0.6188042925430032;0.01943597398121097
93;45.257733672927834;1;350;30;0.9903301734852528;30185;4358;29115;0.6075767221170701;0.02535818903455886
94;45.257733672927834;1;372;46;1.371528043329736;29509;4423;28425;0.609150095376006;0.017179202445243277
95;45.257733672927834;1;354;40;1.201202942075221;29781;4237;28761;0.6326254994803616;0.029389911433747085
