gen;fitness;n_species;p_isomorphisms;unique_fitness;entropy;total_gen_markers;active_gen_markers;inactive_gen_markers;avg_delta;std_delta
0;83.60684845758404;500;309;17;0.49191551548301904;77646;4409;76134;0.780140816211128;0.010596623534003478
1;83.60684845758404;309;336;24;0.7467510958478264;71248;4931;69617;0.7689404521731458;0.027667992336913354
2;83.60684845758404;190;349;31;0.9448461135778317;58413;5018;56890;0.7427821598313205;0.031925509368326374
3;75.26947185615272;81;359;33;0.938316074463859;49263;5099;47807;0.7281317920989545;0.048254800004525325
4;75.26947185615272;37;389;43;1.420255124731729;42581;4793;41302;0.7132199996493257;0.06300080590277836
5;75.26947185615272;36;370;33;0.9648917900497295;37860;4757;36636;0.7101385591277005;0.04918546314166528
6;75.26947185615272;11;367;29;1.083143849085702;35057;4650;33946;0.6662651504562684;0.05524134507914098
7;75.26947185615272;4;383;51;1.4006516376206204;33820;4609;32647;0.6607319745983424;0.04691212903601012
8;72.86733433115937;5;359;42;1.2636670144305444;32974;4699;31790;0.6779616807551464;0.029178265774954932
9;45.806826915118684;3;378;31;0.9841101530536736;33042;4457;31946;0.645212461942056;0.026857552819206914
10;45.806826915118684;3;376;51;1.5049011391167764;31548;4465;30500;0.6366349073947332;0.03185512579606971
11;45.806826915118684;2;379;40;1.3288630561507822;30825;4492;29716;0.6114291638959853;0.025515526288353782
12;45.806826915118684;2;376;53;1.5112327852780227;30891;4507;29737;0.6022595492300213;0.03343549319529146
13;45.806826915118684;2;351;54;1.5418526736584612;30506;4308;29498;0.587995872258281;0.030079451181405828
14;45.806826915118684;2;365;42;1.263585482687214;29965;4303;28982;0.6352374773451154;0.027317309709188636
15;45.806826915118684;2;370;40;1.292443327702015;29576;4339;28521;0.6173086556573218;0.02851958588561926
16;45.806826915118684;2;372;44;1.2750565194406993;29667;4449;28563;0.6277716093671256;0.029822060981530125
17;45.806826915118684;2;364;46;1.563312385020515;29311;4388;28202;0.6053905786884961;0.019138957061499404
18;45.806826915118684;2;370;49;1.5530442639551867;29307;4456;28197;0.5898100422166096;0.038722702555484025
19;35.849227226831985;2;369;41;1.3554784986526158;29101;4469;28001;0.6093628216168703;0.02789690036913209
20;35.849227226831985;1;365;38;1.2459841376815264;28921;4319;27886;0.5972130043017306;0.029245199209505385
21;35.849227226831985;1;366;41;1.4040240394168433;28994;4483;27926;0.6297264959707175;0.022154060969078317
22;35.849227226831985;1;367;42;1.3425323330585686;29260;4193;28249;0.6081527616214875;0.01642762622727083
23;35.849227226831985;1;351;48;1.39881280752879;28762;4255;27753;0.5930445424242434;0.029774731337092953
24;35.849227226831985;1;361;41;1.314660137619208;28581;4136;27631;0.6021624700795609;0.019826001525744586
25;35.849227226831985;1;363;43;1.3117476385056597;29022;4382;27935;0.6013983489117616;0.017466117601582544
26;35.849227226831985;1;369;38;1.203086766437805;28777;4247;27771;0.6134326312525482;0.018797610752659687
27;35.849227226831985;1;370;45;1.387412330507796;28805;4148;27873;0.5958282725283099;0.018230682412375947
28;35.849227226831985;1;377;45;1.5226201067789105;28937;4269;27876;0.5932202838269831;0.018308176885703558
29;35.849227226831985;1;373;31;1.2179702290549932;29437;4396;28363;0.6212518590147486;0.024809415076643793
30;35.849227226831985;1;374;50;1.581970316094401;29865;4423;28749;0.5879772015458493;0.03120959699876157
31;35.849227226831985;1;370;40;1.311377786444252;29440;4530;28323;0.6102639402325414;0.018168434737066346
32;35.849227226831985;1;367;48;1.4128740026493036;29612;4171;28593;0.6019753043528427;0.02522871343280646
33;35.849227226831985;1;373;41;1.3819843881762166;29651;4375;28615;0.6192060872907234;0.03207501640214724
34;35.849227226831985;1;359;36;1.205561797317148;30782;4355;29714;0.6106874726676986;0.020928534160032444
35;35.849227226831985;1;360;37;1.251869492887362;30567;4533;29465;0.5923853875610082;0.027501080663850035
36;35.849227226831985;1;373;40;1.3026642007012381;29992;4554;28810;0.625147332399632;0.017936162044200208
37;35.849227226831985;1;358;34;1.15548999614707;29388;4267;28378;0.6013834885105922;0.027485257070460258
38;35.849227226831985;1;367;41;1.2452587401810766;29990;4322;28959;0.6041043817243574;0.02284796665189919
39;35.849227226831985;1;361;37;1.117081197451484;29315;4370;28300;0.617595047224145;0.02057812264056813
40;35.849227226831985;1;359;33;1.1553301900154798;29312;4364;28312;0.6200880384391264;0.03097171263377119
41;35.849227226831985;1;367;33;1.0724829383099108;29955;4307;28894;0.5984717032198484;0.025640764949261898
42;35.849227226831985;1;387;37;1.3186562500552614;29240;4286;28225;0.6131810865406255;0.029771650925495167
43;35.849227226831985;1;362;47;1.5591768141095679;30022;4271;28997;0.6193798681318484;0.018537265252622854
44;35.849227226831985;1;367;40;1.3753508180299379;30070;4480;28966;0.5861294520647348;0.024903627204703488
45;35.849227226831985;1;374;36;1.223013675976805;29714;4405;28638;0.6300073278310172;0.018370029040689864
46;35.849227226831985;1;363;41;1.202093498318682;30227;4303;29185;0.6105751179636959;0.02804772907093548
47;35.849227226831985;1;363;33;1.274614236789631;29794;4332;28740;0.6094540781891667;0.024388458247388767
48;35.849227226831985;1;366;48;1.4048384175521904;29395;4277;28379;0.5910308948798056;0.026222178403134042
49;35.849227226831985;1;369;45;1.4368065624162032;29801;4446;28639;0.5984193977033795;0.021370097975053598
50;35.849227226831985;1;365;52;1.4988752390705007;29301;4342;28278;0.607508409313825;0.019764724113195107
51;35.849227226831985;1;368;48;1.2845132152486658;29678;4408;28593;0.5775134816368301;0.02981993105329987
52;35.849227226831985;1;365;38;1.136816763935973;30160;4453;29058;0.6091135997916941;0.019354311953958474
53;35.849227226831985;1;378;42;1.2842076770606259;30449;4680;29294;0.6418203693587049;0.022238574637357032
54;35.849227226831985;1;349;47;1.3986829443962485;30248;4705;29043;0.5983642360883918;0.021236723400115683
55;35.849227226831985;1;363;41;1.2542757064470043;29814;4540;28628;0.6061064364104268;0.019356822306197202
56;35.849227226831985;1;363;41;1.1802887003554914;29966;4466;28898;0.6043022646694608;0.029904828387352436
57;35.849227226831985;1;376;37;1.1694284100424732;30648;4383;29611;0.5963757022443592;0.024628123784187564
58;35.849227226831985;1;350;30;1.1219103533350645;29801;4232;28846;0.6314283502105443;0.01585612755209575
59;35.849227226831985;1;358;47;1.4846623014373335;29714;4364;28666;0.5989945342925743;0.022198003311194016
60;35.849227226831985;1;360;40;1.2767597515925466;29185;4347;28136;0.607421511403146;0.017036547530140334
61;35.849227226831985;1;364;44;1.37741907550475;29919;4492;28776;0.6069964654467356;0.022185645537694133
62;35.849227226831985;1;376;47;1.350611575498621;30067;4497;28920;0.6201010497208894;0.023195472326411153
63;35.849227226831985;1;362;47;1.4079339390990149;30126;4659;28962;0.622182107209418;0.01786290848624228
64;35.849227226831985;1;352;33;1.1403055504058224;30458;4558;29278;0.6088487919359099;0.021003302700608763
65;35.849227226831985;1;357;52;1.4942288011204017;29436;4477;28230;0.5851195348787035;0.02339055442599868
66;35.849227226831985;1;369;36;1.267927107488045;29248;4405;28142;0.6444347240710674;0.0242633679401086
67;35.849227226831985;1;360;40;1.2184443920721277;29153;4379;28107;0.5941021462396048;0.01893252980753424
68;35.849227226831985;1;369;38;1.214748060073995;29373;4519;28285;0.5981721539916173;0.02473683006996745
69;35.849227226831985;1;366;43;1.2925087193208673;29418;4431;28308;0.5945268380349988;0.021041670872471697
70;35.849227226831985;1;364;33;1.213779874746811;28968;4328;27941;0.6119329197875298;0.028949281778488465
71;35.849227226831985;1;360;42;1.3261807351479538;28938;4332;27902;0.6286034633943702;0.016410561319380037
72;35.849227226831985;1;363;43;1.3196552881604426;29338;4202;28373;0.6126077851091809;0.02284835304812578
73;35.849227226831985;1;368;52;1.5103459140575202;29811;4408;28740;0.5987991747893956;0.021330125782954824
74;35.849227226831985;1;368;33;1.1676525604323815;30547;4449;29490;0.6075681470011505;0.022623705542896895
75;35.849227226831985;1;367;53;1.605316528687684;30182;4599;28989;0.5986579546936555;0.019975229539022223
76;35.849227226831985;1;358;46;1.3285360332345333;30258;4448;29183;0.6144596206155903;0.018781961060336905
77;35.60893621487621;1;370;33;1.1147803932052671;29760;4565;28659;0.6066903623182592;0.0197435075980703
78;35.60893621487621;2;350;40;1.2113109501038748;29636;4371;28572;0.6589965948001247;0.02187613231625897
