gen;fitness;n_species;p_isomorphisms;unique_fitness;entropy;total_gen_markers;active_gen_markers;inactive_gen_markers;avg_delta;std_delta
0;67.56062951620613;499;216;18;0.4933470904527304;22685;2299;21596;0.8211731347084753;0.029940352745246944
1;67.56062951620613;311;234;24;0.556569246064509;22290;2380;21157;0.8107684566714645;0.03812852503349511
2;67.56062951620613;216;231;18;0.5322410842766397;20347;2352;19285;0.7869148054067377;0.04245822292626893
3;67.56062951620613;130;234;15;0.44518871803972415;18186;2416;17204;0.7719311224429979;0.0459212691549655
4;67.56062951620613;91;232;16;0.525384569605058;16588;2290;15717;0.7633089430678137;0.04793503593970191
5;67.56062951620613;58;227;21;0.6220402789268374;15135;2183;14343;0.7485276889911814;0.0499152961099201
6;54.73442785739273;45;239;27;0.7222388453806692;14754;2267;13926;0.7358162737440622;0.056165938353468066
7;54.73442785739273;37;223;15;0.4548411606428378;14182;2230;13364;0.7292897613511784;0.0495496271785554
8;54.73442785739273;29;235;16;0.4327103946198481;13501;2271;12733;0.7123890849274012;0.058291721825751514
9;54.73442785739273;18;218;27;0.8158660728263825;13276;2126;12581;0.6890086704555284;0.06728417079358676
10;54.73442785739273;14;222;22;0.7276939254950783;12870;2128;12155;0.670797455300294;0.06454548845934077
11;54.73442785739273;13;228;17;0.5418583548909874;12588;2083;11911;0.6696826642376517;0.05250646862743898
12;54.73442785739273;12;215;21;0.585964382109683;12351;2122;11613;0.6683847169400104;0.05567902047671388
13;54.73442785739273;6;217;20;0.54741979299324;12385;2178;11615;0.6454419354876857;0.042449755384609864
14;54.73442785739273;6;214;18;0.5542157761478286;12184;2045;11475;0.6502907079689362;0.047291519613318726
15;44.378023532226244;8;224;19;0.5516195239334598;12386;2068;11732;0.6359232754920467;0.0517884694605824
16;44.378023532226244;10;216;17;0.47774590970221026;12459;2123;11746;0.6694687701127611;0.04418454982418882
17;44.378023532226244;11;215;23;0.6309343620690633;12653;2122;11931;0.6714204186547258;0.04852684609043397
18;44.378023532226244;10;220;28;0.7880462851000692;12701;2094;12026;0.6693994492638214;0.04808005432690608
19;44.378023532226244;10;216;22;0.6065935821190396;12731;2177;11989;0.68009276727825;0.035578477558564324
