gen;fitness;n_species;p_isomorphisms;unique_fitness;entropy;total_gen_markers;active_gen_markers;inactive_gen_markers;avg_delta;std_delta
0;1.2952792013143692;64;55;3;1.1429206001679353;4145;1039;3417;0.8830684705247018;0.02841424041470846
1;1.4382947564272506;48;55;3;1.1840928437135778;4203;1117;3390;0.8614549270130732;0.06773020869712246
2;1.4382947564272506;48;61;3;1.2129788685315366;4020;1095;3212;0.8338822623421598;0.061945024869701736
3;1.4382947564272506;44;58;3;1.2170220833892398;3827;1034;3102;0.8055968739762878;0.08094401619815202
4;1.4382947564272506;37;57;3;1.1511135511938806;3674;972;3032;0.7887221337103107;0.07172275230238333
5;1.4382947564272506;33;56;3;1.1628175871855553;3720;1014;3039;0.7706052577867275;0.0711393002858052
6;1.4382947564272506;32;57;3;1.1693723243127148;3664;1017;2976;0.7563676304342375;0.06460464733129945
7;1.4382947564272506;34;60;3;1.1096153217888276;3687;1098;2939;0.750301082022617;0.06504856152942712
8;1.446094325481242;33;59;3;1.1511135511938806;3760;1092;3019;0.7398007489917174;0.07421218567732582
9;1.446094325481242;28;55;3;1.3172217624782507;3670;1046;2955;0.7314242209351468;0.06965041805168098
10;1.446094325481242;30;60;3;1.2129788685315366;3542;1088;2786;0.7245861851562359;0.07045908206561502
11;1.446094325481242;22;59;3;1.2214713865842914;3618;1045;2927;0.7153701221088358;0.0813238362026791
12;1.446094325481242;27;58;3;1.1430284488650115;3526;1055;2847;0.7228188126896434;0.07508340139769595
13;1.5847821802330073;32;60;3;1.0425993555312076;3597;1046;2893;0.7342342252563772;0.06432185537369602
14;1.5847821802330073;35;58;3;1.2559170259774697;3852;1103;3095;0.7311014198027013;0.06544476817833636
15;1.5847821802330073;29;56;3;1.1577051851330082;3698;1065;2972;0.7347587968205957;0.05790775850622916
16;1.6233308319044244;30;56;3;1.0953390926922595;3580;1073;2837;0.721067147152955;0.0611246196312236
17;1.6233308319044244;29;57;3;1.2739545216761172;3516;1028;2850;0.7125975939368695;0.06529287911475645
18;1.6233308319044244;28;61;3;1.079439161649138;3474;1011;2826;0.7144654464728917;0.061073342726708925
19;1.6233308319044244;29;59;3;1.085949021713486;3356;1018;2717;0.708478109926007;0.06469270316599487
20;1.6233308319044244;28;56;3;1.1096153217888276;3400;1008;2759;0.7115387194203734;0.06646019894881931
21;1.6233308319044244;29;59;3;1.0618748873809634;3435;985;2811;0.7097588625576042;0.060164322969471086
22;1.6233308319044244;24;55;3;1.1582706691248137;3545;1052;2827;0.7134734934735023;0.05602046035411219
23;1.6233308319044244;22;58;3;1.2680161172305842;3602;1100;2888;0.6998463918036443;0.06986934677682392
24;1.6233308319044244;23;59;3;1.1840928437135778;3599;1020;2935;0.7061027352768711;0.060087310940755236
25;1.6233308319044244;26;58;3;1.3789392312691977;3468;1024;2804;0.6974886572516784;0.05848836507265355
26;1.6233308319044244;26;58;3;1.22591107824356;3452;1009;2799;0.695116177433366;0.06645304148898992
27;1.6233308319044244;23;56;3;1.2848614763176351;3523;1056;2821;0.6996056259750277;0.06360970018681746
28;1.6233308319044244;24;58;3;1.2214713865842914;3581;980;2957;0.7013027282034013;0.06320850230894262
