gen;fitness;n_species;p_isomorphisms;unique_fitness;entropy;total_gen_markers;active_gen_markers;inactive_gen_markers;avg_delta;std_delta
0;1.5693517119402745;419;246;81;5.839048322459873;26507;2929;24751;0.6669473463102318;0.15634810380130001
1;6.628713992521211;186;222;80;5.886327700616744;26752;2660;25245;0.6822927963563732;0.11088132140797195
2;2.0298066354439563;88;246;79;5.903884498861558;26947;2601;25462;0.6619582308489015;0.10496256292613837
3;2.112133065184997;35;232;77;5.8828068712146;27145;2392;25837;0.6573090003361166;0.08514008234002965
4;2.4468402281774924;25;229;79;5.889545845398613;27132;2251;25936;0.6233292428859181;0.09246471054826924
5;3.255083337127161;11;229;77;5.905592326662248;27098;2140;25980;0.6309684803778808;0.0689903716247016
6;3.055906582830552;11;222;80;5.9104738844000995;27186;2172;26015;0.6109880537262458;0.07641714979029084
7;3.143169841879924;9;217;78;5.868546819955949;26970;2136;25859;0.5914084608066442;0.07878233953880688
8;3.084564276101225;11;228;77;5.868203463188886;26994;2212;25813;0.6083193750476921;0.06535258579692459
9;3.6978129476783392;5;237;76;5.893306946746288;26998;2191;25839;0.5717713659197691;0.0570319681946401
10;3.7548147424887146;12;231;84;5.953686298580498;27204;2265;25953;0.6130007457420348;0.07394499102231146
11;3.7107300433634807;8;249;79;5.838452639873716;27380;2238;26143;0.5806537147169029;0.06952331384881366
12;3.7710305094214207;6;245;77;5.8569992289576085;27342;2214;26137;0.6086243451111919;0.06194216222507441
13;3.840883347907503;9;242;76;5.85988338234784;27323;2329;26043;0.5880670126930668;0.06604615821486386
14;3.9832659454335664;3;243;79;5.881893627518203;27269;2380;25932;0.5788699829871718;0.05091561656121478
15;3.8889428472879257;9;240;79;5.915453346018839;27245;2383;25920;0.6132670041455868;0.06797479725040512
16;4.201362718048215;10;248;77;5.906836438173912;27426;2384;26058;0.5821887852489288;0.07809072777510498
17;4.960433323991176;7;230;78;5.9724277925207705;27369;2388;26073;0.613009415701426;0.07040881974937366
18;4.830510726818502;6;247;80;5.921968250815694;27315;2445;25965;0.5779876216891531;0.05518330731839748
19;4.6521343446603325;8;245;75;5.844495516930069;27528;2487;26125;0.5829902602243521;0.06609855282022155
20;4.8486173092738065;10;238;78;5.813711287521593;27518;2437;26162;0.5532354785708835;0.06847083841923036
21;8.78881023634014;7;244;84;5.954332734272801;27403;2397;26045;0.6098407292389848;0.06953358711712125
22;5.827537304912254;7;243;80;5.881984135264131;27119;2375;25817;0.6032900969912627;0.07159269323379408
23;5.4358355319424945;8;235;79;5.92031544543269;26951;2412;25587;0.5860959296413085;0.06721674788619468
24;4.991262894666881;7;246;81;5.895066933126563;26811;2342;25499;0.5877184225358191;0.06502922066651887
25;4.863273417378696;4;248;77;5.88054436287889;27238;2330;25948;0.5864778588267999;0.049217607377848506
26;5.118000687032137;6;241;81;5.899894874085125;27255;2216;26031;0.6042497413983973;0.0554989898411451
27;4.848964467322183;6;232;83;5.921434334179266;27062;2220;25897;0.6103080687918869;0.059589058334723326
28;4.9076783856893424;5;230;83;5.959958630002776;27080;2214;25913;0.596871163538509;0.05086772877152347
29;6.001875931442183;3;213;85;5.961975218612485;27207;2246;26001;0.5784933866131384;0.06221983126568378
30;6.284816446670755;6;218;80;5.900345701986821;27510;2160;26349;0.6310912122976112;0.056659821600087173
31;7.078231376522952;6;221;80;5.936094089614097;27257;2186;26081;0.600680060131735;0.06158916148807344
32;6.345300438010286;6;216;81;5.946981905664669;27202;2183;26073;0.5680667750641587;0.056661839149707856
33;6.330003420451545;4;205;79;5.936753432944144;27530;2110;26388;0.5896144377541932;0.04782171157351217
34;6.428381517392612;6;229;79;5.881839490572714;27181;2167;26015;0.5793802428778408;0.06594410069331127
35;6.522667062941451;5;213;79;5.906115099292706;27318;2116;26223;0.5832024843886264;0.06155179110966049
36;6.366542184567872;9;232;77;5.86205430806147;27305;2232;26113;0.5901215679869628;0.06610525564762328
37;6.563072041308403;4;232;75;5.79466314798813;27378;2187;26201;0.5854370050007122;0.04781918239611333
38;6.349915304223612;4;225;76;5.859260927949744;27553;2262;26346;0.5800287460289936;0.0503467413981504
39;6.513048936401979;5;227;80;5.884781380659515;27290;2241;26088;0.5909656396055721;0.060808035145451064
40;6.571696330742315;3;236;82;5.979584571314073;27548;2101;26415;0.582618724465974;0.053133343444768
41;6.403392807498842;8;208;76;5.895651959928955;27355;2008;26314;0.5739595724213917;0.0671169691013101
42;6.321901684010503;4;214;78;5.926107966276158;27344;2003;26295;0.6030818207933927;0.06541035056773081
43;6.468379371010657;5;212;82;5.945515353579216;27344;2025;26304;0.5811896280395248;0.05103972263691315
44;11.959991089454377;4;223;79;5.860476701897165;27289;2032;26206;0.5723439421332467;0.046874836469246235
45;6.296365737181;5;207;74;5.872344043748012;27352;2034;26337;0.6035751168903443;0.03656566787841359
46;6.339375481441841;5;211;75;5.84672966765238;27138;2071;26076;0.5677765270071362;0.0575573839416311
47;6.481737583608436;3;217;79;5.909725818406076;26997;2048;25970;0.5832812673548531;0.04684871929571131
48;6.333106517728804;5;212;73;5.7814885495834965;26929;1978;25940;0.6019885157165791;0.05759757019654825
49;6.41811241725864;8;213;81;5.970068887376432;26835;2009;25824;0.5792385903343773;0.058503550965780395
50;6.680063152291875;3;218;74;5.906766414321704;26773;2102;25700;0.5763814723810728;0.041874576883379686
51;6.490401383233751;6;221;83;5.989720814304028;26416;2112;25320;0.5718743438504438;0.0513145683240232
52;8.113916445001413;7;213;81;5.920345211308983;26489;2085;25402;0.5549008804672985;0.05711264231271008
53;6.408679951582655;4;231;83;5.94502847053025;26568;2085;25490;0.5789997870487462;0.06959041261405927
54;6.540597753537845;6;227;78;5.908547435527629;26572;2129;25469;0.6057021166627802;0.05086138829085397
