gen;fitness;n_species;p_isomorphisms;unique_fitness;entropy;total_gen_markers;active_gen_markers;inactive_gen_markers;avg_delta;std_delta
0;0.6875;288;337;89;5.125565360377573;122293;7994;116948;0.721742558341381;0.07991935632260559
1;0.6875;134;332;75;4.685472051367293;90097;6169;86352;0.653808752766527;0.16800674174325705
2;0.6875;34;320;64;4.45046301594222;65472;4639;62889;0.690390649409353;0.08952140301850407
3;0.6875;16;302;47;4.004049199357706;49210;3716;47355;0.6384833448786091;0.0884583361479634
4;0.6875;11;313;50;3.907277638986747;39614;3335;37986;0.5904423044327224;0.07287765524991718
5;0.6875;5;306;46;3.7648695056095587;34085;3064;32684;0.6264881556523988;0.056753347729584736
6;0.6875;5;284;45;3.797860170319461;30973;2718;29798;0.5819891961232806;0.053666769609554625
7;0.6875;4;280;45;3.719579688183938;28579;2529;27540;0.578964612978329;0.04472207734828785
8;0.6875;4;278;45;3.6406055576573952;28403;2601;27289;0.5768476597469356;0.044968803865215755
9;0.6875;4;290;40;3.5261272450772294;27485;2653;26403;0.5731446871862637;0.04764464249045719
10;0.6875;4;287;38;3.5066004144038687;27446;2583;26368;0.6317721540443407;0.053686270244478536
11;0.6875;3;269;41;3.492904433725313;27112;2514;26094;0.5610291284893293;0.04082698871406064
12;0.6875;3;287;38;3.3788805652505864;27302;2449;26332;0.5869789250178836;0.05407915242507538
13;0.6875;3;308;41;3.6348611157227895;27030;2618;25937;0.5624320647898678;0.04067119777293185
14;0.6875;3;285;38;3.5873349310106457;27325;2562;26227;0.5988908769021338;0.0407105600535705
15;0.6875;3;278;41;3.637748431799424;26179;2570;25113;0.584639416214733;0.039720345616382054
16;0.6875;3;273;40;3.576652245810883;25912;2464;24886;0.5567077346106338;0.039524346644077286
17;0.6875;3;271;37;3.4248646963760985;25934;2416;24938;0.5681251274522587;0.03993592175106238
18;0.6875;3;286;41;3.7823574523668864;26334;2511;25294;0.5798502149637967;0.04841334897104008
19;0.6875;3;276;43;3.6201763093289774;26939;2402;25989;0.5811380145026076;0.04281894128128621
20;0.6875;3;278;43;3.678196179660552;25947;2499;24924;0.5728820530771975;0.04336760559104697
21;0.6875;3;283;37;3.5388265330015574;25773;2415;24791;0.5805226956084734;0.04083010797469625
22;0.6875;3;275;37;3.5151646978850937;26179;2386;25197;0.6047259689256624;0.044279566805438826
23;0.6875;3;276;42;3.622767823238371;26739;2462;25735;0.564554977049857;0.039814524309646715
24;0.6875;3;270;46;3.6239279418572776;27178;2369;26245;0.568713726022831;0.04747242973966579
25;0.6875;3;267;43;3.653090697389724;27237;2445;26233;0.5738380202379543;0.041345245208347106
26;0.6875;3;270;38;3.7568815432098077;26875;2429;25848;0.5721037794463447;0.0431376097999213
27;0.6875;3;278;39;3.634652565367629;27136;2533;26056;0.5784554167481878;0.041025129330674294
28;0.6875;3;268;45;3.9293010285723273;26901;2486;25899;0.5765217409881479;0.0506461475980082
29;0.6875;3;282;42;3.731458018548264;26797;2469;25771;0.5581752614764856;0.0482577631087292
30;0.6875;3;281;38;3.576194415522472;27312;2594;26207;0.5755705436367232;0.0525527933477603
31;0.6875;3;280;41;3.5981219290550555;27448;2631;26378;0.5772168400479084;0.04773951236385802
32;0.6875;3;285;42;3.6582821237375933;27753;2501;26683;0.5772200529291938;0.05188534039389638
33;0.6875;3;294;37;3.567133189116263;27036;2568;25996;0.5726360732108812;0.04580923334073141
34;0.6875;3;287;36;3.5922247943578136;27124;2300;26200;0.5711335758588347;0.050610803034251084
35;0.6875;3;276;45;3.7284958945450764;27614;2439;26584;0.5611992437833364;0.04956582112957202
36;0.6875;3;288;41;3.598115560733346;27344;2420;26350;0.5635208003826833;0.051998062407969475
37;0.6875;3;272;42;3.6315457046130817;27728;2556;26678;0.5748056154739043;0.04921762591175437
38;0.6875;4;282;38;3.537894812833936;28115;2500;27037;0.5618592524454898;0.049594337130038434
39;0.6875;3;276;39;3.5849144766220666;27142;2599;26041;0.5573400550914678;0.04719287418394246
40;0.6875;3;278;41;3.7939024620211312;27028;2458;25964;0.5679086650305546;0.04640607061133958
41;0.6875;3;284;40;3.6619555409408084;28076;2482;27001;0.5716151237379512;0.046790720689366086
42;0.6875;3;280;40;3.606483064763341;28552;2448;27506;0.5864630818906685;0.054250528855036756
43;0.6875;3;287;38;3.6534090286449534;27606;2568;26541;0.5656766839717341;0.04469925743459336
44;0.6875;3;271;41;3.6710946697162066;27976;2421;26988;0.580039865862956;0.04418313096827902
45;0.6875;3;287;39;3.6191893888705375;27413;2687;26259;0.605371415369411;0.05262232106869012
