gen;fitness;n_species;p_isomorphisms;unique_fitness;entropy;total_gen_markers;active_gen_markers;inactive_gen_markers;avg_delta;std_delta
0;0.65625;28;190;49;3.7863254784458884;32349;2298;30800;0.6960395450296869;0.0745236416430699
1;0.65625;14;176;44;3.59559841560689;27504;1815;26412;0.6650325781936258;0.07790801372249523
2;0.65625;9;162;40;3.5685478994732613;22863;1577;21993;0.6352864027884687;0.07189974315471134
3;0.65625;6;153;32;3.3176628819754512;19262;1412;18531;0.6169801576263301;0.05944151482972243
4;0.65625;3;145;31;3.3900995172283275;16813;1244;16254;0.5734452882520356;0.04717648670579467
5;0.65625;3;134;27;3.2601173473155804;15337;1244;14773;0.5669174370665173;0.04759128431736284
6;0.65625;2;135;28;3.2025263763481733;14564;1193;14017;0.5850339720962259;0.04256123319047342
7;0.65625;3;136;27;3.0011986115012252;14049;1108;13589;0.5664535687783856;0.04375042764930402
8;0.65625;3;129;29;3.173159879956744;13839;1155;13310;0.5596849347081341;0.0441126292041073
9;0.65625;3;122;29;3.248997679658337;13640;1110;13195;0.5424595809276702;0.04427951949923295
10;0.65625;2;125;27;3.1489274667098512;13791;1098;13341;0.5577159137947474;0.041133748587217724
11;0.65625;2;125;26;3.1640473528475574;13430;1048;13019;0.5677610241731691;0.0379628542266791
12;0.65625;2;123;26;3.0985137148410167;13350;1076;12908;0.5184010327899287;0.04080742432730618
13;0.65625;2;133;27;3.3184018723778284;13416;1120;12963;0.5331309811124331;0.0395412131304447
14;0.65625;2;129;26;3.1395247589723096;13536;1150;13069;0.5541497937162034;0.03997908375875055
15;0.65625;2;131;23;3.147193195884633;13369;1096;12932;0.5688574163979606;0.04096863320384926
16;0.65625;1;132;28;3.2053892265697055;12875;1090;12431;0.5488396545476546;0.03579707236468452
17;0.65625;1;123;33;3.278954650366455;12887;1077;12445;0.5383864771961429;0.034824230596870405
18;0.65625;1;132;25;3.088411324524789;12857;1102;12416;0.5398411430218978;0.03448667169239832
19;0.65625;1;123;23;3.016291962764822;12588;976;12241;0.5249242846943167;0.03661340396965952
20;0.65625;1;125;24;3.0611168285597987;12604;1062;12147;0.5444220853334644;0.03500591177395238
21;0.65625;1;124;27;3.193037613822972;12947;1109;12513;0.5610791194498399;0.034377072807190205
22;0.65625;1;121;28;3.075926386216218;13094;1085;12663;0.5608514617457395;0.0382307880041645
23;0.65625;1;117;25;3.0826921254012887;12982;1032;12557;0.5687233420669132;0.03777357199330878
24;0.65625;1;120;29;3.179336862308754;12682;1116;12206;0.5469332645471587;0.0336721385316346
25;0.65625;1;120;24;2.9584327918149667;12743;1000;12329;0.5478386201738639;0.03759913966068292
26;0.65625;1;114;24;3.104911234174972;12697;990;12318;0.5480737588647601;0.03746263539660452
27;0.65625;1;116;25;3.1607937845356298;12720;977;12326;0.5568470764180383;0.03622609239516892
28;0.65625;1;130;23;3.0621005579116627;12788;1022;12397;0.5471254147360741;0.03481428469588777
29;0.65625;1;125;23;2.9138858804083823;12988;1040;12580;0.5470004699903905;0.03393805121095166
30;0.65625;1;126;24;3.0557565607738875;13228;1049;12792;0.577594712539751;0.035205531271211545
31;0.65625;1;127;27;3.1342116391145494;13320;1137;12838;0.5364593754824685;0.03836611367887425
32;0.65625;1;128;29;3.2087495599390365;13208;1149;12723;0.5391488846590426;0.037507905920361184
33;0.65625;1;124;27;3.298842742441906;13203;1122;12727;0.5519219667551017;0.03652425626410672
34;0.65625;1;122;28;3.13021398883039;13358;1075;12915;0.5415563700112535;0.03556474404827564
35;0.65625;1;123;27;3.06962448708191;13428;1055;13016;0.5588468904477175;0.03581235072796199
36;0.65625;1;122;27;3.2202851758784377;12974;1059;12530;0.5723496629362583;0.0365089055629194
37;0.65625;1;126;28;3.0592971989438817;13136;1059;12699;0.5749537928993886;0.03402056158946345
38;0.65625;1;119;26;3.0880052406513623;13126;1051;12702;0.5832052222278244;0.034106813908818825
39;0.65625;1;128;23;3.1352845591737712;13063;1102;12612;0.5394420925379103;0.03996103525677801
40;0.65625;1;128;27;3.193898837528459;12976;1121;12524;0.5612296830421981;0.037820326356215114
41;0.65625;1;127;25;3.2013427177778726;13206;1042;12807;0.5369305986588705;0.03742105797716919
42;0.65625;1;122;28;3.150163074892368;13307;1118;12840;0.5293080473405266;0.038447099294278704
43;0.65625;1;123;24;2.986282502724634;13130;1003;12721;0.5429318341583435;0.036407403612724605
44;0.65625;1;133;25;2.9730112581730883;13020;1016;12601;0.5523256825778358;0.036450595636616775
45;0.65625;1;126;26;3.03840534917945;12640;1032;12224;0.5462093204569866;0.03597516599267997
46;0.65625;1;129;24;3.048763784670302;12934;1044;12496;0.5813109129373772;0.03578114852840686
47;0.65625;1;133;27;3.1910395537837273;12883;1099;12448;0.5483010708648818;0.035356099701732965
48;0.65625;1;115;24;2.985318031765219;12927;1070;12474;0.5528189300637614;0.03545106062845023
49;0.65625;1;125;25;3.117723096464133;12772;1053;12341;0.5500746894300892;0.03758561351910506
50;0.65625;1;135;25;3.137095744625876;13020;1102;12570;0.5662608751456542;0.036371528822362845
51;0.65625;1;119;26;3.1289299639234676;13055;1056;12639;0.5312109583448019;0.03536930154684217
52;0.65625;1;129;26;3.152267613546096;13081;1093;12617;0.5508758322019018;0.03732299805356374
53;0.65625;1;126;26;3.0841473412831237;12975;1068;12536;0.5458925642748379;0.040301708489583414
54;0.65625;2;115;24;3.0739947738286313;13197;1026;12773;0.5547275987104586;0.04071325854336112
55;0.65625;1;117;23;2.9390526052049033;12796;983;12443;0.543444167432309;0.036556749079225244
56;0.65625;1;118;24;3.098421238228839;12857;1003;12437;0.6072592493262187;0.03912305645297834
57;0.65625;1;119;25;3.1868868988886674;12930;1057;12502;0.5520825492973286;0.03650690649373699
58;0.65625;1;124;25;3.1645258382906194;12859;1068;12440;0.5494817976781828;0.03506764328548397
59;0.65625;1;114;25;3.0587986274731387;12673;935;12308;0.5339205168840949;0.03916829301514859
60;0.65625;1;110;25;3.107365027911915;12689;936;12353;0.549720887550763;0.03588869428243899
61;0.65625;1;111;19;2.9447493728194822;12818;1004;12392;0.5557017726366864;0.035721380283502045
62;0.65625;1;116;22;3.152601685553026;13132;965;12738;0.5623989304055993;0.03436881343538921
63;0.65625;1;126;23;2.9286058545228513;13245;1082;12800;0.5966777650956773;0.037067665166312706
64;0.65625;1;121;23;3.1169621283458966;13270;1013;12861;0.5317981125544754;0.036647200566739084
65;0.65625;1;123;27;3.207082822938643;13310;1012;12900;0.5461739685082971;0.03670565272785205
66;0.65625;1;125;26;3.126476747491498;13143;1067;12712;0.5338082538201044;0.036663942828204996
67;0.65625;1;134;27;3.040220287598983;13080;1058;12633;0.5374429401129639;0.03351858079743071
68;0.65625;1;123;22;3.119079409016431;13658;1093;13201;0.54651268047907;0.033852258739580456
69;0.65625;1;116;21;2.955119566476961;13724;1003;13305;0.5529938930417834;0.03424194487004922
70;0.65625;2;119;26;3.1347170287169956;13695;1052;13275;0.5391561528171581;0.04161594214415474
71;0.65625;1;120;25;3.0610670814667222;13378;1029;12974;0.5411322647007268;0.03726033141998222
72;0.65625;1;123;26;3.14671262231832;13195;1058;12753;0.5348556617684955;0.03702149556698099
73;0.65625;1;128;23;3.0644172895911823;13010;999;12609;0.5473452487481946;0.03868816715476932
74;0.65625;1;119;27;3.101934929845744;12918;983;12545;0.5498644195941117;0.03655197109875425
75;0.65625;1;121;25;3.115461665001891;13072;1109;12640;0.5698952731171043;0.03499447856033604
76;0.65625;1;131;26;3.1891403529167515;13086;1124;12624;0.5598622322941611;0.037647334079361376
77;0.65625;1;112;24;3.029679243806441;13252;992;12837;0.578922177821779;0.03635296946307785
78;0.65625;1;109;26;3.2171704276476567;13054;985;12674;0.55985902492335;0.03649100321916461
79;0.65625;1;116;24;3.094037772030329;12973;987;12591;0.5353843996149596;0.0376674269565428
80;0.65625;1;117;26;2.993339193664696;13016;1000;12624;0.5420375033345539;0.038420767568767444
81;0.65625;1;124;21;2.939389070704076;13363;1020;12975;0.5461342509359001;0.03694744533682927
82;0.65625;1;118;27;3.0992507417929307;13217;1011;12794;0.5488489214674847;0.03622803437679307
