gen;fitness;n_species;p_isomorphisms;unique_fitness;entropy;total_gen_markers;active_gen_markers;inactive_gen_markers;avg_delta;std_delta
0;0.640625;267;330;90;5.024144426785245;122400;7087;117709;0.7145985098013238;0.09559072455118267
1;0.640625;122;341;72;4.848785951610795;87734;5749;84187;0.6584155824640436;0.1654986871483785
2;0.640625;31;299;66;4.38243658328608;63241;4250;60908;0.6386580055243773;0.118244901856622
3;0.640625;14;314;54;4.218099883138295;48680;3746;46779;0.6461492759430297;0.08328106108998141
4;0.640625;8;294;47;3.943280958686382;38939;3166;37415;0.6055509835822066;0.0672685607025846
5;0.640625;5;291;49;3.819495854092647;34602;2939;33268;0.5911189197135793;0.058529307363125505
6;0.640625;5;285;37;3.4960582497299546;32599;2668;31394;0.5758412034607545;0.051739227386063326
7;0.640625;5;283;40;3.5572423317489785;31401;2735;30162;0.5751249140091637;0.05407257510310843
8;0.640625;5;264;41;3.5775107272412687;28954;2408;27907;0.5722417833506429;0.054593454217189724
9;0.65625;6;275;38;3.5239180396330236;29392;2541;28264;0.6588075459575323;0.06312218002516085
10;0.65625;2;281;43;3.6808142355040725;27963;2467;26918;0.5932166515164897;0.04480712227106033
11;0.65625;2;279;40;3.634383126926247;27245;2458;26256;0.5945934064614402;0.03766154064034919
12;0.65625;1;281;36;3.455589380087799;26443;2452;25448;0.5753802320441146;0.02778326815876556
13;0.65625;1;274;39;3.4344845162984554;25910;2334;24965;0.574995211059698;0.030782797410415005
14;0.65625;1;272;35;3.55208323979553;25880;2378;24919;0.5557548814452651;0.02810901476731227
15;0.65625;1;253;39;3.5147501263098513;25848;2204;25000;0.5663846400469212;0.02917203834194435
16;0.65625;1;263;39;3.562729840410792;25587;2432;24600;0.5732040189073966;0.027765966964135455
17;0.65625;1;273;38;3.5632347346104587;25747;2460;24760;0.570003612899276;0.030859877581033496
18;0.65625;1;261;41;3.60601117620173;25748;2386;24784;0.5983354580951266;0.030178005475983493
19;0.65625;1;279;39;3.591324923153533;25183;2455;24208;0.5699376899490496;0.02987949605415797
20;0.65625;1;250;39;3.6439487224994416;25083;2210;24218;0.5722462667636558;0.029115046584374298
21;0.65625;1;261;39;3.5247098852816325;25025;2360;24094;0.5560273543329809;0.028718608919320834
22;0.671875;1;262;44;3.6381684791316995;25926;2274;25023;0.57665263391166;0.03357526350047854
23;0.671875;1;265;36;3.3883736621531257;25152;2323;24208;0.5841843704943701;0.03579919834506251
24;0.671875;1;275;48;3.6117168313097747;25427;2447;24398;0.581380333365111;0.026348784922737515
25;0.671875;1;262;38;3.5219485984288688;25798;2362;24834;0.5894043304475629;0.031075790522524165
26;0.671875;1;290;45;3.6540035220647744;25232;2362;24239;0.5640097812217914;0.02973260670096409
27;0.671875;1;273;34;3.5121468216561875;24728;2419;23733;0.5634594461001055;0.027732460929173666
28;0.671875;1;271;45;3.5477268954551073;25161;2419;24191;0.5838912902373445;0.027204527623699508
29;0.671875;1;257;39;3.5073297053653785;25420;2260;24492;0.569148091896726;0.029869825323660226
30;0.671875;1;279;42;3.5933054632667902;25658;2453;24616;0.5574027491393851;0.03003202207835303
31;0.671875;1;282;39;3.4978417110233;25782;2538;24699;0.5695595653882115;0.03127228571591998
32;0.671875;1;303;34;3.407139508771971;26168;2559;25102;0.5819348212418188;0.027379114364711993
33;0.671875;1;277;44;3.654172965633705;25872;2477;24856;0.5768503648953054;0.031673513849476566
34;0.671875;1;281;40;3.535109818213776;25888;2496;24847;0.5636201128048546;0.030422668118760827
35;0.671875;1;268;39;3.5493427085537776;26103;2463;25087;0.5876448603872609;0.030791948407434135
36;0.671875;1;276;41;3.5366693487662193;26039;2496;25009;0.5634249849206047;0.029009532549444758
37;0.671875;1;276;39;3.544305799117201;25814;2366;24852;0.5862063637158624;0.030116759815755723
38;0.671875;1;271;40;3.591949723213339;24884;2434;23873;0.5757613477951703;0.03164090374839352
39;0.671875;1;286;35;3.487156466372089;25031;2571;23918;0.5717553138130195;0.030849199687473555
40;0.671875;1;257;41;3.478257958854352;23986;2183;23174;0.5609566854316607;0.02778869811204083
41;0.671875;1;270;39;3.4750738570234807;24525;2249;23631;0.567247435510405;0.02864300662610429
42;0.671875;1;268;39;3.5826470998391082;24552;2362;23616;0.5867249583558459;0.028136178240348485
43;0.671875;1;280;43;3.6176083104168573;24232;2436;23269;0.5785272751349294;0.027056288707630036
44;0.671875;1;266;42;3.504552901171351;24786;2335;23839;0.5870680364233369;0.02633476186753581
45;0.671875;1;280;36;3.628970737346769;25258;2525;24179;0.5667330462040159;0.02908378979712119
46;0.671875;1;276;38;3.5316751494643825;25482;2480;24473;0.5757088977347237;0.0300163487965553
47;0.671875;1;278;37;3.600952674260705;24802;2489;23780;0.572485229630721;0.02943244313957405
48;0.671875;1;283;44;3.766363699476427;24715;2453;23729;0.5740012100038746;0.0351392187077211
49;0.671875;1;274;38;3.4778474101277146;25455;2544;24390;0.5640858033912504;0.031034718491594514
