gen;fitness;n_species;p_isomorphisms;unique_fitness;entropy;total_gen_markers;active_gen_markers;inactive_gen_markers;avg_delta;std_delta
0;0.640625;120;196;49;3.9317864859642473;32414;2241;30932;0.7383147296358997;0.08767837115562835
1;0.640625;67;180;43;3.798478903534349;27498;1973;26309;0.6901070042341246;0.12422903570818317
2;0.65625;36;156;35;3.5193724858373856;22938;1677;21998;0.6525556101748474;0.11480269845125671
3;0.65625;16;154;38;3.318172143539908;19237;1397;18519;0.5975086583959431;0.0909234238619262
4;0.65625;11;153;33;3.2415376080404474;16946;1334;16291;0.596066379985732;0.0745800617920602
5;0.65625;8;139;28;3.166499923305865;15150;1164;14599;0.5977526833392375;0.06278788104789028
6;0.65625;5;117;27;3.0961999017121014;14036;1080;13559;0.5851182133718492;0.05353994540713593
7;0.65625;3;126;24;3.087218621858694;13383;1086;12924;0.573170145729023;0.04970566128617698
8;0.65625;3;118;25;3.0636022816033326;13287;1015;12873;0.5847903258292548;0.04382107819544958
9;0.65625;2;110;23;3.0248498798008825;13123;1021;12716;0.5581802715845435;0.04680582542388541
10;0.65625;2;117;28;3.1555180978852873;13089;1027;12678;0.5636868880736811;0.04705831952195953
11;0.65625;2;109;25;3.103039075819801;12928;1045;12506;0.5687938528093727;0.047350925075211
12;0.65625;2;122;28;3.0915260725308666;13001;1068;12560;0.5654017678202691;0.0517739348289129
13;0.65625;3;130;27;3.063499008500454;12900;1099;12449;0.5917382706591247;0.053880748591555123
14;0.65625;2;133;26;3.277821525101673;13064;1087;12598;0.5591059345570802;0.04633481415759756
15;0.65625;2;125;23;3.0425164011307575;13214;1105;12775;0.5589199840062586;0.0453777008700734
16;0.65625;2;121;26;3.226903659535383;13393;1153;12898;0.5907351812530124;0.04528587560206103
17;0.65625;3;121;27;3.002672435169035;13432;1041;13015;0.5773151363007349;0.04863835243520612
18;0.65625;3;122;27;2.980432732159667;13033;1099;12578;0.5591732635982448;0.047961581474724756
19;0.65625;2;132;27;3.0939813007228323;13263;1160;12756;0.5721472840943003;0.046740114071509235
20;0.65625;3;128;24;3.091933596009687;13302;1129;12837;0.5863751066706719;0.047698147003824146
21;0.65625;2;122;23;3.0329427865023213;13466;1042;13048;0.5730949875797304;0.04484894857271826
22;0.65625;2;125;27;3.0285213468998884;13678;1120;13216;0.564202621547751;0.04644860093274698
23;0.65625;2;140;26;3.0278547817023416;13191;1146;12732;0.6032148434835995;0.04165018560873
24;0.65625;2;130;25;3.134761658788829;13143;1120;12698;0.5611834777234632;0.0411165932446018
25;0.65625;2;133;27;3.1524204468267505;12981;1168;12496;0.5792123094173212;0.04457134199011242
26;0.65625;2;144;28;3.139972482167744;12987;1144;12513;0.56614763416576;0.04133186431827086
27;0.65625;2;137;27;3.073729659973576;12838;1144;12358;0.5723487897794739;0.04371938321395535
28;0.65625;2;141;24;3.1447134466042432;12777;1095;12350;0.6087731501001374;0.03863673613845724
29;0.65625;2;127;25;3.0180794815178618;13026;1085;12623;0.5475587283822736;0.041586841221275234
30;0.65625;1;126;25;3.019752967612687;12747;1050;12349;0.5923235050503327;0.03809372792785273
31;0.65625;1;131;26;3.061908053957573;12661;1064;12234;0.556141958596339;0.03973921031790029
32;0.65625;1;121;29;3.1047954065206245;12593;999;12215;0.5738521501232557;0.03895531217294695
33;0.65625;1;123;27;3.1395724789146393;12628;1045;12218;0.5730098084000256;0.034141923290421726
