gen;fitness;n_species;p_isomorphisms;unique_fitness;entropy;total_gen_markers;active_gen_markers;inactive_gen_markers;avg_delta;std_delta
0;95.45294952867451;20;285;26;0.4881719549613083;39210;4037;37458;0.7911661160964777;0.0638689600874264
1;94.48015348961162;19;361;33;0.5272281153772356;39691;5022;37368;0.7607592922222614;0.08238183062839408
2;88.31739722124752;18;351;30;0.562360310279809;38564;5139;36280;0.7626871532463616;0.0867099756412922
3;86.76527480151275;18;353;29;0.4909361185021908;38686;4971;36451;0.753693267438742;0.09003555516356847
4;67.53393522329364;16;334;32;0.527261364528819;38894;4933;36743;0.748324948323565;0.08513707619069391
5;46.340787024109936;16;343;28;0.5949519072563303;37887;4604;35979;0.7489973416007489;0.08861507666871865
6;46.340787024109936;15;334;29;0.5274034271906186;38333;4736;36287;0.775579690911166;0.07641621802625631
7;46.340787024109936;15;338;27;0.47016122795430215;38125;4821;36131;0.7405036985220368;0.08344316459281953
8;46.340787024109936;15;333;31;0.6107466404095501;37965;4836;35921;0.7688218297866213;0.0795715869379308
9;46.340787024109936;15;345;30;0.570173847807934;37217;4580;35352;0.7262965299039835;0.08649084260413056
10;46.340787024109936;14;332;37;0.6983035277865154;37380;4546;35514;0.7200651891788643;0.08562612038635593
11;46.340787024109936;14;324;31;0.5094199923050367;37181;4529;35347;0.7489960606963174;0.08194610055741032
12;46.340787024109936;14;341;29;0.5197736179003933;37787;4730;35751;0.7474228424303456;0.08246741901706801
13;46.340787024109936;14;319;31;0.5347378903815625;37498;4612;35534;0.7447934547943041;0.08228228525625662
14;46.340787024109936;13;341;27;0.4848841499713668;36789;4513;34928;0.7466202279223135;0.08603214375576702
15;46.340787024109936;13;332;32;0.5218716067212835;37270;4519;35435;0.7440480750148516;0.08753302660611717
16;46.340787024109936;13;323;30;0.5687832041589592;37085;4205;35413;0.7449527519413955;0.08466496278907308
17;46.340787024109936;12;311;30;0.5358875992269722;37239;3855;35715;0.7593998403553548;0.07855238755477423
18;46.340787024109936;12;318;35;0.5803100108199974;37172;4008;35536;0.7612384453396603;0.07775384145036184
19;46.340787024109936;12;316;24;0.5314866907627636;36674;3883;35133;0.7401264229448568;0.08062877813955723
