gen;fitness;n_species;p_isomorphisms;unique_fitness;entropy;total_gen_markers;active_gen_markers;inactive_gen_markers;avg_delta;std_delta
0;88.91908427165401;998;292;25;0.46977880850550746;39335;3992;37548;0.27676364525736225;0.026799810491731694
1;88.91908427165401;264;318;20;0.3585396835875306;38508;4046;36784;0.8716073343482165;0.07945230664900588
2;88.91908427165401;229;307;24;0.4858017570022168;35614;4076;33981;0.8581204884217092;0.07339566526539315
3;88.91908427165401;192;325;32;0.533313333059643;33262;4244;31626;0.853459419282051;0.0698671534414172
4;88.91908427165401;158;330;31;0.57799303834055;32773;4239;31198;0.847922294814816;0.06253980211885303
5;59.58527097582243;163;343;25;0.4349466375924704;33225;4533;31504;0.8514862689235166;0.061863560151004
6;59.58527097582243;162;340;31;0.5978645166395735;33227;4465;31488;0.8532405371122012;0.05912390978007964
7;53.72062491702569;155;325;24;0.42021399199242343;33395;4230;31769;0.8499831738600503;0.06086593794144886
8;53.72062491702569;157;347;36;0.6315332473408225;32530;4511;30858;0.8479766352729791;0.06401620221700897
9;53.72062491702569;158;340;28;0.6040814938266389;32890;4481;31213;0.8503865409995626;0.06381816212059285
10;53.72062491702569;159;338;28;0.579202630764156;33142;4544;31394;0.8528123677812876;0.05975433620974539
11;53.72062491702569;164;358;41;0.700861857870391;33716;4677;31921;0.8525574768345033;0.059479166683063425
12;53.72062491702569;159;351;18;0.37774339091268877;32892;4503;31200;0.8466905715515195;0.06461756951274138
13;53.72062491702569;156;347;32;0.576648438496557;33855;4433;32180;0.8485153749694284;0.06593288051781476
14;53.72062491702569;143;368;32;0.5479589315894721;33427;4515;31718;0.849754524640794;0.06030816176448837
15;53.72062491702569;150;357;20;0.5707988774180552;33534;4721;31692;0.8528435894222672;0.060726668677551096
16;53.72062491702569;152;344;32;0.6128883498596264;33830;4601;32045;0.8507224000539868;0.06055032148594182
17;53.72062491702569;157;336;28;0.5426612703282528;33020;4321;31387;0.8540744195022932;0.059461857217887555
18;53.72062491702569;163;350;27;0.4961512047069454;33293;4573;31538;0.8494752860313951;0.06373360498067646
19;53.72062491702569;157;320;29;0.6147451106870754;33125;4508;31375;0.8484997863975622;0.060438855175669104
20;53.72062491702569;159;341;29;0.5148853058642131;32676;4448;30974;0.8542375818328996;0.05874387164083967
21;53.72062491702569;159;329;24;0.5138834906210124;32605;4320;31010;0.8511370057484119;0.06079600430415881
22;53.72062491702569;162;351;26;0.48537475934095226;32410;4436;30770;0.8517172585475336;0.0590826420064154
23;53.72062491702569;156;330;34;0.5622709108026898;33297;4526;31592;0.8510063998570494;0.06293626041926208
24;53.72062491702569;150;332;19;0.43656868516977215;33328;4612;31489;0.8510519481689005;0.0618995274776879
25;53.72062491702569;161;332;23;0.46831883184414397;33185;4163;31636;0.8500476423962023;0.06704159932834486
26;53.72062491702569;159;350;31;0.5901097489291331;32554;4414;30874;0.8492331976218618;0.06940951473277009
27;53.72062491702569;154;348;24;0.46463356147778084;33263;4480;31549;0.8516462163987145;0.06285528243029669
28;53.72062491702569;157;338;35;0.614450830539138;34432;4641;32581;0.8513613848334558;0.06217728997387646
29;53.72062491702569;162;329;35;0.6348003882145603;33241;4550;31484;0.848302659618122;0.06657135504452927
30;53.72062491702569;152;325;33;0.5219493173180174;33546;4519;31765;0.849377238017292;0.0619463554799208
31;53.72062491702569;165;337;32;0.6307389548452274;34059;4594;32264;0.8538264637922943;0.05971810135400575
32;53.72062491702569;166;335;32;0.6106838106309411;33953;4791;32029;0.8542715237351485;0.059514811530770706
33;49.329820830856676;170;347;21;0.4147511803373839;34364;4631;32550;0.8521642489976413;0.0631911463705928
34;49.329820830856676;156;345;32;0.6090558813323996;33963;4692;32091;0.8502553893824489;0.06214116798673628
35;49.329820830856676;161;356;28;0.5685970490789146;33669;4908;31692;0.8533768812602489;0.06125976208935081
36;49.329820830856676;157;356;29;0.5812892277659211;34094;4745;32220;0.8509314624048148;0.06637306294498632
37;49.329820830856676;159;342;33;0.5269169882789004;34031;4773;32063;0.8529261777834946;0.059214740674051705
38;38.17442478860893;154;346;40;0.6035653790724423;34634;4936;32581;0.8486976485603608;0.06425804455363493
39;38.17442478860893;160;345;27;0.5034849238713072;33681;4879;31733;0.8466467666879541;0.06822369485471617
40;38.17442478860893;156;352;26;0.5020799435036171;33891;4778;32018;0.8508396587788746;0.059685578450069554
41;38.17442478860893;144;339;24;0.5833713763242744;34572;4735;32711;0.8491001361059913;0.06274859789846617
42;38.17442478860893;157;349;26;0.5706827585274165;34228;4825;32245;0.8534041495482899;0.05698979963287986
43;38.17442478860893;169;350;32;0.6188733800058817;33999;4999;31963;0.8512972344606135;0.06322093201804596
44;38.17442478860893;168;352;27;0.49664940092651827;33875;4882;31909;0.8534596523858962;0.05834580819437721
45;38.17442478860893;174;339;34;0.5568786161280161;33850;4770;31988;0.8506533492276849;0.06871186537382251
46;38.17442478860893;158;352;28;0.6141426171849252;34530;4805;32553;0.8474411390412463;0.06688999092397745
47;38.17442478860893;171;358;39;0.622738237317446;33732;4705;31905;0.8502119234861286;0.0645302750757854
48;38.17442478860893;166;344;34;0.6670207289181839;33733;4599;31887;0.8478234198605715;0.07089834642232709
49;38.17442478860893;174;344;27;0.5719261954990905;32844;4644;31091;0.8500996602487468;0.06244287968724192
50;38.17442478860893;159;342;29;0.5953078499308132;32913;4603;31174;0.8472861903400004;0.0660398747017193
51;38.17442478860893;165;344;27;0.526979818513472;33494;4545;31737;0.8508424693950798;0.06201282435992428
52;38.17442478860893;162;353;32;0.5333932656253395;33279;4646;31545;0.8532413324778997;0.057909787541329916
53;38.17442478860893;159;357;35;0.6669046859378971;33382;4619;31570;0.8536670396365046;0.0595542492567921
54;38.17442478860893;162;358;33;0.6080335873610873;33580;4709;31759;0.8550237102235964;0.05701402782533111
55;38.17442478860893;153;349;30;0.5665876730437548;33086;4688;31338;0.8534350654791705;0.05981884883137884
56;38.17442478860893;169;354;35;0.6261464253929097;33827;4732;31939;0.8541427358895448;0.0612291196758299
57;38.17442478860893;169;352;23;0.3723051650616622;33667;4809;31762;0.8542493899395832;0.05671217027710553
58;38.17442478860893;166;341;29;0.5846292232596964;33395;4645;31637;0.8498549864824726;0.06767535803641017
59;38.17442478860893;161;348;26;0.5135926433538357;33220;4523;31510;0.8500102018260681;0.06186012113288933
60;38.17442478860893;159;335;40;0.6623200198080427;34149;4642;32377;0.8532283703298037;0.058828149286375565
61;38.17442478860893;164;352;30;0.5494439797200212;33279;4745;31410;0.8530386874132557;0.05888470223704168
62;38.17442478860893;169;340;30;0.49200162703203143;33247;4503;31475;0.8482430097467486;0.06330292068732954
63;38.17442478860893;158;355;28;0.5485141336161979;33072;4602;31277;0.8461283359406477;0.06836254394859478
64;38.17442478860893;157;358;29;0.5992664834941036;33640;4686;31830;0.8503990463678759;0.0614444581265943
65;38.17442478860893;151;360;19;0.4863707907707936;33580;4684;31781;0.8516481284835351;0.06540686240992999
66;38.17442478860893;162;357;27;0.5162480185976128;33434;4574;31684;0.854679619475144;0.057905665291291326
67;38.17442478860893;165;342;29;0.5119074733380511;33619;4641;31838;0.8513319119660732;0.05926811938752695
68;38.17442478860893;171;352;24;0.4399703724845788;33271;4544;31552;0.8491386266185589;0.06471510463934022
69;38.17442478860893;154;359;22;0.3259428177562197;32705;4583;31049;0.8496535321465823;0.06280391124038834
70;38.17442478860893;314;285;17;0.3024791602210681;39125;3726;37581;0.8702776685235861;0.07280202249446316
71;38.17442478860893;256;327;25;0.4468251254568521;35516;3979;34009;0.8553751814384872;0.0735696999421152
72;38.17442478860893;197;306;27;0.4931058231493286;33571;4076;32086;0.8509424255610218;0.06439371517992115
73;38.17442478860893;172;330;21;0.5104819436750173;33544;4344;31926;0.8512464192411799;0.06300889003141835
74;38.17442478860893;182;322;24;0.398657716639783;34025;4382;32315;0.8527314809445343;0.05939167839487923
75;38.17442478860893;167;344;32;0.5804455047504802;34014;4461;32237;0.8543129205320156;0.0607135360345641
76;38.17442478860893;157;321;27;0.44953606622383785;33721;4331;32017;0.848258109496333;0.06776489960487014
77;38.17442478860893;157;343;33;0.637268279858208;33982;4711;32062;0.8497684509274265;0.06221087909799671
78;38.17442478860893;151;344;30;0.5322465007990335;33513;4798;31643;0.8504777285084394;0.059461866639112244
79;38.17442478860893;156;345;36;0.6937729746485848;33688;4674;31832;0.8544097915104744;0.06063849799194156
80;37.47691363828726;158;360;30;0.5333946726726521;33085;4801;31229;0.8514717370934574;0.060140323277327865
81;37.47691363828726;163;359;26;0.48567071988821753;33652;4884;31713;0.8543670425199986;0.057503679773384185
82;37.47691363828726;171;358;30;0.57981925487368;33641;4819;31770;0.8504702795815444;0.06152741652616157
83;37.47691363828726;162;349;33;0.5944742769057336;32798;4777;30884;0.8512970923577973;0.06138599672680619
84;37.47691363828726;160;353;37;0.6317393167394156;34011;4892;32068;0.8477916911901482;0.06511909124770857
85;37.47691363828726;169;342;32;0.5971376991978854;33473;4777;31537;0.85163079578738;0.06030339904880913
86;37.47691363828726;150;351;28;0.5123618317169567;33406;4752;31569;0.8483762803239584;0.0633894945436489
87;37.47691363828726;150;345;30;0.6106865899856087;33729;4607;31963;0.849772112633338;0.06220444699090335
88;37.47691363828726;153;339;29;0.5243478840677227;33922;4476;32142;0.8494687879466837;0.06247832762722673
89;37.47691363828726;171;346;27;0.512464633046689;34344;4868;32372;0.8527290633207636;0.06144241906680486
90;37.47691363828726;163;357;32;0.47844573211335817;33665;4840;31776;0.8522675688091891;0.059884313678936055
91;37.47691363828726;152;344;30;0.567279994818353;33294;4772;31441;0.8485671480063098;0.06431707538980667
92;37.47691363828726;155;350;29;0.5233279808473454;33655;4592;31849;0.8512773306994744;0.06417881952968392
93;37.47691363828726;152;334;23;0.46243383053756104;33229;4652;31420;0.8506480056116865;0.06077170650654772
94;37.47691363828726;165;353;34;0.6729343620690634;33874;4822;31956;0.852729879278737;0.06205628332691431
95;37.47691363828726;149;350;24;0.43503040182989805;33141;4430;31453;0.851585294688636;0.05820152434926945
96;37.47691363828726;153;344;28;0.5494519019250761;33890;4728;32053;0.8504288896649727;0.066216176744631
97;37.47691363828726;159;341;25;0.5458959168330988;32969;4532;31235;0.8497203636817853;0.06477707769020694
98;37.47691363828726;157;354;38;0.7297071246563969;33071;4490;31366;0.8505252555266875;0.061661870439647604
99;37.47691363828726;152;337;27;0.44054026563590376;33004;4521;31288;0.8493142855880501;0.06219992743762169
100;37.47691363828726;154;338;34;0.6123805731842096;34070;4720;32247;0.8513630456177576;0.0604874345676736
101;37.47691363828726;167;341;30;0.6788227071779089;33857;4895;31880;0.8535402713574981;0.05954728525219154
102;37.47691363828726;165;360;26;0.5780160452076092;33811;4980;31845;0.8523278988585835;0.0607701979782366
103;37.47691363828726;172;353;39;0.7068531389156331;34013;4787;32132;0.8538059318737605;0.06243437146312276
104;37.47691363828726;156;355;23;0.4952756653897762;34234;4773;32333;0.8524418278458177;0.060542650678472504
105;37.47691363828726;151;352;27;0.5305572690467282;33847;4839;31914;0.8476845656479491;0.06573713676229266
106;37.47691363828726;157;344;24;0.4533235726719357;33766;4599;31942;0.8505409430945601;0.06333003255619335
107;37.47691363828726;151;338;21;0.4777584727828288;33884;4728;32036;0.8516465126360941;0.05959544748821845
108;37.47691363828726;152;340;40;0.6856298047575428;33768;4515;32035;0.8505420996602064;0.06004310543950178
109;37.47691363828726;156;323;30;0.5561366189552339;34044;4802;32137;0.851662509997937;0.057120723666074236
110;37.47691363828726;164;349;28;0.5328568654570578;34090;4815;32116;0.8518498719373764;0.06024720884110327
111;37.47691363828726;153;338;27;0.4949641136992523;33144;4623;31383;0.8457487752836144;0.06742285171123616
