gen;fitness;n_species;p_isomorphisms;unique_fitness;entropy;total_gen_markers;active_gen_markers;inactive_gen_markers;avg_delta;std_delta
0;0.5625;7;109;5;0.4955030731882314;37776;3750;35251;0.6699780080858939;0.045383299085635175
1;0.5625;9;116;5;0.3549251787611179;33978;3580;31624;0.6596988166218217;0.06718843841570822
2;0.5625;6;140;5;0.3117579808368059;28082;3294;26063;0.6044992322743693;0.057735483343591874
3;0.5625;3;150;5;0.25800215206281923;23119;3189;21318;0.593582067276875;0.04462890817753186
4;0.5625;2;137;4;0.18133185520999603;19473;2951;17927;0.5731970925492758;0.040307267157707535
5;0.5625;2;132;4;0.18541554316992886;17216;2823;15835;0.5540302696258284;0.035902439847439814
6;0.5625;2;131;4;0.21082558068507937;15867;2693;14530;0.5304492391176469;0.03628701317240852
7;0.5625;2;138;4;0.25693730909670964;15575;2625;14320;0.5143046569605467;0.03536658151972213
8;0.5625;2;138;4;0.23727605678237146;14884;2545;13664;0.5353734276483458;0.03609314860580708
9;0.5625;2;137;4;0.1391307304594014;14569;2466;13431;0.5170111335138715;0.034645165580877435
10;0.5625;2;131;4;0.14333046139962116;14913;2561;13709;0.5346768328072019;0.03664508720533042
11;0.5625;2;136;4;0.16885955443091405;15039;2451;13911;0.5490069748723068;0.03570786836041378
12;0.5625;2;135;4;0.24135974474230426;14788;2444;13618;0.5185553577261587;0.04028611116513035
13;0.5625;2;137;4;0.2013846432007101;14981;2440;13819;0.5755016527901615;0.043035608227799095
14;0.5625;2;134;4;0.14235001140827505;14522;2401;13426;0.5182606823544204;0.03796193205760422
15;0.5625;2;133;4;0.1841054991058217;14879;2304;13829;0.5781746199417651;0.03754040944913907
16;0.5625;1;136;4;0.2149092686450122;15179;2376;14077;0.5434824532767404;0.031866642072808635
17;0.5625;1;134;5;0.2158897186363583;14852;2413;13747;0.5223228534436368;0.0319844921088991
18;0.5625;1;123;4;0.22784698114861418;14235;2413;13175;0.5344893177346982;0.030861120556878903
19;0.5625;1;130;4;0.19408167429190362;14002;2451;12878;0.5057651753472682;0.03082664636805904
20;0.5625;1;131;4;0.1983650931920562;14158;2444;13086;0.5065325770482667;0.03151680174353716
21;0.5625;1;130;4;0.17285955443091405;14176;2373;13070;0.4966402924272402;0.03153123864281647
22;0.5625;1;136;4;0.23956655083782474;14337;2432;13205;0.5148072479506643;0.03065939404563939
23;0.5625;1;130;4;0.17187910443956794;13896;2377;12873;0.524705909226004;0.030806966693574203
24;0.5625;1;133;4;0.17285955443091405;14159;2341;13124;0.5157119297424213;0.02916935565768525
25;0.5625;1;126;4;0.22842796925952077;14222;2318;13168;0.4934820679954778;0.03382188827276207
26;0.5625;1;121;4;0.22784698114861418;14298;2377;13268;0.5218000984990927;0.032208762907547935
27;0.5625;1;122;4;0.2149092686450122;14114;2336;13036;0.4946034613567543;0.03259434518774922
28;0.5625;1;137;4;0.17285955443091405;14356;2391;13275;0.533896783658817;0.03245345704643602
29;0.5625;1;136;4;0.2006555872475095;14203;2356;13112;0.5110930787909675;0.03121775901269517
30;0.5625;1;133;4;0.28021716467007013;14248;2337;13223;0.5123438217030911;0.029934161497581737
31;0.5625;1;142;4;0.18541554316992886;14297;2343;13267;0.50653114607684;0.030589255410548084
32;0.5625;1;131;4;0.2006555872475095;14725;2385;13635;0.53029668719326;0.03134179880570397
33;0.5625;1;130;4;0.2523246709802796;14705;2421;13621;0.5241490339765787;0.03103634897942886
