gen;fitness;n_species;p_isomorphisms;unique_fitness;entropy;total_gen_markers;active_gen_markers;inactive_gen_markers;avg_delta;std_delta
0;0.5625;5;134;5;0.6425754509823992;81719;10636;76447;0.6686493691531297;0.04612731530579699
1;0.5625;2;159;4;0.5861970693384982;58672;10282;53184;0.6327133328095162;0.03713192047891158
2;0.5625;1;170;5;0.3772682477871555;44369;8948;39687;0.6111916091200995;0.02942032460683118
3;0.5625;1;189;5;0.3110911128432938;36165;7986;32037;0.5882153113439329;0.03188541209635025
4;0.5625;1;181;4;0.30229218908241484;30999;7600;27083;0.5587949099175785;0.0331144649343981
5;0.5625;1;189;4;0.3162845765631847;27420;6933;24018;0.5347771911644724;0.031014735054975574
6;0.5625;1;191;5;0.2981892071004715;25430;6643;22171;0.5163261211989525;0.02845008785380626
7;0.5625;1;189;5;0.2885005835702227;23473;6324;20368;0.5269063319165469;0.025804033285634992
8;0.5625;1;195;4;0.25380242112259954;22479;6219;19524;0.514318258889912;0.02451326334081536
9;0.5625;1;188;4;0.1983650931920562;21901;6153;19010;0.5247650407721427;0.025691371246825488
10;0.5625;1;186;4;0.3358976507067149;21793;6096;18847;0.5196451689126552;0.028949539105199127
11;0.5625;1;200;4;0.31518808359155165;21562;6023;18677;0.52792767223644;0.02750388239337292
12;0.5625;1;193;4;0.33458972506341345;21813;6143;18871;0.5018743372093315;0.023495545107712228
13;0.5625;1;194;4;0.2667222857892699;22147;6218;19161;0.5196243383281941;0.023910180524182374
14;0.5625;1;195;4;0.2149092686450122;22223;6407;19119;0.513711157474834;0.02715992410065375
15;0.5625;1;180;5;0.29602857617755945;21369;6213;18354;0.5014163839037117;0.02515262111065037
16;0.5625;1;191;5;0.34689339306528105;21091;6120;18134;0.5002396758376708;0.023377800062150816
17;0.5625;1;191;4;0.29038893804069127;21200;6120;18317;0.5034373571440255;0.02347696846196633
18;0.5625;1;188;4;0.313839123359909;21566;6233;18636;0.5128656761886294;0.023026479509133186
19;0.5625;1;190;4;0.25380242112259954;21617;6354;18605;0.5122739350858312;0.025867521028356016
20;0.5625;1;195;4;0.2006555872475095;21348;6305;18320;0.5047721666715713;0.025415612772342545
21;0.5625;1;187;4;0.21359922458090502;21209;6184;18287;0.5002132575379512;0.024624259752555586
22;0.5625;1;191;4;0.25428557096297183;21955;6211;19063;0.5031453618194381;0.025957802285999816
23;0.5625;1;204;4;0.2402956067910253;21037;6082;18212;0.5161645432004303;0.02518569003102213
24;0.5625;1;184;4;0.33696178865799387;21173;6106;18298;0.5134953754502577;0.02274656528579829
25;0.5625;1;200;4;0.24135974474230426;21405;6149;18463;0.5238372038257765;0.025183332712378974
26;0.5625;1;197;5;0.2626668281336587;21492;6258;18486;0.5195092678824891;0.022974085281289823
27;0.5625;1;190;4;0.2793204026386569;21822;6327;18772;0.5223100730988453;0.023072521906033105
28;0.5625;1;184;4;0.3175429575293661;21891;6186;18988;0.5124919885593423;0.024600273067715228
29;0.5625;1;183;4;0.18541554316992886;21559;6265;18510;0.5114649658000101;0.025541681405511725
30;0.5625;1;178;4;0.26778642374054884;21107;6132;18213;0.5281480228161449;0.024877568435198626
31;0.5625;1;182;4;0.25380242112259954;21518;6142;18538;0.5072663206817772;0.0261758035224997
32;0.5625;1;176;4;0.29984253631901514;21617;6218;18613;0.5127090484936571;0.023288410907355273
33;0.5625;1;184;4;0.25380242112259954;21823;6201;18908;0.5066962964054719;0.025709898770086947
34;0.5625;1;184;4;0.24135974474230426;22019;6263;19007;0.5246537173982567;0.025786142449946717
35;0.5625;1;201;4;0.15760772120073155;22273;6304;19262;0.521052162043392;0.023942057056182405
36;0.5625;1;194;5;0.31109111284329377;22945;6427;19870;0.5074767894929559;0.025805340879957138
37;0.5625;1;193;5;0.2485790256911779;22318;6372;19255;0.5142050545418296;0.024427189194526994
38;0.5625;1;201;4;0.2538024211225995;21882;6306;18881;0.5118777571053905;0.02534004244812492
39;0.5625;1;196;5;0.2750057046894224;21354;6324;18355;0.5141009812586586;0.025648167739389122
40;0.5625;1;205;4;0.1551174962050585;21318;6100;18450;0.5381444446295431;0.02277968407276166
41;0.5625;1;198;4;0.2149092686450122;21566;6436;18498;0.5133686973831475;0.02631196381989368
42;0.5625;1;196;4;0.24588610908253233;21909;6328;18971;0.5042624069969464;0.022818313999503518
