gen;fitness;n_species;p_isomorphisms;unique_fitness;entropy;total_gen_markers;active_gen_markers;inactive_gen_markers;avg_delta;std_delta
0;0.53125;6;144;4;0.5659290669022462;81888;10550;76692;0.6836086282730094;0.03879175805724114
1;0.5625;2;152;4;0.6215348262371534;59348;9998;54038;0.6630476876810075;0.03948367439111522
2;0.5625;1;172;5;0.40390265004856923;45666;9287;40653;0.6146392244177319;0.033137115811353236
3;0.5625;1;178;4;0.40953120939737914;37223;8693;32758;0.5736936314052059;0.03612649724706537
4;0.5625;1;191;4;0.40824108427663985;32319;7780;28336;0.5509679720479905;0.0316417311257956
5;0.5625;1;190;4;0.3092970514165379;28417;7253;24778;0.5453111717429018;0.030879555371953523
6;0.5625;1;189;4;0.2013846432007101;25597;6974;22121;0.5339805732710968;0.03161995425428646
7;0.5625;1;198;5;0.3238654764468264;24954;6540;21672;0.5167315979096825;0.029239317632727902
8;0.5625;1;188;5;0.20787486819638315;23938;6601;20786;0.5139802111528033;0.028588618350191063
9;0.5625;1;194;5;0.3095114700312884;22991;6592;19832;0.5060004445485758;0.029513358090593286
10;0.5625;1;194;4;0.2639861546807686;23110;6627;19855;0.5095539601151345;0.028584007203267547
11;0.5625;1;198;4;0.3162845765631847;22870;6540;19713;0.5211929197557104;0.02453705642196994
12;0.5625;1;194;4;0.35148775946544397;22914;6506;19803;0.5322891649911631;0.023889618346043105
13;0.5625;1;195;5;0.2874364456189437;21975;6453;18929;0.5168262569648906;0.02474404623087597
14;0.5625;1;194;5;0.31489138190307403;21830;6371;18857;0.5205722371820893;0.02456181493015458
15;0.5625;1;205;5;0.3095114700312884;21662;6471;18547;0.5102592246593307;0.025351569104501752
16;0.5625;1;194;4;0.3028076939431412;21886;6438;18744;0.5095614464845276;0.024072756923474763
17;0.5625;1;192;5;0.2450763258421517;21459;6427;18290;0.5279551295154247;0.02491036366436988
18;0.5625;1;185;4;0.30464706302022926;21450;6316;18400;0.5040895307825785;0.02351144628711747
19;0.5625;1;186;4;0.25380242112259954;21094;6247;18047;0.5155617019822485;0.02782969916493345
20;0.5625;1;188;4;0.2667222857892699;21710;6419;18613;0.5029719299131051;0.0247187128736806
21;0.5625;1;181;4;0.3162845765631847;21430;6453;18296;0.5073124674582479;0.023746749943611246
22;0.5625;1;178;5;0.22139949364068526;22067;6662;18781;0.5339853178520265;0.023619999014216127
23;0.5625;1;193;5;0.32856250753801997;21926;6514;18824;0.5220761375996315;0.029614039308400116
24;0.5625;1;188;4;0.24804674000544435;21689;6496;18547;0.5218531288701139;0.02242151251800073
25;0.5625;1;187;5;0.2874364456189437;21828;6563;18677;0.5051479780830551;0.024719515800554787
26;0.5625;1;188;4;0.2673032739001765;21480;6285;18441;0.5095921394061244;0.027892704678323214
27;0.5625;1;182;5;0.22139949364068526;21195;6305;18154;0.5009055227026028;0.024555391084682725
28;0.5625;1;180;4;0.25159561502707906;21175;6293;18142;0.5245669621826955;0.023431229750897075
29;0.5625;1;187;4;0.21082558068507937;21424;6234;18478;0.5310414958230574;0.026489252091296583
30;0.5625;1;193;4;0.28021716467007013;21417;6333;18419;0.5146993718834288;0.023805768580885487
31;0.5625;1;191;5;0.23564725020839444;21614;6354;18583;0.5102688801168733;0.025673421811513986
32;0.5625;1;189;4;0.2911641691665003;22259;6363;19164;0.5230458816094793;0.023464886364478292
33;0.5625;1;193;5;0.2620858400227521;21653;6300;18604;0.5171478007240319;0.023805356861639433
34;0.5625;1;195;4;0.3038718318944202;21581;6340;18578;0.5164226980578291;0.02385153178551334
35;0.5625;1;184;4;0.327303945811373;22099;6396;19062;0.5047868642610942;0.02511911208430708
36;0.5625;1;172;4;0.2787394145277502;21543;6359;18518;0.5041924916635704;0.02540031419914591
37;0.5625;1;199;5;0.23433720614428724;21620;6157;18757;0.5122612555785785;0.02288854578594054
38;0.5625;1;185;4;0.2787394145277502;21692;6511;18592;0.5184418433166844;0.025259329659273792
39;0.5625;1;183;4;0.2284279692595208;21263;6381;18279;0.5134147275748607;0.02350193669730673
40;0.5625;1;196;4;0.30464706302022926;21391;6279;18465;0.5021589730933761;0.02548938244317751
41;0.5625;1;195;4;0.15760772120073155;21161;6306;18134;0.5200894461587018;0.025591442733483256
42;0.5625;1;184;4;0.2793204026386569;21169;6389;18066;0.5085953071901403;0.02215787023844527
43;0.5625;1;196;4;0.17187910443956794;20960;6357;17891;0.5044098820622454;0.022401939538896794
44;0.5625;1;186;4;0.3028076939431412;22263;6373;19219;0.5038757653546309;0.024386397234202887
45;0.5625;1;193;5;0.33909750432609037;22080;6381;18965;0.5147601005847343;0.02368295803103936
46;0.5625;1;198;4;0.2787394145277502;22212;6121;19351;0.5045232138395122;0.023871245944340133
47;0.5625;1;190;4;0.25486655907387845;21758;6277;18765;0.5200720091365999;0.024561298160890723
48;0.5625;1;193;4;0.29222830711777925;21543;6225;18518;0.5028024003368466;0.023808936383169978
49;0.5625;1;180;4;0.3141239456402727;21474;6294;18441;0.4947341351096595;0.024974116204649132
50;0.5625;1;183;4;0.24135974474230426;21634;6303;18656;0.5210065327175134;0.027079446424464627
51;0.5625;1;197;4;0.2911641691665003;21912;6259;18921;0.5013293025948414;0.02485959106522119
52;0.5625;1;183;5;0.23491819425519386;22149;6241;19185;0.5123192380907392;0.026207065958864056
53;0.5625;1;199;4;0.3395818767862082;22451;6295;19429;0.5053139697757959;0.023201781486607755
54;0.5625;1;188;4;0.29222830711777925;22388;6300;19310;0.5021118609858233;0.023902309802030283
55;0.5625;1;192;5;0.20787486819638315;22303;6459;19141;0.5224053611587097;0.02428372308727943
56;0.5625;1;190;4;0.25380242112259954;21973;6409;18833;0.513911841061563;0.024288133382318836
57;0.5625;1;190;5;0.25881489597595264;22610;6502;19415;0.5179322434022435;0.02393360661419617
58;0.5625;1;187;4;0.3141239456402727;22625;6553;19452;0.514598362081495;0.025604905679506216
59;0.5625;1;186;5;0.3014084880493451;21820;6203;18851;0.503077627011906;0.024160787532356395
60;0.5625;1;192;4;0.2380888006955048;22453;6443;19342;0.5109220239926596;0.02445528607570018
61;0.5625;1;191;4;0.2639861546807686;22311;6359;19261;0.5226195639038533;0.024658239728593868
62;0.5625;1;186;5;0.3110911128432938;22548;6400;19470;0.5066718004500145;0.025380103278212995
63;0.5625;1;180;4;0.18712504911447556;22912;6257;19938;0.5190190963427281;0.02629674710640204
64;0.5625;1;178;5;0.3049573630709798;22561;6350;19480;0.5010429836829635;0.024886057795307174
65;0.5625;1;191;4;0.25380242112259954;22941;6287;19941;0.5194666479867925;0.02462923344008094
66;0.5625;1;208;5;0.2620858400227521;21927;6021;19129;0.5242796064335293;0.02736263893555984
67;0.5625;1;198;5;0.2874364456189437;22040;6096;19207;0.5169965038613843;0.023915008847924066
68;0.5625;1;185;4;0.2006555872475095;21885;6325;18858;0.5104960743384297;0.025192553922933285
69;0.5625;1;197;5;0.2750057046894224;22227;6220;19249;0.5086405854032815;0.02482216315538594
70;0.5625;1;190;4;0.3371322240228085;21927;6143;18986;0.5089307370738156;0.02423325098205234
71;0.5625;1;175;4;0.261096467804656;21635;6050;18740;0.5114816870704026;0.024374477893856435
72;0.5625;1;197;4;0.22842796925952077;21950;6172;18964;0.5021193222517978;0.02547789836251076
73;0.5625;1;204;4;0.23637929475095815;21889;6277;18879;0.5398522887237676;0.025022477203970182
74;0.5625;1;192;4;0.2911641691665003;21523;6081;18652;0.5257327119332715;0.02422585692427365
75;0.5625;1;198;5;0.2620858400227521;22150;6383;19056;0.5602633981775246;0.03741817034514491
76;0.5625;1;198;4;0.29038893804069127;22320;6401;19207;0.5079789179651815;0.026494027981151386
77;0.5625;1;216;5;0.23433720614428724;22303;6338;19276;0.5343191971906877;0.02922025192362726
78;0.5625;1;190;4;0.29038893804069127;22020;6423;18905;0.5121849958658087;0.02514397267183222
79;0.5625;1;198;4;0.22842796925952077;21685;6333;18642;0.5163429651596524;0.02801009612580654
80;0.5625;1;203;5;0.22212854959388584;21888;6337;18839;0.5139469236383896;0.02365639670799146
81;0.5625;1;206;4;0.15760772120073155;21419;6193;18561;0.5411450212024906;0.026078756908846045
