gen;fitness;n_species;p_isomorphisms;unique_fitness;entropy;total_gen_markers;active_gen_markers;inactive_gen_markers;avg_delta;std_delta
0;0.5625;83;124;5;0.3446476912952948;37749;3475;35432;0.7155050055539307;0.09723601409307947
1;0.5625;39;143;5;0.4551560799760422;33617;3458;31362;0.6559783876418177;0.11597294937237146
2;0.5625;10;131;4;0.30060088784762073;27813;3150;25921;0.6429656571599256;0.07339231874121742
3;0.5625;8;144;4;0.21180603067642548;23549;2938;21849;0.6118056786785854;0.0636812997926348
4;0.5625;4;139;4;0.21359922458090502;20416;2792;18881;0.5868225819920763;0.04829557200725452
5;0.5625;4;137;4;0.18541554316992886;17736;2603;16440;0.5602197193251549;0.046868446948742516
6;0.5625;5;136;4;0.24135974474230426;16594;2615;15288;0.6272689276183437;0.04713482484986498
7;0.5625;4;136;4;0.25486655907387845;15788;2564;14529;0.5695026153687579;0.04776095421996438
8;0.5625;3;134;4;0.24135974474230426;15441;2674;14168;0.5347952193422667;0.04378641445792566
9;0.5625;2;129;4;0.21359922458090502;15431;2653;14154;0.5411655810527488;0.038396353760682934
10;0.5625;2;129;4;0.18712504911447556;14700;2489;13599;0.5542017698836893;0.03967310089654671
11;0.5625;2;129;4;0.2006555872475095;14840;2593;13635;0.5500296476198462;0.038609058146645156
12;0.5625;3;135;4;0.24135974474230426;14931;2606;13687;0.5849356925006364;0.041234708251066204
13;0.5625;2;127;4;0.24135974474230426;14725;2463;13617;0.5868715671949712;0.04266443567146033
14;0.5625;2;134;4;0.2149092686450122;14805;2545;13599;0.557531537269531;0.03755072536016425
15;0.5625;3;144;4;0.2013846432007101;15101;2683;13798;0.5669194566841805;0.04181325338132813
16;0.5625;2;140;4;0.21082558068507937;14853;2572;13650;0.5348546623064206;0.036678189947146604
17;0.5625;2;134;4;0.20760629973620573;14890;2561;13688;0.5547222268854398;0.03657967757781559
18;0.5625;1;125;4;0.1686598234906943;14228;2545;13075;0.5350097668441545;0.03600848798308684
19;0.5625;1;127;4;0.14235001140827505;13993;2372;12965;0.5287344436808925;0.03289305343938521
20;0.5625;1;130;4;0.15760772120073155;14314;2421;13201;0.5381630351609548;0.03717449261708808
21;0.5625;1;126;4;0.2006555872475095;13960;2295;12952;0.5369669884196403;0.032905151168173614
22;0.5625;1;128;4;0.3028076939431412;14418;2443;13327;0.5532519045196159;0.03223979175794217
23;0.5625;1;126;5;0.2620858400227521;14516;2401;13412;0.5724476784908255;0.03205055396656882
24;0.5625;1;123;4;0.17285955443091405;14246;2312;13216;0.532262063063604;0.03480906282950437
25;0.5625;1;120;4;0.24135974474230426;14418;2362;13382;0.5539581344983368;0.032062562638336144
26;0.5625;1;142;5;0.24916001380208452;14735;2401;13634;0.535870637563859;0.035703675173552225
27;0.5625;1;129;4;0.2006555872475095;14079;2286;13092;0.5297682801719027;0.0354081030854896
28;0.5625;1;122;3;0.17439599316127496;14176;2407;13143;0.521736197363464;0.03483218071591214
29;0.5625;1;131;5;0.20616536225183646;14518;2453;13371;0.5271738163961338;0.03498502197843569
30;0.5625;1;133;5;0.178369329435241;14292;2441;13170;0.5525147310346237;0.03454609840234795
31;0.5625;1;131;4;0.2639861546807686;13753;2377;12708;0.5268026115750772;0.03311515836397896
32;0.5625;1;135;4;0.1551174962050585;14495;2350;13408;0.5441269687127586;0.03525712725266155
33;0.5625;1;122;4;0.21082558068507937;14475;2372;13381;0.5374567213329291;0.032288888418856805
34;0.5625;1;130;4;0.1686598234906943;14669;2428;13529;0.5482703822959129;0.03673803416182416
35;0.5625;1;132;4;0.21359922458090502;15004;2415;13847;0.5387759271990035;0.034822568673455255
36;0.5625;1;131;4;0.1983650931920562;14727;2412;13634;0.5436535445096952;0.033457825294088216
37;0.5625;1;127;4;0.18712504911447556;14232;2320;13196;0.5375943395742162;0.03553077622263544
38;0.5625;1;128;5;0.23564725020839442;14552;2438;13408;0.5378644527755969;0.033091089027681396
39;0.5625;1;134;3;0.17439599316127496;14232;2346;13152;0.5469565332864154;0.03184017053601991
40;0.5625;1;128;4;0.2149092686450122;13983;2269;12979;0.5431599850001596;0.03347312686489345
41;0.5625;1;122;4;0.2006555872475095;14458;2270;13453;0.5633196167111814;0.034053821831415865
42;0.5625;1;132;4;0.2149092686450122;14487;2350;13445;0.5766339929544422;0.032758504450339586
43;0.5625;1;128;4;0.1686598234906943;14604;2360;13580;0.5322301979610011;0.03478809908825383
44;0.5625;1;127;4;0.12557666199346632;14478;2383;13416;0.5308404788271183;0.03519148220779828
45;0.5625;1;125;4;0.2006555872475095;14342;2369;13274;0.5771684592676204;0.03270132886734639
46;0.5625;1;126;4;0.1408402364039481;14210;2282;13194;0.5443639686243383;0.03342957002552279
47;0.5625;1;127;4;0.1686598234906943;14883;2473;13701;0.560242757849375;0.033676819877773545
48;0.5625;1;128;4;0.21082558068507937;14603;2460;13474;0.5837983265663302;0.035262036789217764
49;0.5625;1;143;4;0.2006555872475095;14989;2412;13878;0.5403131487594817;0.03831997589473907
50;0.5625;1;135;4;0.1391307304594014;14769;2369;13681;0.5382044983935511;0.03633516168521907
51;0.5625;1;136;4;0.23453992567387014;14884;2438;13759;0.551656151275094;0.03839323674535494
52;0.5625;1;131;4;0.22605378724413466;14493;2452;13336;0.5491548762706617;0.03346032048763764
53;0.5625;1;131;5;0.2620858400227521;14623;2399;13499;0.5531751947569847;0.03513504181968479
54;0.5625;1;136;4;0.17187910443956794;14683;2310;13630;0.5547252848040535;0.03402277050988555
55;0.5625;1;131;4;0.17187910443956794;14588;2317;13495;0.5347553240476932;0.034169577342425365
56;0.5625;1;134;4;0.1551174962050585;14656;2346;13599;0.5426187836390598;0.03478987310955455
57;0.5625;1;129;4;0.1551174962050585;14649;2338;13614;0.5598035272210072;0.03413245398758906
58;0.5625;1;127;4;0.17187910443956794;14762;2417;13665;0.5420352316488659;0.03580630746124225
59;0.5625;1;138;4;0.2658255237578566;14255;2455;13129;0.6026228676942205;0.030907347581805612
60;0.5625;1;136;4;0.2013846432007101;14255;2446;13148;0.5400312228684812;0.03321314725546102
61;0.5625;1;145;4;0.22286653115726807;14555;2566;13377;0.5542053093456787;0.03286308498363227
62;0.5625;1;125;4;0.1686598234906943;14942;2453;13799;0.5670133532982069;0.035168825874322185
63;0.5625;1;132;4;0.2149092686450122;14889;2442;13790;0.5282550171009985;0.033804537287006865
64;0.5625;1;131;4;0.2006555872475095;14757;2485;13675;0.5543227333126776;0.033701867566062395
65;0.5625;1;130;4;0.22784698114861418;14627;2406;13531;0.5915944154076281;0.031673951190253596
66;0.5625;1;125;4;0.24135974474230426;14501;2445;13356;0.5406328030122562;0.033681418790891586
67;0.5625;1;125;4;0.22711792519541363;14198;2418;13159;0.5548753922487453;0.03377642879157326
68;0.5625;1;139;4;0.2402956067910253;13992;2417;12860;0.5599055137941207;0.03272974453420892
69;0.5625;1;127;4;0.22842796925952077;14450;2375;13363;0.5536770773530645;0.031187473270107267
70;0.5625;1;136;4;0.18541554316992886;14522;2401;13419;0.5559584253875799;0.03166859031379252
71;0.5625;1;128;4;0.18541554316992886;14421;2549;13318;0.560328959521346;0.0329173420623934
72;0.5625;1;132;4;0.1686598234906943;14571;2407;13489;0.5357343759128651;0.035611654500924766
73;0.5625;1;131;4;0.2402956067910253;14623;2442;13554;0.562328760711372;0.03497705771044455
74;0.5625;1;138;5;0.19361527411014862;14516;2437;13403;0.5454724460803086;0.03615718905065091
75;0.5625;1;133;4;0.2006555872475095;14594;2361;13537;0.5498781158725972;0.035574875022269636
76;0.5625;1;135;3;0.08801241684478481;14515;2465;13421;0.5285371353338385;0.03513376265084983
77;0.5625;1;131;4;0.2006555872475095;14397;2353;13365;0.5931314848162069;0.03665026113366552
78;0.5625;1;137;4;0.18541554316992886;14597;2323;13578;0.5299215107599642;0.03395191338024406
79;0.5625;1;134;4;0.1686598234906943;14412;2423;13345;0.5279955024088265;0.035580098236929605
80;0.5625;1;132;4;0.21082558068507937;14323;2475;13201;0.5217820442433381;0.03349623405560726
81;0.5625;1;131;4;0.18541554316992886;14527;2414;13411;0.5606558628348896;0.033992002902976624
82;0.5625;1;128;4;0.22784698114861418;14414;2345;13386;0.5502334414413269;0.03305801443143332
83;0.5625;1;126;4;0.14235001140827505;14405;2312;13417;0.5511465500064455;0.03269219125762934
84;0.5625;1;136;4;0.18712504911447556;14887;2363;13845;0.5532436345331957;0.03612094274654501
85;0.5625;1;123;5;0.24916001380208452;14805;2365;13759;0.5320968179713712;0.033907124092339515
86;0.5625;1;136;4;0.19408167429190362;14565;2377;13463;0.5301588254924102;0.037444418446474656
87;0.5625;1;132;4;0.15760772120073155;14256;2398;13158;0.5426058891451259;0.03203761206498782
88;0.5625;1;129;4;0.21082558068507937;14648;2567;13416;0.5541496511306585;0.03432910485089242
89;0.5625;1;130;4;0.19408167429190362;14351;2455;13256;0.5717224702810686;0.03771370949599292
90;0.5625;1;138;5;0.2865396835875304;14512;2454;13415;0.5576668365299734;0.031635536668335136
91;0.5625;1;125;5;0.20616536225183646;14843;2478;13729;0.5301322239571508;0.03547707465255925
92;0.5625;1;120;4;0.25380242112259954;14858;2449;13690;0.538957774152271;0.033474112326308036
93;0.5625;1;124;4;0.2013846432007101;14800;2439;13698;0.562913568151521;0.03235744758356571
94;0.5625;1;128;4;0.1686598234906943;14513;2405;13387;0.5480855750139231;0.03157076080308251
95;0.5625;1;123;4;0.15760772120073155;14312;2409;13219;0.581181655059887;0.035842315857941585
96;0.5625;1;120;4;0.18712504911447556;14200;2448;13100;0.560956035070786;0.03220352357371919
97;0.5625;1;134;4;0.24588610908253233;14131;2414;13030;0.5381833576695486;0.033560201874024094
98;0.5625;1;121;4;0.17187910443956794;14061;2363;13007;0.5294687023283489;0.03236573056331399
99;0.5625;1;127;5;0.17587910443956795;14351;2460;13190;0.5590243308036454;0.034657302019835516
100;0.5625;1;130;4;0.1551174962050585;14148;2396;13081;0.5432439899873586;0.034286273483837865
101;0.5625;1;118;4;0.2667222857892699;14016;2448;12928;0.5440694772555894;0.03371071186292521
102;0.5625;1;135;4;0.22784698114861418;14471;2546;13285;0.542711536925398;0.03379792061913758
103;0.5625;1;134;4;0.1983650931920562;14502;2553;13308;0.5504628413128763;0.034638503988508096
104;0.5625;1;129;4;0.18712504911447556;14541;2511;13444;0.5569303969020534;0.03316376659801917
105;0.5625;1;124;4;0.2149092686450122;14282;2578;13115;0.5658948502508537;0.033104912643792186
106;0.5625;1;135;4;0.2006555872475095;14424;2557;13258;0.5490937762746948;0.03430330555602131
107;0.5625;1;129;4;0.2006555872475095;14758;2617;13565;0.5582296174563383;0.033356965554903154
108;0.5625;1;128;4;0.17187910443956794;14657;2572;13525;0.5343675718672294;0.03579652245029125
109;0.5625;1;128;4;0.14235001140827505;14144;2521;13026;0.5390479222728051;0.03233405086216855
