gen;fitness;n_species;p_isomorphisms;unique_fitness;entropy;total_gen_markers;active_gen_markers;inactive_gen_markers;avg_delta;std_delta
0;109.29972386946993;500;309;17;0.6380274127090007;77795;4414;76241;0.13885557768924303;0.007689786753374638
1;71.09874737252805;316;340;35;0.9179039407410104;70862;4891;69153;0.6691667036878872;0.19452609116411432
2;71.09874737252805;185;356;28;0.8437353651455829;58563;5009;57030;0.695520264766534;0.14065469060852662
3;71.09874737252805;96;357;30;0.8347882588316995;49098;5223;47604;0.715647211711102;0.0928088372849196
4;69.15086140648151;46;385;33;1.1772515269560084;43047;5084;41618;0.6740253007903817;0.11994649635962414
5;69.15086140648151;33;369;34;1.009651347103812;38752;4723;37498;0.6353323590535991;0.1224501093074684
6;66.65197939760715;15;376;37;1.065596830408327;35385;4458;34308;0.6297456330707907;0.093156182385949
7;66.65197939760715;11;379;42;1.2974660580268071;34012;4625;32863;0.6407792797262069;0.07041602518188299
8;66.65197939760715;10;385;41;1.1927469180173769;32703;4539;31609;0.6605665338210007;0.06790088682624941
9;66.65197939760715;4;377;35;0.9413812125667542;31522;4441;30462;0.5971184171321975;0.05490656409215717
10;66.65197939760715;4;363;38;1.145097738431896;31361;4412;30303;0.6143553847138858;0.0486122586153465
11;66.65197939760715;4;378;46;1.3587200332133331;30913;4445;29838;0.626021114739989;0.053726112743100365
12;66.65197939760715;4;366;38;1.2410494442853983;30379;4306;29315;0.5905839805230516;0.05079289719785686
13;66.65197939760715;4;358;44;1.3750621745424352;30351;4321;29264;0.6074331523473778;0.04885110318460396
14;66.65197939760715;4;384;28;0.9357641061055268;30837;4288;29764;0.5895420177268129;0.04897886298297739
15;66.65197939760715;4;370;30;1.077289590776988;30701;4215;29720;0.6054304423805194;0.05605360061802961
16;66.65197939760715;4;371;43;1.2129367128318347;29931;4211;28918;0.5879501111417978;0.04874918096846362
17;66.65197939760715;4;362;43;1.347523134232415;30092;4172;29039;0.6214575661434023;0.04968025676304861
18;66.65197939760715;3;360;37;1.149622552069686;30670;4324;29583;0.6331217928102539;0.04597355634730658
19;66.65197939760715;3;378;38;1.1451666811392924;29485;4327;28428;0.5937040656231212;0.04058119837536811
20;66.65197939760715;3;366;44;1.3652775280082223;29822;4317;28778;0.6062197806031309;0.04710300277262157
21;66.65197939760715;2;376;40;1.2123278179010186;29227;4213;28230;0.6105557651480038;0.04339049097240951
22;66.65197939760715;2;376;38;1.1397012855796986;29660;4369;28630;0.6092221866703159;0.04461313545047359
23;66.65197939760715;2;350;41;1.2033377619422576;29958;4372;28842;0.6202975863454624;0.04992082057838755
24;66.65197939760715;3;359;34;1.062514958501789;29747;4387;28589;0.6238172565969493;0.04474596674867117
25;66.65197939760715;2;372;35;0.986162095771001;30020;4513;28844;0.6163211605347964;0.042494242328393654
26;66.65197939760715;2;361;47;1.2960409314471688;29135;4313;28094;0.6056492997451608;0.04316000595161147
27;66.65197939760715;2;354;42;1.1601213193751427;28625;4259;27580;0.5966459316456598;0.03830238603104374
28;66.65197939760715;3;385;38;1.0701108043091143;28615;4244;27606;0.6300142880072577;0.052552513078180214
29;66.65197939760715;3;361;40;1.1926796148656642;28803;4138;27834;0.6077202476621744;0.05728130991728537
30;66.65197939760715;3;349;41;1.1779779571983229;29389;4338;28321;0.5926643717832287;0.04529457934196273
31;66.65197939760715;3;358;29;0.8883811816602106;29720;4483;28564;0.5976768612090401;0.04543897681553822
32;66.65197939760715;3;361;36;1.123927553456608;29619;4378;28496;0.5998796775738546;0.04501218801630676
33;66.65197939760715;3;385;36;1.115458761725109;29431;4426;28281;0.6213843169757718;0.04656825801073302
34;66.65197939760715;3;378;33;1.1577863398943067;29882;4481;28768;0.6055299471823662;0.050512833441437324
35;66.65197939760715;3;357;40;1.141908091675219;29644;4271;28605;0.6670725198059285;0.05499655571613025
36;66.65197939760715;3;370;33;1.0151884775760744;29452;4286;28420;0.5896282547168068;0.0471758441700041
37;63.984460612730715;3;361;35;1.1066426355537369;29601;4495;28487;0.5918322438761866;0.04645445421463841
38;63.984460612730715;3;372;39;1.2776128186386233;29503;4358;28441;0.5925406449540496;0.04878612120669922
39;63.984460612730715;3;358;40;1.199996835072762;28944;4233;27855;0.6315968930915992;0.05039738169290555
40;63.984460612730715;3;369;35;1.1132434156043796;29511;4319;28443;0.632272362846039;0.053255130098108734
41;63.984460612730715;3;379;39;1.291537618660004;29690;4342;28698;0.6176178817540442;0.04906144205364591
42;63.984460612730715;3;369;41;1.1016288552703337;30111;4248;29064;0.6261947838514105;0.05401886360006957
43;63.984460612730715;3;375;41;1.1705189839427523;30162;4394;29078;0.6002622320937961;0.0482917945253346
44;63.984460612730715;3;375;31;0.9718136703302125;30059;4184;29064;0.6064869628718257;0.04951117013518001
45;63.984460612730715;3;378;41;1.148681735571045;30331;4249;29270;0.6146488192373318;0.054915687451058695
46;63.984460612730715;3;357;33;1.053458202082142;30742;4197;29716;0.6173930986661689;0.05075657487503807
47;63.984460612730715;3;368;32;0.9691310412441994;30314;4139;29332;0.609056795591082;0.05457253624018127
48;63.984460612730715;3;344;33;0.9726134179626673;29086;4189;28083;0.5798367627869415;0.052011150472472914
49;63.984460612730715;3;359;32;1.080199519409758;29775;4207;28719;0.5959584553194818;0.04622161782861458
50;63.984460612730715;3;366;39;1.1911038927864572;29622;4289;28565;0.6133548249585996;0.04551459864752048
51;63.984460612730715;3;356;39;1.2339932670937623;29780;4413;28694;0.5965804585870438;0.04786220574428567
52;63.984460612730715;3;364;40;1.1352762204416553;29905;4447;28802;0.6000035439519127;0.0484870164493993
53;63.984460612730715;3;369;36;1.0110289750890198;30777;4519;29627;0.5895429401498251;0.049727639847865004
54;63.984460612730715;3;376;32;0.9849243136124471;31265;4446;30166;0.6210879442210819;0.04677334705048323
55;63.984460612730715;3;356;31;1.0257999038255015;31231;4460;30136;0.6035098586016644;0.046766206172330335
56;63.984460612730715;3;366;36;1.0341431593294685;31029;4361;29971;0.6139670395524186;0.04450313766465435
57;63.984460612730715;3;358;34;1.1928509460737002;31291;4380;30175;0.6350353785647729;0.04633294733169273
58;63.984460612730715;3;360;31;1.0118005770588983;31022;4375;29948;0.6054744740584402;0.04604712992679796
59;63.984460612730715;3;371;32;1.013582982722019;30605;4138;29609;0.608331826254479;0.05121986934495523
60;63.984460612730715;3;362;35;1.0424265782296207;30186;4169;29196;0.5999413389009799;0.045950374564921244
61;63.984460612730715;3;373;39;1.110239399858313;30294;4209;29276;0.6118297995580365;0.047649296529842726
62;63.984460612730715;3;358;31;0.8642350070287373;30581;4225;29576;0.5890839592879358;0.0453727739310823
63;63.984460612730715;3;363;41;1.1213749928472538;30171;4235;29213;0.598564027558428;0.05001823745860871
64;63.984460612730715;3;369;31;0.9407770038841264;30603;4177;29630;0.609070416903805;0.048256807284345046
65;63.984460612730715;3;353;40;1.1901434307000902;30561;4297;29507;0.6089874793191933;0.04926353024973911
66;63.984460612730715;3;370;32;0.8825551842140172;30665;4337;29596;0.6311994860350939;0.04738233398809051
67;63.984460612730715;4;372;34;0.9944072215217377;30992;4205;29981;0.5913747035571112;0.04965892218183952
68;63.984460612730715;3;373;37;0.9578127566299223;30746;4263;29644;0.6004599893688297;0.04385698654554853
69;63.984460612730715;3;365;44;1.238195093798016;31102;4278;30097;0.61577364955137;0.04160232082539325
70;63.984460612730715;3;373;36;1.1597133151849193;31342;4404;30269;0.606637766103559;0.04130245961052681
71;63.984460612730715;4;363;34;1.1571959340105675;30775;4414;29648;0.6344080649355233;0.045696879188573056
72;63.984460612730715;3;374;33;1.0482679470898697;30512;4411;29415;0.6134497408092177;0.042475589044590374
73;63.984460612730715;3;365;29;1.0548769075949045;30056;4285;29019;0.6171381477171285;0.04235063006645994
74;63.984460612730715;3;374;25;1.0206349140066564;29874;4340;28782;0.6047801644054639;0.042104610295680106
75;63.984460612730715;3;371;28;0.881057693497677;30038;4231;29028;0.6165628982329631;0.04556366203477264
76;63.984460612730715;3;363;39;1.1342342688882383;29473;4218;28482;0.6021808956385106;0.04347525910781775
77;63.984460612730715;3;362;34;1.0991984975034073;29293;4203;28318;0.6118099349084928;0.04185083123263544
78;63.984460612730715;3;372;38;1.0659516456011677;29142;4098;28189;0.6102199410084668;0.046937758176471556
79;63.984460612730715;3;363;41;1.1363004784003579;29489;4214;28402;0.6161084189784545;0.04389287564819601
80;63.984460612730715;3;374;33;1.0061558274835918;28725;4212;27707;0.605008850114475;0.04220140375095815
81;63.984460612730715;3;369;35;1.0994440418497695;29511;4320;28418;0.5890254492156449;0.04723268392473982
82;63.984460612730715;3;372;44;1.2959504333306968;29542;4414;28446;0.5891922174262022;0.04478680577965165
83;63.984460612730715;3;356;38;1.1187907033960307;30189;4462;29081;0.628332473072139;0.051522548702244146
84;63.984460612730715;3;373;37;1.0834195807898788;31381;4483;30262;0.6138668025263719;0.053727239726499926
85;63.984460612730715;2;359;32;1.0654508205505102;30766;4527;29633;0.6021513499860621;0.04301478610563338
86;63.984460612730715;2;369;31;1.006923878380595;30757;4309;29706;0.6283957912538172;0.04029288478050382
87;63.984460612730715;2;367;37;1.1293722641191772;30817;4388;29788;0.6204150151930463;0.04117239628292275
88;63.984460612730715;2;356;33;1.1594665502634485;30320;4389;29216;0.6169695061178289;0.03904004976844607
89;63.984460612730715;2;371;41;1.2989446598871797;29895;4271;28927;0.5966749904796884;0.045491360608355146
90;63.984460612730715;2;362;31;0.9818180766318981;29470;4161;28479;0.6054910929973039;0.03858258039570577
91;63.984460612730715;2;366;37;1.1111353530063341;29890;4308;28834;0.6321744828200755;0.040294911895099955
92;63.984460612730715;2;371;41;1.1630248264035097;29775;4319;28726;0.5869685043078849;0.03845312527184618
93;63.984460612730715;2;368;34;0.9557558888936077;29958;4285;28880;0.6326615585084692;0.03980197155555805
94;63.984460612730715;2;356;32;0.9797873266176258;29819;4413;28756;0.6151066380501947;0.03987307443303924
95;63.984460612730715;2;356;37;1.182839140228485;29403;4259;28381;0.5984929289231024;0.038222741905138434
96;63.984460612730715;2;367;46;1.3533724763619015;29726;4373;28617;0.5904219989455268;0.0382786964750831
97;63.984460612730715;2;367;39;1.0931288258327583;30247;4307;29202;0.5957728207068378;0.04346228575904058
98;63.984460612730715;2;376;32;0.9764348130316991;30823;4373;29757;0.6208445522470121;0.042904613452552275
99;63.984460612730715;2;385;32;1.130391241515591;30300;4342;29287;0.6330228287529747;0.04129665573098367
100;63.984460612730715;2;367;38;1.1907151267877272;30116;4281;29054;0.6135465288406374;0.045681758639542866
