gen;fitness;n_species;p_isomorphisms;unique_fitness;entropy;total_gen_markers;active_gen_markers;inactive_gen_markers;avg_delta;std_delta
0;111.79171730691645;489;240;18;0.4016595378735823;22504;2315;21388;0.17663163608940458;0.07925589356164342
1;107.14451140151905;320;234;13;0.33873941452775014;22338;2314;21283;0.7292697144939018;0.14905226142298006
2;81.83127389424872;161;228;18;0.4445106636796283;20309;2374;19226;0.7296997715916649;0.10966248333698407
3;81.83127389424872;77;235;16;0.5045372212025018;18006;2356;17045;0.7216038488095027;0.08934441202504356
4;81.83127389424872;57;241;20;0.5166962345341454;16797;2365;15872;0.7127003305734393;0.09018981912982876
5;81.83127389424872;34;242;22;0.6230168858200622;15543;2313;14682;0.693821249868023;0.09193173583401673
6;81.83127389424872;29;239;24;0.5439155154830192;14802;2341;13954;0.6845993995438264;0.09368431777352058
7;81.83127389424872;18;225;21;0.5440399210515281;14059;2253;13220;0.663363016802223;0.0901554440239462
8;81.83127389424872;19;229;19;0.5113861904700382;14143;2287;13311;0.6399571374259505;0.0974526726367616
9;81.83127389424872;11;240;25;0.6919373308055806;13961;2197;13175;0.6496996864652121;0.0778201882644731
10;70.75470146649954;11;215;24;0.7068198334915758;13596;2324;12759;0.6384499506128354;0.07436685479369559
11;69.0332706336797;12;236;27;0.6570598289354914;13583;2351;12761;0.6468860609904536;0.07061866061786722
12;69.0332706336797;9;215;20;0.5526875385138644;13506;2231;12725;0.6425620058545307;0.06920772024850519
13;69.0332706336797;10;220;22;0.549549696055855;13194;2208;12450;0.650331536500606;0.06117280661477996
14;69.0332706336797;5;212;24;0.6089839321183371;12961;2219;12183;0.6516258707357223;0.055651784212057444
15;69.0332706336797;6;215;21;0.5995740321103857;12702;2157;11994;0.6204329534930951;0.06190969057228535
16;69.0332706336797;7;225;20;0.5126125465742126;12712;2213;11960;0.6267034430317294;0.0660135403773249
17;61.223614889868394;7;213;22;0.6269046859378967;12535;2195;11766;0.6361979889855193;0.0631316168330495
18;61.223614889868394;6;223;23;0.6103938511788198;12538;2271;11749;0.6402081987460642;0.05590193236153458
19;61.223614889868394;5;211;24;0.6982952835602761;12631;2227;11843;0.6220005755827007;0.05700810546021208
20;61.223614889868394;5;227;19;0.61531561923975;12870;2239;12107;0.5953694272720945;0.055168256414998916
21;61.223614889868394;3;227;28;0.7000681461793733;12858;2251;12084;0.6215805573336779;0.0501059676692626
22;61.223614889868394;5;221;22;0.5803485798866606;12735;2135;12015;0.63602833882029;0.0561779790464012
23;61.223614889868394;6;220;23;0.6244144609422235;12585;2195;11853;0.6100888763196909;0.05736476877988173
24;61.223614889868394;3;215;29;0.7252583953893231;12497;2176;11779;0.6063570044275346;0.04738657834612409
25;52.89176534578232;4;227;21;0.6324144609422238;12600;2134;11892;0.6177967530518749;0.053152872984517006
26;52.89176534578232;4;243;19;0.627463687082044;12537;2095;11839;0.6387598536696633;0.05610342072266569
27;52.89176534578232;5;231;20;0.5301306841667616;12467;2097;11774;0.6446263970813059;0.05833022886900758
28;52.89176534578232;4;234;19;0.5261306841667616;12551;2147;11766;0.6074807705166078;0.04854647740683201
29;52.89176534578232;5;227;18;0.525549696055855;12737;2217;11948;0.6167250332035161;0.04661888602473831
30;52.89176534578232;3;235;25;0.6223938511788197;12281;2215;11484;0.6248952980193903;0.041399325655962146
31;52.89176534578232;5;232;22;0.6386509431689106;12212;2092;11533;0.6102924140662949;0.05587853654797196
