gen;fitness;n_species;p_isomorphisms;unique_fitness;entropy;total_gen_markers;active_gen_markers;inactive_gen_markers;avg_delta;std_delta
0;111.47664916528464;500;292;23;0.6660686661530877;77823;4396;76339;0.13880179282868524;0.00747719127419934
1;62.42441339567203;309;341;24;0.7756511831456862;71246;4951;69570;0.6501552429656184;0.21966291582177297
2;62.42441339567203;206;360;33;0.9843429953431936;59025;5035;57455;0.7126472517966466;0.12088479025914753
3;62.42441339567203;117;369;28;0.8769624999294644;49861;4996;48442;0.7096143102181921;0.09605551239653477
4;62.42441339567203;65;369;32;0.997774570312905;44355;5004;43012;0.7145436275744386;0.07290871259342864
5;62.42441339567203;30;371;39;1.136280483143572;39480;4818;38241;0.6245611300705038;0.12321218497082426
6;57.94579967726728;23;378;36;1.2219658445527304;36450;4588;35297;0.6463199598620066;0.10000461501145948
7;57.94579967726728;14;375;39;1.0970070771037765;34825;4682;33626;0.6419548254883943;0.07943014878665736
8;57.94579967726728;6;376;38;1.01902897508902;32947;4479;31844;0.6118600816333216;0.05409749228115298
9;57.94579967726728;3;379;34;1.0817554411345485;32397;4502;31274;0.6340686342781384;0.038009294568848204
10;57.94579967726728;7;367;33;1.2073536645505374;31609;4557;30479;0.6344640954549935;0.05643186318848691
11;57.94579967726728;3;370;49;1.562005075710614;30520;4696;29312;0.610622913060308;0.04217933199603713
12;57.94579967726728;3;371;39;1.2567637346376088;30082;4569;28943;0.6163616919336757;0.045624525634996915
13;57.94579967726728;2;363;39;1.2187480600739953;30498;4522;29364;0.6023078004717981;0.03623343663565461
14;56.89725303471058;2;365;44;1.4021493165910925;30860;4487;29764;0.6100010951916057;0.035609975607223655
15;56.89725303471058;2;358;48;1.347633783277803;30821;4571;29678;0.6080371560461748;0.04280662100332873
16;56.89725303471058;2;380;36;1.204589894696068;30011;4530;28921;0.6015434395000161;0.037402071353485146
17;56.89725303471058;3;365;48;1.5603509336952464;30573;4789;29338;0.6400541385065884;0.03957472059942171
18;56.89725303471058;2;383;46;1.410435513154582;30831;4835;29603;0.601905983547902;0.03782069148576767
19;56.89725303471058;2;362;38;1.2878072094402657;30698;4684;29535;0.6076943361297533;0.035032689252597525
20;56.89725303471058;2;379;51;1.5476760017542037;30649;4688;29544;0.6110746843925092;0.036659246593383064
21;56.89725303471058;2;374;48;1.5499554307080714;29874;4609;28788;0.6187056392803094;0.0355042514287911
22;56.89725303471058;2;389;53;1.4451153098553269;29991;4539;28962;0.6240651533232925;0.03973867582524704
23;56.89725303471058;2;394;52;1.545363155261357;30774;4553;29661;0.6266091374211387;0.04103994086391234
24;56.89725303471058;2;374;42;1.339770120584748;30578;4541;29484;0.5883437533126169;0.03624006768265681
25;56.89725303471058;2;366;42;1.3547399380151945;31118;4745;29944;0.604990841260672;0.037149368830115326
26;56.89725303471058;2;376;52;1.592695031646507;30808;4630;29631;0.5994176691600227;0.037205998652139846
27;56.89725303471058;2;358;48;1.4745704270829583;29795;4625;28619;0.5979036049511254;0.04089344839345806
28;56.89725303471058;3;368;39;1.2288555314288432;30253;4602;29148;0.5985217547922393;0.04678794479310774
29;56.89725303471058;2;375;44;1.3742367881724376;30724;4677;29546;0.6101576574485095;0.04138439082954862
30;56.89725303471058;2;383;53;1.4348165985879544;30401;4570;29237;0.606275192311166;0.03832336148034226
31;56.89725303471058;2;375;48;1.4602200056750976;30588;4399;29526;0.6127594407148859;0.03561083743449715
32;56.89725303471058;2;372;46;1.3718309430615103;30625;4590;29499;0.6064606916310615;0.036102890396904765
33;56.89725303471058;2;361;46;1.3266784594476928;30056;4426;29011;0.6141902450560554;0.03510768471750966
34;56.89725303471058;2;379;51;1.4416876977025215;30647;4650;29501;0.6278745434010323;0.04476011127598326
35;56.89725303471058;2;366;54;1.6612181436250597;30002;4529;28902;0.6184740863936765;0.03750469617111163
36;56.89725303471058;2;356;38;1.2051085369521448;30354;4554;29227;0.6030708820414541;0.035031150124930445
37;56.89725303471058;2;362;35;1.1974154411762639;29393;4385;28332;0.605380556060796;0.03806220614877275
38;56.89725303471058;2;357;43;1.3633343001992007;29809;4287;28745;0.5922520990877019;0.03910878730867905
39;56.89725303471058;2;362;40;1.275937170572221;30117;4368;29048;0.6056627262423004;0.03890975100234756
40;56.89725303471058;2;355;47;1.48722750613255;29464;4293;28435;0.5849181933059867;0.03894807294397837
41;56.89725303471058;2;367;41;1.2743904427188173;29719;4543;28636;0.6038678876322244;0.03714568010046189
42;56.89725303471058;3;373;50;1.519099752095939;30242;4529;29084;0.6279989294278275;0.03854163804763132
43;56.89725303471058;2;370;38;1.1921429339286134;29541;4392;28470;0.622353140010541;0.036589379459977964
44;56.89725303471058;2;352;52;1.5858422111659392;29711;4470;28654;0.6213986857857269;0.04062250324009157
45;56.89725303471058;2;358;42;1.2173500501211827;29962;4454;28911;0.6027291762698215;0.039220764228989145
46;56.89725303471058;2;357;36;1.1049217919920895;29516;4411;28434;0.5995038952783932;0.0350339237341233
