gen;fitness;n_species;p_isomorphisms;unique_fitness;entropy;total_gen_markers;active_gen_markers;inactive_gen_markers;avg_delta;std_delta
0;96.69323993524611;497;207;15;0.39256250753801986;22492;2211;21501;0.1668107558813323;0.04475755489198145
1;96.69323993524611;325;220;15;0.39533615143384543;22192;2320;21100;0.7482510724377587;0.1524558733238692
2;82.06400961522591;238;224;20;0.5191864595298186;20170;2266;19206;0.7490982031238068;0.11556008253440961
3;82.06400961522591;145;238;16;0.44815120470694497;18053;2311;17123;0.7452012580099197;0.08830530508218201
4;82.06400961522591;110;228;17;0.4890168537490098;16517;2267;15647;0.7344067026544099;0.09881742631259081
5;82.06400961522591;77;232;21;0.5455496960558549;15032;2302;14186;0.7258350286033561;0.09742946568085768
6;82.06400961522591;53;239;22;0.6828198334915756;14527;2227;13741;0.7187524433012819;0.09239255833758461
7;82.06400961522591;46;244;19;0.4666984930440511;14365;2330;13517;0.7048248582405632;0.10127081118091227
8;82.06400961522591;34;250;21;0.5879036261831466;13784;2158;13053;0.6867172369615782;0.10106649151397877
9;82.06400961522591;31;249;17;0.39765953787358227;13842;2185;13093;0.6876275562543649;0.10096851740512545
10;82.06400961522591;36;249;22;0.6201970667516281;13747;2200;12954;0.6337292870328189;0.12542386342397932
11;82.06400961522591;29;243;20;0.58480038821456;13424;2175;12678;0.6894509663014259;0.09941237778876282
12;82.06400961522591;26;227;24;0.7138441585819109;13041;2079;12343;0.6649982512836303;0.10399510828769618
13;54.3217263778861;21;228;28;0.74531483356893;13070;2083;12368;0.6711437370039715;0.09121840307541954
14;54.3217263778861;23;230;24;0.689110327547029;13170;2161;12444;0.6720231548243903;0.09487315327162292
15;54.3217263778861;20;226;18;0.49072635969355655;12809;2116;12081;0.6590761424764543;0.09484931765526176
16;54.3217263778861;20;212;23;0.5911907382138575;12352;1973;11702;0.6607372765037594;0.09168430299870847
17;54.3217263778861;14;213;28;0.7315488894447765;12429;1944;11792;0.6332763063810426;0.08624795007640809
18;54.3217263778861;14;234;27;0.7371151026287099;12284;2009;11619;0.6389794084074334;0.08667393968223419
19;54.3217263778861;12;228;20;0.604197066751628;12382;2070;11673;0.6691990163175702;0.07602215843033919
20;54.3217263778861;18;220;20;0.6171435168954242;12515;2076;11818;0.6601607259315351;0.08854787976464717
21;54.3217263778861;16;221;22;0.5976131321276933;12134;2030;11462;0.6460292342997372;0.08583926222052171
22;54.3217263778861;12;225;18;0.5200399210515281;12125;2007;11451;0.6539364334875865;0.07104609772837871
23;54.3217263778861;13;230;14;0.4997565021513755;11636;1936;11042;0.6632513118189467;0.08029155337664763
24;54.3217263778861;10;231;25;0.6548530228399708;11788;1925;11238;0.667302897897842;0.0662170717207209
25;54.3217263778861;9;210;20;0.5666390739421138;11829;1833;11239;0.6393540876016021;0.07349460334799364
26;54.3217263778861;19;223;25;0.803137016873182;12079;1976;11389;0.6594466989658014;0.08839607448955604
27;54.3217263778861;11;226;26;0.655833472831317;12026;1909;11408;0.6550116394552479;0.06755715410446592
28;54.3217263778861;10;232;19;0.5635740321103856;12009;1974;11318;0.6512501372258266;0.06755234383501602
29;54.3217263778861;14;237;30;0.7839773443952307;12319;2014;11632;0.6781320489068092;0.07224356090865346
30;54.3217263778861;13;235;25;0.687853642845648;12183;1997;11531;0.6205478389285801;0.07950485853792846
31;54.3217263778861;13;224;22;0.5771292989377869;12422;1993;11746;0.6607429123813131;0.07727522426190264
32;54.3217263778861;16;223;25;0.7152192953720151;12594;2144;11861;0.6335650826913518;0.08531711376696938
33;54.3217263778861;16;221;34;0.8973750032824512;12560;2162;11801;0.6527253750908593;0.0864786361946453
34;54.3217263778861;18;223;25;0.6863586402348264;12309;2043;11624;0.6348153995974047;0.09144465106361477
35;54.3217263778861;13;209;28;0.7410314146687773;12321;2112;11600;0.6352572262827509;0.08097739867362867
