gen;fitness;n_species;p_isomorphisms;unique_fitness;entropy;total_gen_markers;active_gen_markers;inactive_gen_markers;avg_delta;std_delta
0;1.3952090621482653;1024;389;6;1.0548076907832185;53852;21482;38173;0.8341842756127062;0.019866815377650105
1;1.3952090621482653;864;460;5;0.970815618607405;54997;22442;38393;0.8232712278913953;0.02297449486808048
2;1.3952090621482653;814;549;4;0.8375035591913876;55013;22611;38050;0.8022332431230568;0.02582406063703978
3;1.3952090621482653;746;595;5;0.8910820564808455;55158;22405;38326;0.7827884437682964;0.027714339966055032
4;1.3952090621482653;685;615;6;0.8206795183622185;55475;22064;38771;0.7655365208553933;0.028701213692073
5;1.3952090621482653;650;606;5;0.7313473197700515;55944;21933;39231;0.7509166442112529;0.028918751772955192
6;1.3952090621482653;596;599;5;0.7173911134912441;56489;21642;39836;0.7397577484133273;0.02933089168372516
7;1.3952090621482653;533;625;6;0.7695613029184847;57240;21776;40358;0.7319569518769309;0.028857011725392952
8;1.3952090621482653;476;630;5;0.7769502717555833;57577;21628;40720;0.7261805353243151;0.02828993984274306
9;1.3952090621482653;434;608;5;0.7555894915577352;57850;21903;40697;0.7219514031081651;0.027967933436953665
10;1.4012200308007063;401;616;6;0.7573032751979525;57991;21884;40857;0.7198042317554002;0.027304802745085937
11;1.4012200308007063;406;609;5;0.8082670862820447;58082;21576;41230;0.7165843926022611;0.02640616963614592
12;1.4012200308007063;369;618;6;0.7209052805004345;58639;21585;41716;0.7149863126463782;0.02641068306482025
13;1.4012200308007063;374;627;6;0.7503172372960534;58707;21567;41767;0.7139052380467158;0.025943169733257207
14;1.4012200308007063;364;617;5;0.7521950090103062;58703;21563;41766;0.7124727795995226;0.02569647746915129
15;1.4012200308007063;341;607;4;0.7561388720483083;58752;21559;41842;0.7117272819209168;0.02525074443140172
16;1.4012200308007063;357;636;5;0.7862651526068698;58564;21321;41904;0.708513364413485;0.02469284794771627
17;1.4012200308007063;302;608;5;0.7367372195098918;58581;21312;41878;0.7100959938470072;0.026538625161571797
18;1.4012200308007063;312;607;5;0.6902549323905752;58778;21551;41929;0.7103315356437243;0.0253778005373489
19;1.4012200308007063;342;624;6;0.7064130952455487;58802;21485;41870;0.7089564872098583;0.024546399219188844
20;1.4012200308007063;291;635;5;0.6969044911103577;58585;21406;41751;0.7110905568383337;0.026141066732505883
21;1.4012200308007063;309;616;7;0.6912515994815764;58600;21499;41720;0.7095970290200351;0.02541970323796202
22;1.4012200308007063;311;600;5;0.7319459914976592;59124;21728;41934;0.7091916757354372;0.02591004201764876
23;1.4012200308007063;317;615;5;0.7288209526648763;59159;21603;42165;0.7080715481003533;0.025691050831308324
24;1.4012200308007063;336;640;5;0.8216295384581584;59115;21607;42018;0.7081997332364587;0.02498542679865893
25;1.4012200308007063;319;619;4;0.7619659222225555;58990;21689;41883;0.7093535777688228;0.02500230732561035
26;1.4012200308007063;305;596;6;0.7895474779656158;58842;21632;41827;0.7078876242568298;0.025526404618327624
27;1.4012200308007063;335;607;6;0.7649140065832565;59065;21569;42130;0.7081899225458853;0.024566619776610624
28;1.4012200308007063;302;623;6;0.7214981713902103;59146;21652;42054;0.708174722285006;0.025611875664529403
29;1.4012200308007063;338;630;5;0.6915810943933446;59329;21918;42077;0.7095585401531458;0.024786236494704624
30;1.4012200308007063;290;636;5;0.7574187615946606;59297;21710;42213;0.7111807780292424;0.026756397068485323
31;1.4012200308007063;348;617;5;0.6468302954075238;59323;21753;42209;0.7100215805851128;0.024670742956583742
32;1.4012200308007063;872;486;6;0.9604759289931337;54614;22278;38182;0.8013096853401689;0.027636716066897018
33;1.4012200308007063;791;563;5;0.9040770143816137;54772;22117;38302;0.7999047017270694;0.02588186739972956
34;1.4012200308007063;715;604;5;0.8659484048477074;54695;21790;38348;0.781796923096379;0.027866583816261923
35;1.4012200308007063;682;610;5;0.7902419708716931;54976;21276;38939;0.7635932380367183;0.028553960411423794
36;1.4012200308007063;613;650;5;0.725254766485407;55537;21181;39385;0.7491127425404909;0.028773903508224192
37;1.4012200308007063;563;629;6;0.7302290109447627;56240;21143;39893;0.737460914851853;0.02877651613185983
