gen;fitness;n_species;p_isomorphisms;unique_fitness;entropy;total_gen_markers;active_gen_markers;inactive_gen_markers;avg_delta;std_delta
0;0.65234375;13;126;35;3.8758638695870955;17626;1239;16806;0.7070495189553591;0.02946519778278818
1;0.65625;8;121;40;4.022409955565712;15154;1084;14485;0.6815398708747773;0.040661989905798994
2;0.65625;7;119;35;3.642556275023062;14118;984;13521;0.6531824276013081;0.06347385488659553
3;0.65625;6;97;31;3.6561681880175247;13048;862;12526;0.6272124823909516;0.05655572137727965
4;0.65625;6;110;31;3.5816818052335337;12925;962;12326;0.6237548851121594;0.07275340242564987
5;0.65625;4;115;35;3.5987195363793987;12487;877;11966;0.5818248420504935;0.07144513343266393
6;0.65625;3;98;28;3.6148988967644917;12124;778;11688;0.5924198176982026;0.06537727175502009
7;0.71875;3;97;31;3.560066759843467;12958;744;12549;0.5866452699695781;0.05699829381267617
8;0.71875;2;100;30;3.5804289454073017;13258;730;12842;0.6092556384600252;0.0386058092454467
9;0.71875;1;105;28;3.7031994642693085;13989;726;13596;0.5872961565160066;0.041702725725073
10;0.71875;1;82;27;3.849200675253747;14056;604;13735;0.5733932192405509;0.04183259832331308
11;0.71875;1;79;28;4.070526278839189;14354;597;13987;0.6100224098346466;0.025042963205491858
12;0.71875;1;70;33;4.259532527293666;14617;576;14261;0.4969300923068942;0.039925857260597004
13;0.71875;1;72;29;4.139674180849788;14238;519;13931;0.4815519730508234;0.035274694173736555
14;0.71875;1;64;32;4.2532594052357435;13924;502;13631;0.4922523249088267;0.05004931919111523
15;0.71875;1;61;31;4.128564794069838;13397;474;13106;0.5187413345965696;0.04077191514321202
16;0.71875;1;52;24;3.905146396332631;12515;412;12260;0.5143874309595401;0.029428649573197328
17;0.71875;1;63;29;4.01525952758028;12002;418;11740;0.5155748233909451;0.03165682207763081
18;0.71875;1;70;32;4.1248493143820735;11633;443;11372;0.5221985626861385;0.03293530536570161
19;0.71875;1;55;24;3.943049270604401;10879;408;10635;0.538291696176451;0.031676956228783415
20;0.71875;1;62;29;4.016368804795797;10347;435;10064;0.5238275858301102;0.03361530173219491
21;0.71875;1;62;25;3.985166204931008;9696;455;9432;0.545023410918786;0.035298778329717236
22;0.71875;1;58;27;3.889515041929747;9222;415;8965;0.5230065285694332;0.0427571375319121
23;0.71875;1;63;30;3.889605392301853;9299;420;9061;0.5093276107796125;0.033763710866278586
24;0.71875;1;59;29;3.9801346456332416;8984;421;8739;0.5104862961240846;0.02767809759639478
25;0.71875;1;60;28;3.995676969142812;8806;421;8574;0.5041977542957727;0.04585703692130248
26;0.71875;1;54;24;3.9045086166098883;8837;387;8603;0.5402248954409516;0.03790310612087677
27;0.71875;1;62;28;4.0156035346005385;8758;448;8512;0.5352490426176363;0.032386106721865274
28;0.71875;1;60;28;4.043746357923686;8769;419;8523;0.5144848315870626;0.036446949695268425
29;0.71875;1;64;27;4.034871079828816;8602;403;8367;0.5164497836486469;0.029014629071508716
30;0.71875;1;56;29;3.9422549128175834;8427;408;8188;0.526856541004958;0.04819495136338198
31;0.71875;1;59;29;3.949370156512708;8823;429;8572;0.508325075588427;0.05218326414052527
32;0.71875;1;63;25;3.9132132655594094;8938;408;8676;0.5280052886132831;0.04210600284641604
33;0.71875;1;66;25;4.002877285106266;8970;411;8727;0.5292932376518449;0.03765761657512663
34;0.71875;1;53;29;4.058304954173327;9243;423;8987;0.5068009692938011;0.031717478294241985
35;0.71875;1;57;30;4.026110455320735;9268;374;9046;0.5256638985589888;0.03082002209951348
36;0.71875;1;61;27;3.9420577897416367;8762;408;8513;0.504109178848002;0.051230509533807825
37;0.71875;1;60;27;3.8768411056205148;8931;393;8710;0.5230282555642585;0.040334416865991
38;0.71875;1;59;29;3.8494166036198085;9030;422;8783;0.5580704326283935;0.03875010548767699
39;0.71875;1;60;29;3.9875885984322825;8957;375;8739;0.5214560882829539;0.03959832442725639
40;0.71875;1;62;24;3.829664296335234;8755;402;8535;0.4982812372110935;0.03988603446639008
41;0.71875;1;57;30;3.9341930639659752;8726;356;8535;0.5134233556392868;0.04263379834550249
42;0.71875;1;62;28;3.894345267886435;8528;397;8306;0.5344553910422793;0.02795269746684126
43;0.71875;1;57;27;3.9648189406018575;8512;397;8281;0.5609845571931009;0.026709072713912114
44;0.71875;1;58;24;3.8483627698025336;8814;368;8616;0.5346108458732458;0.0436900950237164
45;0.71875;1;51;26;3.9750557606103443;8834;371;8624;0.5399585618598937;0.04141659733591096
46;0.71875;1;62;26;3.787456106760953;8578;376;8345;0.527360100271417;0.04616336109539713
47;0.71875;1;63;27;3.892147997676617;8527;398;8276;0.5301042390650716;0.032159834425198534
48;0.71875;1;60;24;3.796200862548103;8524;382;8297;0.5339569722000094;0.03636879588647507
49;0.71875;1;57;28;3.8223431124229745;8689;397;8465;0.532928662595965;0.03173759437035559
50;0.71875;1;57;26;3.914175228043156;8398;385;8176;0.5203573604631593;0.05293200432375733
51;0.71875;1;56;27;3.8694679859739955;8323;374;8117;0.5323698014175129;0.030979308292956087
52;0.71875;1;63;27;3.899580260381714;8652;404;8411;0.4974678750420971;0.039560597070971294
53;0.71875;1;60;26;3.835308081328985;8463;397;8228;0.5156583129306931;0.035675408974858186
54;0.71875;1;51;30;3.89744639779768;8536;376;8324;0.5177905422400766;0.030722911528181556
55;0.71875;1;60;28;4.001562555190505;8476;411;8261;0.5071499498748195;0.03752055825166745
56;0.71875;1;50;27;4.044084911331404;8583;398;8346;0.5162282884392678;0.03596397548315559
57;0.71875;1;51;25;3.9175091469112098;8369;370;8171;0.5613925881370552;0.042707976991677964
58;0.71875;1;63;30;4.024159180598877;8444;397;8227;0.5316095030775725;0.038970921897720286
59;0.71875;5;110;37;3.6980623773717443;14950;919;14386;0.6303346073806669;0.05096203760011642
60;0.71875;6;101;31;3.5247939659276795;13513;792;13057;0.6633029569579902;0.056481429672282826
61;0.71875;4;88;29;3.4895677915067695;12414;611;12099;0.6498166465015884;0.08019104698808954
62;0.71875;5;99;30;3.5456359149485928;13182;722;12786;0.6698523330912299;0.05968078637104105
63;0.71875;3;87;29;3.5761194786394195;12771;711;12391;0.5877118215482314;0.07071902707437344
64;0.71875;4;89;24;3.4214886688922164;12716;670;12355;0.5761627369127691;0.07573088100488462
65;0.71875;2;89;27;3.5701582936221405;12538;664;12190;0.5993343766675839;0.08149348370803967
66;0.71875;2;95;26;3.5227382749222156;12068;652;11712;0.594569446813356;0.061857556794701396
67;0.71875;1;99;29;3.585422104053713;12146;699;11769;0.5533852798555283;0.06119485472414817
68;0.71875;2;92;28;3.8047932615954303;11770;660;11387;0.5828697070314699;0.09776421797576411
69;0.71875;2;88;29;3.6218720234656807;11242;611;10893;0.5299076659814663;0.058632614792949796
70;0.71875;2;84;23;3.6147062085576005;10930;611;10600;0.5265417074386358;0.048170410953392744
71;0.71875;2;85;26;3.60085824745932;10506;611;10177;0.48121328267337615;0.09423964884575309
72;0.71875;2;83;33;3.9860786898613663;10141;555;9816;0.5975001705523013;0.033474841577677925
73;0.71875;1;70;27;3.69559192309737;9921;519;9630;0.510299130372126;0.05585625323281506
74;0.71875;1;58;28;3.9724582586105446;9867;466;9589;0.5329054561609239;0.02750115394325083
75;0.71875;1;72;30;4.154471660154783;10165;496;9878;0.46251329391637985;0.05348824477015966
76;0.71875;1;63;27;4.059738208973579;10569;437;10319;0.4834487157862398;0.03678449822786428
77;0.71875;1;58;26;4.011035873188446;10333;420;10075;0.49063301752490385;0.04531986460418728
78;0.71875;1;56;25;3.910724224754301;10149;402;9920;0.5477148965563792;0.03580604596800305
79;0.71875;1;58;27;3.8941669975943847;9817;418;9606;0.5004017739413652;0.038824076565087566
80;0.71875;1;62;30;4.0036910968953086;9514;393;9283;0.5160183344372801;0.03648945776154918
81;0.71875;1;67;23;3.8890371752516666;9240;384;9025;0.49374186021241223;0.031968946586886
82;0.71875;1;53;27;4.034978519938534;9136;407;8911;0.5161720357475226;0.033677248241124
