gen;fitness;n_species;p_isomorphisms;unique_fitness;entropy;total_gen_markers;active_gen_markers;inactive_gen_markers;avg_delta;std_delta
0;0.53125;5;93;3;0.41040485316215003;21299;1881;19899;0.6894071697939493;0.025643517201568343
1;0.53125;4;91;3;0.39908377963504504;19658;1591;18517;0.6728904892458298;0.024667552669723748
2;0.53125;2;105;3;0.41860745265476673;17010;1700;15813;0.6153421081242927;0.04425568333472964
3;0.5625;1;111;4;0.48469042582204813;14708;1710;13589;0.6086103806079047;0.05063723425525981
4;0.5625;2;111;4;0.33508075842145313;13897;1764;12801;0.5764150160447052;0.07427679810993355
5;0.5625;2;111;4;0.24120966620944584;11831;1722;10792;0.5738098718752642;0.0650812183175922
6;0.5625;2;111;4;0.21859187076190564;10563;1652;9626;0.509856837072785;0.04712139231356171
7;0.5625;2;104;4;0.4152623321744055;11092;1633;10159;0.5057248934746016;0.045946750472333264
8;0.5625;1;110;4;0.4907909865062312;11278;1724;10298;0.5353514266499939;0.04996315337693647
9;0.5625;1;110;4;0.45509393484269;11419;1612;10476;0.5245049881233081;0.0411162198979638
10;0.5625;2;101;4;0.35550561208966874;11593;1575;10661;0.5183657756706237;0.056024631431466014
11;0.5625;2;101;5;0.5317252195660889;11045;1564;10123;0.4950822905332043;0.0401159057447728
12;0.5625;1;108;4;0.47323659789937095;10862;1549;9995;0.5201287263362075;0.03988758029756055
13;0.5625;1;102;4;0.4999648753562186;11263;1528;10391;0.5378054401020912;0.04775125433938465
14;0.5625;1;104;4;0.5389229561529638;10938;1505;10089;0.49564753679957313;0.04457441585205997
15;0.5625;1;92;4;0.44985745265476673;11424;1606;10509;0.5194801609233248;0.04126815479362849
16;0.5625;1;100;5;0.49376633535007325;11747;1606;10838;0.49963750041698585;0.03607244416618333
17;0.5625;1;104;5;0.49827818243726113;11135;1557;10261;0.5144199428962886;0.03713109113516463
18;0.5625;1;101;4;0.3425031589288364;11247;1561;10375;0.5315720270635191;0.06892225913730393
19;0.5625;1;105;6;0.5737482502726854;11057;1644;10161;0.5051894345993818;0.03754502329361374
20;0.5625;1;103;5;0.5030626604907762;10960;1551;10126;0.5252875680974138;0.04317778050751768
21;0.5625;1;94;4;0.6101475353933853;11939;1605;11032;0.5194877249548163;0.05197110161469335
22;0.5625;1;97;5;0.5629869709673593;11783;1582;10894;0.5314804640150126;0.032801505009622665
23;0.5625;1;103;4;0.4934716796633002;10856;1531;10062;0.5030622650712111;0.03517643442689333
24;0.5625;1;108;5;0.5655122375318208;10507;1452;9751;0.5316031104739296;0.034056926044754444
25;0.5625;1;103;4;0.42602361147973156;10658;1530;9868;0.4867019663407227;0.03227536087314545
26;0.5625;1;98;4;0.43392629736373245;10473;1517;9667;0.548541684687842;0.04711144676924183
27;0.5625;1;105;4;0.2911398094223054;10240;1437;9492;0.46399402884293584;0.0371162556716617
28;0.5625;1;94;4;0.43600469179982415;10289;1492;9500;0.5007663376096163;0.02789002379561799
29;0.5625;1;103;5;0.6422344606965064;10369;1502;9573;0.5089926445917605;0.050801089950683095
30;0.5625;1;112;4;0.5626138162319984;11038;1557;10176;0.48491973411588835;0.03529854392109459
31;0.5625;1;98;4;0.5827781575787728;11494;1596;10596;0.49679632953852637;0.04319422509614906
32;0.5625;1;110;4;0.4934716796633002;11382;1544;10511;0.47924508732105686;0.0327454805690057
33;0.5625;1;104;4;0.33508075842145313;11329;1537;10453;0.5167188741440243;0.03409586545104679
34;0.5625;1;97;4;0.4135713066008418;11736;1497;10872;0.48781251859932906;0.03659477975444554
35;0.5625;1;99;4;0.43486994939570967;11284;1593;10371;0.539059376622683;0.038849334366397065
36;0.5625;1;98;5;0.5613494731812213;11444;1608;10532;0.533619792144943;0.04958385413682064
37;0.5625;1;98;5;0.35994219583004794;11302;1548;10446;0.5040520719474079;0.03462597328541508
38;0.5625;1;90;4;0.29600353011697933;10597;1526;9773;0.5089003805352229;0.03617338602761194
39;0.5625;1;93;4;0.3683452858310865;10791;1483;9977;0.5265467136566344;0.029214697354574916
40;0.5625;1;99;4;0.5579096898951421;11222;1531;10380;0.4844029068769679;0.034734772738268506
41;0.5625;1;96;4;0.6143845503682136;11905;1590;11019;0.5111534547098203;0.04879650193506651
42;0.5625;1;105;4;0.579789684659075;12450;1601;11543;0.47971223730076695;0.03560235564464058
43;0.5625;1;107;4;0.4946064220674147;12004;1546;11167;0.4979864040623839;0.02840729185677754
44;0.5625;1;104;4;0.5518593968418817;11599;1523;10712;0.5056449333166035;0.06714690015333519
45;0.5625;1;101;4;0.5137321518875837;11259;1517;10380;0.47398673431959204;0.039505663154067595
46;0.5625;1;109;4;0.5144384388695526;11257;1557;10399;0.5065439638099674;0.04110946635108648
47;0.5625;1;104;4;0.39224927980732227;11192;1553;10324;0.513377000667962;0.04346508437524019
48;0.5625;1;102;4;0.3683452858310865;10986;1631;10087;0.5098683381850244;0.052780661951003074
49;0.5625;1;99;4;0.5725442596948772;10996;1548;10135;0.5181249877194438;0.02984404137202966
50;0.5625;1;92;4;0.4584765002080561;11146;1474;10288;0.4789940913446824;0.041038889675258004
51;0.5625;1;103;4;0.6078780505851563;11398;1528;10541;0.5172763676470209;0.03082359340014127
52;0.5625;1;104;5;0.6290272037857433;11027;1472;10227;0.527930110223792;0.055200731332476674
53;0.5625;1;101;4;0.5173246696162712;11366;1424;10635;0.49216035801942837;0.0682407487696305
54;0.5625;1;99;4;0.4310400666170139;12067;1582;11138;0.5377082267529678;0.032063933097899136
55;0.5625;1;101;5;0.4875169031319351;19618;2085;18127;0.6056472314216026;0.037510979136045695
56;0.5625;2;106;4;0.4537601833180961;17361;1798;16128;0.6245204414173375;0.03641767705348609
57;0.5625;2;102;4;0.33508075842145313;15295;1868;14109;0.5999928666423034;0.05551373157446537
58;0.5625;1;113;4;0.39460742780289904;13075;1737;12010;0.5584692465687734;0.047151487699743755
59;0.5625;1;105;4;0.27009239579745237;11929;1663;10965;0.5191888415328583;0.04267365359039484
60;0.5625;1;105;4;0.29600353011697933;10858;1579;9987;0.5052222689984369;0.041546609304708944
61;0.5625;1;106;4;0.4711992202193076;11215;1524;10365;0.5283935746122524;0.051557779765726806
62;0.5625;1;96;4;0.3683452858310865;10675;1443;9903;0.562580533995507;0.02872793150323613
63;0.5625;1;103;4;0.2993424089149221;10818;1462;10024;0.5085203980357373;0.041169202917873696
64;0.5625;1;102;4;0.42602361147973156;11088;1533;10239;0.5280316101867999;0.04531670696512968
65;0.5625;1;106;4;0.4563362011301728;10719;1495;9900;0.5355786662487435;0.05473378791499145
66;0.5625;1;95;4;0.43486994939570967;10855;1513;10040;0.5103596624672344;0.029971538311836975
67;0.5625;1;97;4;0.3330023639853614;11821;1564;10950;0.5028410149599519;0.03537791849095888
68;0.5625;1;104;4;0.4226847326817888;11953;1547;11058;0.4764868679801357;0.04256524005491038
69;0.5625;1;98;4;0.4680237944681087;11837;1529;11012;0.5641755300974161;0.04216278128741173
70;0.5625;1;103;4;0.5173246696162712;12512;1493;11678;0.49275040196721;0.06639946351121734
71;0.5625;1;98;5;0.5748960787451296;12668;1521;11807;0.4790382399489127;0.04787625371742662
72;0.5625;1;102;4;0.5302558156380515;13449;1493;12570;0.4957846193696137;0.034076848607386835
73;0.5625;1;99;5;0.4916879409139816;13189;1502;12317;0.4826373895476533;0.03179635710201875
74;0.5625;1;84;4;0.4755093883746211;12996;1470;12166;0.5282275322744547;0.04280150082724641
75;0.5625;1;94;4;0.2685675539007212;13560;1461;12715;0.5152646009230003;0.03742754830005535
76;0.5625;1;103;4;0.43392629736373245;13740;1375;12960;0.47088572550326746;0.04142476931424067
77;0.5625;1;101;4;0.40718274400943666;13260;1347;12464;0.47372886748876986;0.033575602692316034
78;0.5625;1;94;4;0.494985802955896;13422;1427;12589;0.5102630331648054;0.0299074922850569
79;0.5625;1;95;4;0.49787203370261457;13621;1459;12803;0.4841570205275729;0.03472507521122142
80;0.5625;1;104;4;0.551412079428552;13152;1429;12361;0.48486438035365764;0.03291607040302836
81;0.5625;1;96;4;0.41149291216475015;14034;1427;13193;0.4871078206317044;0.02775192526918693
82;0.5625;1;96;4;0.4722437767394212;13944;1384;13166;0.4721998302319519;0.03289581289490707
83;0.5625;1;89;4;0.5637485586361128;13531;1351;12759;0.5207759569539772;0.03388699396773259
84;0.5625;1;95;4;0.6275571056815352;14056;1344;13257;0.4920734442502104;0.06528230685338691
85;0.5625;1;85;4;0.6485919092483945;14174;1422;13342;0.5455205883584002;0.026787405739523876
86;0.5625;1;95;5;0.6309254510925396;14415;1433;13576;0.5149389906054873;0.06255369805838973
87;0.5625;1;95;5;0.4063494379105911;14234;1503;13350;0.47532087939497003;0.04456389864193161
88;0.5625;1;97;5;0.45123959230720745;13986;1536;13097;0.49823205990062414;0.04188090608655072
89;0.5625;1;100;4;0.5786549422549605;14229;1480;13360;0.48290975414965326;0.03757511458235132
90;0.5625;1;94;4;0.5158105463236754;13562;1449;12689;0.49550117397034654;0.03230965072899104
91;0.5625;1;93;4;0.5115905640523629;13749;1424;12924;0.5303310410762385;0.05284741256583781
92;0.5625;1;94;4;0.5663031009081859;13961;1459;13101;0.4755057099163041;0.08045297325105073
93;0.5625;1;102;4;0.5663031009081859;14154;1528;13191;0.48468538869292216;0.053748935268357674
94;0.5625;1;98;5;0.5724383034205567;14274;1536;13356;0.5123870014166159;0.05094270978829693
95;0.5625;1;103;4;0.5716006076629;13453;1457;12574;0.5033259977642551;0.03182496925084225
96;0.5625;1;89;4;0.5331609083759541;13619;1489;12723;0.48166424592706525;0.03607566299747277
97;0.5625;1;105;5;0.5087065801706835;13891;1488;12971;0.5202242534355142;0.03780911224858646
98;0.5625;1;107;4;0.6428814480568281;13995;1523;13058;0.519349322408261;0.03308208747055137
99;0.5625;1;104;4;0.5512319322992567;13936;1494;13030;0.46830739429905155;0.035560604837678145
100;0.5625;1;100;4;0.5339055512874519;14324;1537;13364;0.48921638147522595;0.04332622686601987
101;0.5625;1;95;4;0.6490285080575888;14222;1597;13252;0.47454203593826155;0.038196343452075524
102;0.5625;1;91;5;0.6516685695407378;14183;1604;13165;0.4999369245418998;0.04145302506052976
103;0.5625;1;90;4;0.5827781575787728;14411;1495;13464;0.47696990772303227;0.04312983082673205
104;0.5625;1;93;4;0.45344997038345425;14060;1524;13095;0.5074529809904355;0.05495178387731514
105;0.5625;1;94;4;0.5158105463236754;13890;1540;12946;0.508256603639667;0.04065345075656196
106;0.5625;3;102;4;0.3574831020376241;19182;2106;17675;0.6374450165470997;0.04024809257896113
107;0.5625;3;105;4;0.47470155206399417;16461;1930;15153;0.6426320977185155;0.03473693820191533
108;0.5625;4;112;4;0.32189175572502526;14712;1783;13591;0.6636560715572845;0.047011610435588116
109;0.5625;2;106;5;0.41121315860526503;13150;1558;12195;0.6156286194134127;0.06580926706170866
110;0.5625;2;105;4;0.4251425080063618;12497;1476;11642;0.5589875537154202;0.05986498312551617
111;0.5625;2;100;4;0.49498580295589595;12535;1435;11728;0.5587961945331379;0.05143529559143205
112;0.5625;2;101;4;0.5144384388695526;13030;1476;12187;0.5409263222298023;0.08245502187956934
113;0.5625;2;107;5;0.48491999743409514;12597;1455;11767;0.5363442137694694;0.05069956463107124
114;0.5625;2;106;4;0.551412079428552;13446;1497;12581;0.5443021623593243;0.05258905742022114
115;0.5625;2;106;5;0.6290272037857433;13900;1477;13056;0.59452913571845;0.1038186444447686
116;0.5625;2;106;5;0.5087065801706835;14699;1448;13846;0.5104974966890481;0.07036150755709945
117;0.5625;2;105;4;0.45727985316215003;14588;1460;13729;0.533265947917408;0.05142590237213406
118;0.5625;2;102;4;0.4563362011301728;13907;1404;13110;0.5035184539382641;0.036837425359394126
119;0.5625;2;83;5;0.35851825842145313;13781;1402;12979;0.5208273487147558;0.05761385627041685
120;0.5625;1;94;4;0.5275169886960467;13977;1329;13221;0.5555664698066858;0.04123169928468783
121;0.5625;1;100;5;0.6709518847649931;13512;1326;12770;0.4639617178709561;0.04657116187296537
122;0.5625;1;103;5;0.6062492311271439;14362;1288;13621;0.5270313467394341;0.03265577177216445
123;0.5625;1;88;5;0.6879389392817276;14564;1331;13796;0.5383637573890007;0.04757102713005585
124;0.5625;1;88;4;0.7730396361864171;14812;1329;14066;0.48880296080172336;0.04285551917396722
125;0.5625;1;95;5;0.5892292687287854;14815;1296;14086;0.48397940089590696;0.0267971517739529
126;0.5625;1;86;5;0.8986262113393847;14462;1293;13738;0.5001012423168232;0.02878942793503432
127;0.5625;1;99;5;0.7581218736149709;14453;1258;13789;0.48407564927943386;0.04767597695783998
128;0.5625;1;104;5;0.8230557132117646;14125;1283;13437;0.49108068926153947;0.03789991891889464
129;0.5625;1;93;4;0.7753265328524509;13188;1163;12604;0.5102234005510371;0.03468780519386418
130;0.5625;1;98;4;0.9523962583194705;13899;1327;13194;0.5329246842863105;0.03082239842715049
131;0.5625;1;104;5;0.646344086287143;13615;1366;12874;0.514713306426121;0.03281897038674631
132;0.5625;1;100;4;0.8284076724226181;13150;1299;12428;0.4936073465659385;0.0318907333713507
133;0.5625;1;96;5;0.8979649982859501;13606;1305;12898;0.5097964677410389;0.042171933667749295
134;0.5625;1;97;4;0.8766677604946675;13108;1229;12460;0.4978764517804408;0.057131855943744224
