gen;fitness;n_species;p_isomorphisms;unique_fitness;entropy;total_gen_markers;active_gen_markers;inactive_gen_markers;avg_delta;std_delta
0;113.27691452259165;493;222;13;0.30999732431271465;22940;2229;21888;0.7925384762043544;0.023716376407330098
1;113.27691452259165;179;227;17;0.38970307787291114;22597;2282;21554;0.7809930526423702;0.03542454442116902
2;101.16322648607765;93;233;24;0.6077787873116879;20440;2212;19478;0.7570873990914625;0.042425140354878696
3;84.64143959188321;56;221;18;0.5593110512804155;18389;2194;17499;0.7372381202841846;0.050252708621763786
4;67.12435363827996;36;207;13;0.3958650037346487;17660;2094;16831;0.7204117426686872;0.06098558292441781
5;67.12435363827996;23;224;10;0.30929527068200274;17082;2196;16241;0.7034054673466129;0.0715299351142082
6;67.12435363827996;21;211;16;0.41610822243894613;16215;1986;15474;0.712511807761245;0.05839763496415782
7;67.12435363827996;16;213;20;0.4925324126386527;15991;1981;15290;0.6993907038313678;0.0549466937538553
8;67.12435363827996;14;203;19;0.5161145374032078;15951;1947;15221;0.679753648273995;0.06329895737026314
9;67.12435363827996;15;222;15;0.44049905617738494;16311;2013;15564;0.6862681262538458;0.06682428800749726
10;67.12435363827996;8;185;15;0.43511841652472194;16242;1801;15621;0.677109834711238;0.06606741747469265
11;67.12435363827996;7;188;14;0.43268655617738494;16805;1693;16205;0.6581382031366971;0.06929331750777229
12;67.12435363827996;8;190;17;0.4676118065697967;15827;1645;15254;0.645668068663538;0.07324573617776337
13;67.12435363827996;10;184;14;0.4012456433873117;15627;1655;15121;0.6560305292786028;0.06518589587778548
14;67.12435363827996;9;182;17;0.4949167392862215;15733;1614;15204;0.668631930725386;0.06148627930591365
15;67.12435363827996;9;181;11;0.3413608851307146;15383;1484;14927;0.6616584642119959;0.07149087848846987
16;67.12435363827996;9;179;14;0.32325083128303134;15457;1584;14945;0.649985312995927;0.08258122529760308
17;67.12435363827996;10;187;14;0.4804413684452187;15807;1597;15288;0.6437626887958652;0.07023247527912821
18;67.12435363827996;8;185;17;0.3872712175255742;15243;1594;14731;0.6498572923332925;0.06781649138953531
19;67.12435363827996;9;177;14;0.4387936669171336;15139;1676;14592;0.6732926822945281;0.06422998805849085
20;67.12435363827996;10;166;19;0.5312085460310905;14332;1650;13785;0.6692147539417513;0.0513843436766679
21;67.12435363827996;7;181;18;0.5017717685915475;14248;1655;13736;0.6254649831186149;0.06321930237075515
22;67.12435363827996;8;187;21;0.4832368065697967;14400;1627;13923;0.6540562276107524;0.06673789669814974
23;67.12435363827996;8;185;12;0.3467415247833776;14311;1661;13753;0.6769385814334342;0.06393816955328299
24;67.12435363827996;6;175;16;0.42856497993819864;14524;1679;13967;0.6457060269818345;0.05729355924130953
25;67.12435363827996;6;197;15;0.4014406931336201;14384;1761;13845;0.6363038918855709;0.059876636769842
26;67.12435363827996;8;185;19;0.5090673496335585;13578;1655;13094;0.6460687641113546;0.04846029842773755
27;67.12435363827996;8;185;16;0.38579682787291114;14001;1633;13507;0.6526329710966674;0.05499624717646721
28;67.12435363827996;5;189;11;0.28187555731160896;13704;1638;13190;0.6224252310952989;0.048051275192014
29;62.85253977661069;7;206;14;0.388978185092107;13522;1680;13026;0.6546184307676866;0.060510863490936144
30;62.85253977661069;4;192;12;0.2826379782599745;13328;1586;12886;0.6415676739386966;0.04000706506257594
31;62.85253977661069;5;189;15;0.443185561595819;13365;1693;12833;0.6206993522405929;0.05346641510040511
32;62.85253977661069;7;187;17;0.48925932336387823;13698;1677;13207;0.6466671190574288;0.04313762722874304
33;62.85253977661069;2;202;18;0.3911774675255742;14417;1808;13815;0.6371355997051595;0.03403088770568215
34;62.85253977661069;7;207;12;0.3320250245953951;14231;1828;13592;0.6536747173177926;0.04130210836764546
35;62.85253977661069;6;195;18;0.42635258278628313;14053;1784;13497;0.6513402772276354;0.04759588628575924
36;62.85253977661069;6;204;12;0.345979103835012;13827;1775;13248;0.6459200486804334;0.06312720243059813
37;62.85253977661069;7;208;13;0.29359430731160896;13942;1812;13338;0.6450936555079461;0.04854270545193057
38;62.85253977661069;10;227;17;0.5151570667085339;14450;1966;13813;0.6848581177180493;0.06396704292701941
39;62.85253977661069;9;203;16;0.5000994379105911;14045;1866;13438;0.6408387884982137;0.050663434955732736
40;62.85253977661069;5;215;19;0.5012548496335585;14029;1831;13427;0.6339070451089175;0.0816698400182545
41;62.85253977661069;5;209;20;0.5103466895399131;14519;1814;13933;0.6507351427956923;0.050083572349167986
42;62.85253977661069;6;216;18;0.4878637416902871;14111;1890;13508;0.6318625245162193;0.06586494389750269
43;58.43383283174072;4;207;19;0.6097693946289855;14130;1887;13499;0.6316850319362534;0.05121561475918767
44;43.94118438709262;4;213;13;0.3918770272112768;14668;1831;14073;0.6271990896759337;0.06585827334115518
45;43.94118438709262;3;211;20;0.45052809028553564;14616;1828;14013;0.6236240995552833;0.060338575580033506
46;43.94118438709262;3;193;10;0.3078208810293397;15250;1811;14663;0.6164254218625357;0.06862367611208242
47;43.94118438709262;4;209;10;0.3256869142480582;15397;1839;14806;0.622543891948382;0.046730172543528854
48;43.94118438709262;6;203;20;0.462979085482711;15232;1966;14557;0.6709918523099505;0.07602999307259044
49;43.94118438709262;4;215;17;0.5056664141975019;15350;2008;14657;0.6205396722087455;0.03704564904418575
50;43.94118438709262;4;206;22;0.5222604892862215;15505;2072;14800;0.6522880391005583;0.04782008203949806
51;43.94118438709262;6;212;16;0.44587969583004794;14786;2059;14089;0.6552645290456901;0.043918650130211026
52;43.94118438709262;5;212;18;0.4627985381191909;15369;1895;14730;0.6252383738702657;0.05325213654384966
53;43.94118438709262;8;202;18;0.4808136626386527;15333;1988;14629;0.6539913131245473;0.06297860967579372
54;43.94118438709262;7;186;19;0.5950324410781281;15210;1956;14538;0.6489953902443755;0.057502645366241056
55;43.94118438709262;6;221;13;0.40512747993819864;15411;1983;14779;0.658061388564911;0.046451242289939826
56;43.94118438709262;2;204;19;0.4302588327862831;15356;1922;14727;0.6365314140218242;0.033767740055733235
57;43.94118438709262;5;202;18;0.43976681098020953;15507;1781;14918;0.6544956274168822;0.070553920553171
58;43.94118438709262;7;211;19;0.4917699916902871;15242;1830;14632;0.6483659149767659;0.06324224297186806
59;43.94118438709262;7;202;16;0.39826507474477;15217;1712;14668;0.6495622176915089;0.0632172472971659
60;43.94118438709262;7;191;18;0.5070677904388536;15450;1753;14892;0.6145622896890287;0.05852436329716975
61;43.94118438709262;7;207;19;0.491253072732298;15274;1836;14686;0.6450530512180506;0.05641166846779228
62;43.94118438709262;6;219;17;0.43323365088656424;15337;1847;14728;0.6468847712689334;0.05190707560482002
63;43.94118438709262;5;200;18;0.5175889270558709;15458;1929;14827;0.6215539863805316;0.03624480710327376
64;43.94118438709262;4;219;21;0.5322564563611969;15715;1928;15079;0.639872678042985;0.05279620626210457
65;43.94118438709262;8;223;20;0.5120161289388845;15471;2008;14805;0.6593580883201346;0.054453827290617554
66;43.94118438709262;6;225;18;0.4263525827862831;15287;2003;14616;0.6439950221693164;0.044722341149119146
